"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"37017","0","10","70","0","1990","A","","Bladen County, North Carolina","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",516,7829,121373732,0,0,298,15503,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",27,5.5,-422,-5.1,-12263503,-9.2,-57307000,-100.0,-683748,-100.0,-13,-4.2,-693,-4.3
"37017","1","10","71","0","1990","A","","Bladen County, North Carolina","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",15,89,1869691,0,0,404,20988,"",3.82,0.38,0.41,0.00,0.00,1.06,1.05,"",5,50.0,10,12.7,182414,10.8,0,0.0,0,0.0,-6,-1.5,-369,-1.7
"37017","1","102","72","0","1990","A","","Bladen County, North Carolina","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",15,89,1869691,0,0,404,20988,"",3.84,0.40,0.42,0.00,0.00,1.06,1.06,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37017","1","1021","73","0","1990","A","","Bladen County, North Carolina","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,45,1126940,0,0,483,25136,"",4.67,0.65,0.80,0.00,0.00,1.24,1.24,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37017","1","1023","73","0","1990","A","","Bladen County, North Carolina","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,10,226111,0,0,421,21882,"",6.33,3.83,4.17,0.00,0.00,1.05,1.05,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37017","1","1028","73","0","1990","A","","Bladen County, North Carolina","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",7,34,516640,0,0,293,15233,"",3.45,0.28,0.22,0.00,0.00,0.76,0.76,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37017","1","48-49","74","0","1990","A","","Bladen County, North Carolina","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",7,45,1126940,0,0,483,25136,"",4.82,0.72,0.85,0.00,0.00,1.19,1.19,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37017","1","491","75","0","1990","A","","Bladen County, North Carolina","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,45,1126940,0,0,483,25136,"",4.91,0.76,0.91,0.00,0.00,1.20,1.20,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37017","1","4911","76","0","1990","A","","Bladen County, North Carolina","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",7,45,1126940,0,0,483,25136,"",4.91,0.76,0.91,0.00,0.00,1.20,1.20,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37017","1","49111","77","0","1990","A","","Bladen County, North Carolina","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",7,45,1126940,0,0,483,25136,"",4.91,0.76,0.91,0.00,0.00,1.20,1.20,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
