"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"48165","0","10","70","0","1990","A","","Gaines County, Texas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",469,3860,71212502,0,0,355,18451,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",42,9.8,116,3.1,3733994,5.5,-27317553,-100.0,-837616,-100.0,9,2.6,428,2.4
"48165","1","10","71","0","1990","A","","Gaines County, Texas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,44,1062420,0,0,465,24192,"",1.68,0.39,0.39,0.00,0.00,1.02,1.02,"",0,0.0,-2,-4.3,25501,2.5,0,0.0,0,0.0,32,7.4,1651,7.3
"48165","1","102","72","0","1990","A","","Gaines County, Texas","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,44,1062420,0,0,465,24192,"",1.69,0.40,0.41,0.00,0.00,1.02,1.02,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48165","1","1021","73","0","1990","A","","Gaines County, Texas","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,17,494721,0,0,554,28819,"",0.73,0.50,0.60,0.00,0.00,1.19,1.19,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48165","1","1028","73","0","1990","A","","Gaines County, Texas","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,27,567699,0,0,408,21222,"",2.71,0.46,0.40,0.00,0.00,0.89,0.89,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48165","1","48-49","74","0","1990","A","","Gaines County, Texas","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,17,494721,0,0,554,28819,"",0.76,0.55,0.64,0.00,0.00,1.14,1.14,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48165","1","491","75","0","1990","A","","Gaines County, Texas","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,17,494721,0,0,554,28819,"",0.77,0.58,0.68,0.00,0.00,1.16,1.16,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48165","1","4911","76","0","1990","A","","Gaines County, Texas","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,17,494721,0,0,554,28819,"",0.77,0.58,0.68,0.00,0.00,1.16,1.16,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48165","1","49111","77","0","1990","A","","Gaines County, Texas","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,17,494721,0,0,554,28819,"",0.77,0.58,0.68,0.00,0.00,1.16,1.16,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48165","1","491110","78","0","1990","A","","Gaines County, Texas","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,17,494721,0,0,554,28819,"",0.77,0.58,0.68,0.00,0.00,1.16,1.16,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48165","1","92","74","0","1990","A","","Gaines County, Texas","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",5,27,567699,0,0,408,21222,"",2.71,0.46,0.40,0.00,0.00,0.89,0.89,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48165","1","924","75","0","1990","A","","Gaines County, Texas","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,20,456372,0,0,433,22537,"",6.16,4.94,4.87,0.00,0.00,0.97,0.97,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48165","1","9241","76","0","1990","A","","Gaines County, Texas","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,20,456372,0,0,433,22537,"",6.16,4.94,4.87,0.00,0.00,0.97,0.97,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48165","1","92412","77","0","1990","A","","Gaines County, Texas","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,20,456372,0,0,433,22537,"",6.26,5.71,5.90,0.00,0.00,1.02,1.02,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48165","1","924120","78","0","1990","A","","Gaines County, Texas","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,20,456372,0,0,433,22537,"",6.26,5.71,5.90,0.00,0.00,1.02,1.02,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48165","1","926","75","0","1990","A","","Gaines County, Texas","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,7,111327,0,0,329,17127,"",2.70,0.76,0.56,0.00,0.00,0.79,0.79,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48165","1","9261","76","0","1990","A","","Gaines County, Texas","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,7,111327,0,0,329,17127,"",2.70,0.76,0.56,0.00,0.00,0.79,0.79,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48165","1","92614","77","0","1990","A","","Gaines County, Texas","Federal Government","Agricultural market and commodity regulation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,12990,0,0,250,12990,"",2.36,0.54,0.29,0.00,0.00,0.53,0.53,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48165","1","926140","78","0","1990","A","","Gaines County, Texas","Federal Government","Agricultural market and commodity regulation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,12990,0,0,250,12990,"",2.36,0.54,0.29,0.00,0.00,0.53,0.53,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
