"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01027","0","10","70","0","1990","A","","Clay County, Alabama","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",241,4495,65852348,0,0,282,14650,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",8,3.4,161,3.7,5658772,9.4,-30255101,-100.0,-639876,-100.0,15,5.6,762,5.5
"01027","1","10","71","0","1990","A","","Clay County, Alabama","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,53,1197372,0,0,431,22416,"",4.91,0.40,0.48,0.00,0.00,1.19,1.19,"",1,12.5,8,17.8,188912,18.7,0,0.0,0,0.0,1,0.2,6,0.0
"01027","1","102","72","0","1990","A","","Clay County, Alabama","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,53,1197372,0,0,431,22416,"",4.93,0.42,0.50,0.00,0.00,1.19,1.19,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01027","1","1021","73","0","1990","A","","Clay County, Alabama","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,29,661717,0,0,443,23016,"",5.72,0.73,0.87,0.00,0.00,1.20,1.20,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01027","1","1028","73","0","1990","A","","Clay County, Alabama","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,25,535655,0,0,418,21716,"",5.28,0.36,0.41,0.00,0.00,1.15,1.15,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01027","1","48-49","74","0","1990","A","","Clay County, Alabama","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",4,29,661717,0,0,443,23016,"",5.89,0.81,0.92,0.00,0.00,1.15,1.15,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01027","1","491","75","0","1990","A","","Clay County, Alabama","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,29,661717,0,0,443,23016,"",6.01,0.85,0.98,0.00,0.00,1.16,1.16,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01027","1","4911","76","0","1990","A","","Clay County, Alabama","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,29,661717,0,0,443,23016,"",6.01,0.85,0.98,0.00,0.00,1.16,1.16,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01027","1","49111","77","0","1990","A","","Clay County, Alabama","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,29,661717,0,0,443,23016,"",6.01,0.85,0.98,0.00,0.00,1.16,1.16,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01027","1","491110","78","0","1990","A","","Clay County, Alabama","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,29,661717,0,0,443,23016,"",6.01,0.85,0.98,0.00,0.00,1.16,1.16,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01027","1","92","74","0","1990","A","","Clay County, Alabama","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",5,25,535655,0,0,418,21716,"",5.28,0.36,0.41,0.00,0.00,1.15,1.15,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01027","1","926","75","0","1990","A","","Clay County, Alabama","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,21,448874,0,0,414,21546,"",7.90,1.96,2.42,0.00,0.00,1.25,1.25,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
