"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01097","0","10","70","0","1990","A","","Mobile County, Alabama","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",8152,144429,3008559075,0,0,401,20831,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",-58,-0.7,3921,2.8,200913889,7.2,-913049121,-100.0,-12795524,-100.0,17,4.4,849,4.2
"01097","1","10","71","0","1990","A","","Mobile County, Alabama","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",33,2998,94823588,0,0,608,31633,"",0.53,0.70,0.83,0.00,0.00,1.18,1.18,"",1,3.1,68,2.3,6591223,7.5,0,0.0,0,0.0,29,5.0,1520,5.0
"01097","1","102","72","0","1990","A","","Mobile County, Alabama","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",33,2998,94823588,0,0,608,31633,"",0.53,0.73,0.87,0.00,0.00,1.18,1.19,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01097","1","1021","73","0","1990","A","","Mobile County, Alabama","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,956,30389804,0,0,611,31791,"",0.13,0.75,0.87,0.00,0.00,1.16,1.16,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01097","1","1023","73","0","1990","A","","Mobile County, Alabama","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,11,264812,0,0,463,24074,"",0.40,0.23,0.20,0.00,0.00,0.86,0.86,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01097","1","1024","73","0","1990","A","","Mobile County, Alabama","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,13,454963,0,0,660,34337,"",0.70,0.14,0.18,0.00,0.00,1.30,1.30,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01097","1","1028","73","0","1990","A","","Mobile County, Alabama","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",27,2017,63714009,0,0,607,31582,"",0.84,0.91,1.07,0.00,0.00,1.18,1.18,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01097","1","48-49","74","0","1990","A","","Mobile County, Alabama","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,956,30389804,0,0,611,31791,"",0.13,0.83,0.93,0.00,0.00,1.12,1.12,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01097","1","491","75","0","1990","A","","Mobile County, Alabama","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,956,30389804,0,0,611,31791,"",0.13,0.87,0.98,0.00,0.00,1.13,1.13,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01097","1","4911","76","0","1990","A","","Mobile County, Alabama","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,956,30389804,0,0,611,31791,"",0.13,0.87,0.98,0.00,0.00,1.13,1.13,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
