"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01109","0","10","70","0","1990","A","","Pike County, Alabama","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",611,10479,172162982,0,0,316,16430,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",-2,-0.3,202,2.0,9095687,5.6,-61900852,-100.0,-787851,-100.0,11,3.6,563,3.5
"01109","1","10","71","0","1990","A","","Pike County, Alabama","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,81,1926677,0,0,460,23934,"",1.72,0.26,0.29,0.00,0.00,1.13,1.13,"",0,0.0,5,6.6,190051,10.9,0,0.0,0,0.0,21,4.8,1084,4.7
"01109","1","102","72","0","1990","A","","Pike County, Alabama","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,81,1926677,0,0,460,23934,"",1.73,0.27,0.31,0.00,0.00,1.14,1.14,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01109","1","1021","73","0","1990","A","","Pike County, Alabama","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,49,1261729,0,0,495,25750,"",1.69,0.53,0.63,0.00,0.00,1.20,1.20,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01109","1","1028","73","0","1990","A","","Pike County, Alabama","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,27,561521,0,0,399,20733,"",1.67,0.17,0.17,0.00,0.00,0.98,0.98,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01109","1","48-49","74","0","1990","A","","Pike County, Alabama","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,49,1261729,0,0,495,25750,"",1.74,0.58,0.67,0.00,0.00,1.15,1.15,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01109","1","491","75","0","1990","A","","Pike County, Alabama","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,49,1261729,0,0,495,25750,"",1.78,0.62,0.71,0.00,0.00,1.16,1.16,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01109","1","4911","76","0","1990","A","","Pike County, Alabama","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,49,1261729,0,0,495,25750,"",1.78,0.62,0.71,0.00,0.00,1.16,1.16,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01109","1","49111","77","0","1990","A","","Pike County, Alabama","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,49,1261729,0,0,495,25750,"",1.78,0.62,0.71,0.00,0.00,1.16,1.16,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01109","1","491110","78","0","1990","A","","Pike County, Alabama","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,49,1261729,0,0,495,25750,"",1.78,0.62,0.71,0.00,0.00,1.16,1.16,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01109","1","92","74","0","1990","A","","Pike County, Alabama","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",4,27,561521,0,0,399,20733,"",1.67,0.17,0.17,0.00,0.00,0.98,0.98,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01109","1","924","75","0","1990","A","","Pike County, Alabama","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,12,251280,0,0,411,21386,"",3.15,1.09,1.11,0.00,0.00,1.04,1.04,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01109","1","9241","76","0","1990","A","","Pike County, Alabama","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,12,251280,0,0,411,21386,"",3.15,1.09,1.11,0.00,0.00,1.04,1.04,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
