"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01119","0","10","70","0","1990","A","","Sumter County, Alabama","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",282,4859,79508627,0,0,315,16363,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",-5,-1.7,250,5.4,6121817,8.3,-28707565,-100.0,-432480,-100.0,9,2.9,441,2.8
"01119","1","10","71","0","1990","A","","Sumter County, Alabama","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,47,1000434,0,0,409,21286,"",3.26,0.33,0.33,0.00,0.00,1.01,1.01,"",0,0.0,3,6.8,99890,11.1,0,0.0,0,0.0,16,4.1,820,4.0
"01119","1","102","72","0","1990","A","","Sumter County, Alabama","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,47,1000434,0,0,409,21286,"",3.28,0.34,0.35,0.00,0.00,1.01,1.02,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01119","1","1021","73","0","1990","A","","Sumter County, Alabama","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,33,764880,0,0,449,23355,"",3.66,0.77,0.83,0.00,0.00,1.09,1.09,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01119","1","1028","73","0","1990","A","","Sumter County, Alabama","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,11,184928,0,0,331,17203,"",2.71,0.15,0.12,0.00,0.00,0.82,0.82,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01119","1","48-49","74","0","1990","A","","Sumter County, Alabama","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,33,764880,0,0,449,23355,"",3.78,0.85,0.88,0.00,0.00,1.05,1.05,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01119","1","491","75","0","1990","A","","Sumter County, Alabama","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,33,764880,0,0,449,23355,"",3.85,0.89,0.94,0.00,0.00,1.06,1.06,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01119","1","4911","76","0","1990","A","","Sumter County, Alabama","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,33,764880,0,0,449,23355,"",3.85,0.89,0.94,0.00,0.00,1.06,1.06,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01119","1","49111","77","0","1990","A","","Sumter County, Alabama","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,33,764880,0,0,449,23355,"",3.85,0.89,0.94,0.00,0.00,1.06,1.06,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01119","1","491110","78","0","1990","A","","Sumter County, Alabama","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,33,764880,0,0,449,23355,"",3.85,0.89,0.94,0.00,0.00,1.06,1.06,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
