"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"05007","0","10","70","0","1990","A","","Benton County, Arkansas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",2048,43922,822249979,0,0,360,18721,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",114,5.9,2005,4.8,79911437,10.8,-319070942,-100.0,-6209505,-100.0,20,5.9,1012,5.7
"05007","1","10","71","0","1990","A","","Benton County, Arkansas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",27,347,8820751,0,0,489,25420,"",1.73,0.27,0.28,0.00,0.00,1.06,1.06,"",0,0.0,26,8.1,1035642,13.3,0,0.0,0,0.0,23,4.9,1168,4.8
"05007","1","102","72","0","1990","A","","Benton County, Arkansas","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",27,347,8820751,0,0,489,25420,"",1.74,0.28,0.30,0.00,0.00,1.06,1.06,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05007","1","1021","73","0","1990","A","","Benton County, Arkansas","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",12,205,5447454,0,0,510,26541,"",2.02,0.53,0.57,0.00,0.00,1.08,1.08,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05007","1","1023","73","0","1990","A","","Benton County, Arkansas","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,6,106779,0,0,347,18047,"",1.60,0.41,0.29,0.00,0.00,0.72,0.72,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05007","1","1024","73","0","1990","A","","Benton County, Arkansas","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",2,33,845373,0,0,489,25425,"",5.56,1.16,1.25,0.00,0.00,1.07,1.07,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05007","1","1026","73","0","1990","A","","Benton County, Arkansas","Federal Government","Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,9,184810,0,0,381,19801,"",3.39,0.34,0.60,0.00,0.00,1.70,1.70,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05007","1","1028","73","0","1990","A","","Benton County, Arkansas","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",11,93,2236335,0,0,461,23982,"",1.37,0.14,0.14,0.00,0.00,1.00,1.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05007","1","48-49","74","0","1990","A","","Benton County, Arkansas","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",12,205,5447454,0,0,510,26541,"",2.08,0.58,0.61,0.00,0.00,1.04,1.04,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05007","1","491","75","0","1990","A","","Benton County, Arkansas","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",12,205,5447454,0,0,510,26541,"",2.12,0.61,0.65,0.00,0.00,1.05,1.05,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05007","1","4911","76","0","1990","A","","Benton County, Arkansas","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",12,205,5447454,0,0,510,26541,"",2.12,0.61,0.65,0.00,0.00,1.05,1.05,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05007","1","49111","77","0","1990","A","","Benton County, Arkansas","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",12,205,5447454,0,0,510,26541,"",2.12,0.61,0.65,0.00,0.00,1.05,1.05,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05007","1","491110","78","0","1990","A","","Benton County, Arkansas","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",12,205,5447454,0,0,510,26541,"",2.12,0.61,0.65,0.00,0.00,1.05,1.05,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05007","1","52","74","0","1990","A","","Benton County, Arkansas","Federal Government","Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,6,106779,0,0,347,18047,"",1.60,0.42,0.29,0.00,0.00,0.71,0.71,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05007","1","522","75","0","1990","A","","Benton County, Arkansas","Federal Government","Credit intermediation and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,6,106779,0,0,347,18047,"",1.87,1.11,0.99,0.00,0.00,0.91,0.91,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05007","1","5222","76","0","1990","A","","Benton County, Arkansas","Federal Government","Nondepository credit intermediation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,6,106779,0,0,347,18047,"",1.87,1.11,1.00,0.00,0.00,0.91,0.91,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05007","1","52229","77","0","1990","A","","Benton County, Arkansas","Federal Government","Other nondepository credit intermediation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,6,106779,0,0,347,18047,"",1.87,1.11,1.00,0.00,0.00,0.91,0.91,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05007","1","522298","78","0","1990","A","","Benton County, Arkansas","Federal Government","All other nondepository credit intermediation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,6,106779,0,0,347,18047,"",5.84,3.41,2.95,0.00,0.00,0.88,0.88,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05007","1","54","74","0","1990","A","","Benton County, Arkansas","Federal Government","Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",2,33,845373,0,0,489,25425,"",5.71,1.21,1.27,0.00,0.00,1.05,1.05,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05007","1","541","75","0","1990","A","","Benton County, Arkansas","Federal Government","Professional and technical services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,33,845373,0,0,489,25425,"",5.71,1.21,1.27,0.00,0.00,1.05,1.05,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05007","1","5413","76","0","1990","A","","Benton County, Arkansas","Federal Government","Architectural and engineering services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,33,845373,0,0,489,25425,"",11.01,2.13,2.19,0.00,0.00,1.02,1.02,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05007","1","54133","77","0","1990","A","","Benton County, Arkansas","Federal Government","Engineering services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,33,845373,0,0,489,25425,"",11.28,2.15,2.20,0.00,0.00,1.02,1.02,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05007","1","541330","78","0","1990","A","","Benton County, Arkansas","Federal Government","Engineering services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,33,845373,0,0,489,25425,"",11.28,2.15,2.20,0.00,0.00,1.02,1.02,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05007","1","71","74","0","1990","A","","Benton County, Arkansas","Federal Government","Arts, entertainment, and recreation","County, NAICS Sector -- by ownership sector","All establishment sizes",1,9,184810,0,0,381,19801,"",5.47,0.54,0.81,0.00,0.00,1.45,1.45,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05007","1","712","75","0","1990","A","","Benton County, Arkansas","Federal Government","Museums, historical sites, zoos, and parks","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,9,184810,0,0,381,19801,"",8.37,1.03,1.17,0.00,0.00,1.10,1.10,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05007","1","7121","76","0","1990","A","","Benton County, Arkansas","Federal Government","Museums, historical sites, zoos, and parks","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,9,184810,0,0,381,19801,"",8.37,1.03,1.17,0.00,0.00,1.10,1.10,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05007","1","71219","77","0","1990","A","","Benton County, Arkansas","Federal Government","Nature parks and other similar institutions","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,9,184810,0,0,381,19801,"",9.49,1.48,1.84,0.00,0.00,1.20,1.20,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05007","1","712190","78","0","1990","A","","Benton County, Arkansas","Federal Government","Nature parks and other similar institutions","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,9,184810,0,0,381,19801,"",9.49,1.48,1.84,0.00,0.00,1.20,1.20,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05007","1","92","74","0","1990","A","","Benton County, Arkansas","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",11,93,2236335,0,0,461,23982,"",1.37,0.14,0.14,0.00,0.00,1.00,1.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05007","1","924","75","0","1990","A","","Benton County, Arkansas","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,7,168118,0,0,497,25864,"",0.94,0.15,0.16,0.00,0.00,1.10,1.10,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05007","1","9241","76","0","1990","A","","Benton County, Arkansas","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,7,168118,0,0,497,25864,"",0.94,0.15,0.16,0.00,0.00,1.10,1.10,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05007","1","92412","77","0","1990","A","","Benton County, Arkansas","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,7,168118,0,0,497,25864,"",0.96,0.18,0.19,0.00,0.00,1.15,1.15,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05007","1","924120","78","0","1990","A","","Benton County, Arkansas","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,7,168118,0,0,497,25864,"",0.96,0.18,0.19,0.00,0.00,1.15,1.15,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05007","1","926","75","0","1990","A","","Benton County, Arkansas","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,86,2042489,0,0,458,23819,"",2.48,0.82,0.88,0.00,0.00,1.08,1.08,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05007","1","9261","76","0","1990","A","","Benton County, Arkansas","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",8,86,2042489,0,0,458,23819,"",2.48,0.82,0.88,0.00,0.00,1.08,1.08,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05007","1","92611","77","0","1990","A","","Benton County, Arkansas","Federal Government","Administration of general economic programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,17,145156,0,0,163,8456,"",2.06,0.31,0.18,0.00,0.00,0.56,0.56,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05007","1","926110","78","0","1990","A","","Benton County, Arkansas","Federal Government","Administration of general economic programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,17,145156,0,0,163,8456,"",2.06,0.31,0.18,0.00,0.00,0.56,0.56,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05007","1","92614","77","0","1990","A","","Benton County, Arkansas","Federal Government","Agricultural market and commodity regulation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,69,1897333,0,0,532,27665,"",3.24,3.30,3.64,0.00,0.00,1.11,1.11,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05007","1","926140","78","0","1990","A","","Benton County, Arkansas","Federal Government","Agricultural market and commodity regulation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",6,69,1897333,0,0,532,27665,"",3.24,3.30,3.64,0.00,0.00,1.11,1.11,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05007","1","928","75","0","1990","A","","Benton County, Arkansas","Federal Government","National security and international affairs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,25728,0,0,495,25728,"",1.28,0.00,0.00,0.00,0.00,1.08,1.08,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05007","1","9281","76","0","1990","A","","Benton County, Arkansas","Federal Government","National security and international affairs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,25728,0,0,495,25728,"",1.28,0.00,0.00,0.00,0.00,1.08,1.08,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05007","1","92811","77","0","1990","A","","Benton County, Arkansas","Federal Government","National security","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,25728,0,0,495,25728,"",1.35,0.00,0.00,0.00,0.00,1.10,1.10,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05007","1","928110","78","0","1990","A","","Benton County, Arkansas","Federal Government","National security","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,25728,0,0,495,25728,"",1.35,0.00,0.00,0.00,0.00,1.10,1.10,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05007","2","10","71","0","1990","A","","Benton County, Arkansas","State Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,166,3200770,0,0,372,19321,"",0.58,0.10,0.10,0.00,0.00,0.94,0.94,"",1,10.0,0,0.0,100924,3.3,0,0.0,0,0.0,13,3.6,648,3.5
"05007","2","1028","73","0","1990","A","","Benton County, Arkansas","State Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",6,66,1267903,0,0,371,19308,"",0.44,0.10,0.09,0.00,0.00,0.88,0.88,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05007","2","92","74","0","1990","A","","Benton County, Arkansas","State Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",6,66,1267903,0,0,371,19308,"",0.44,0.10,0.09,0.00,0.00,0.88,0.88,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05007","3","10","71","0","1990","A","","Benton County, Arkansas","Local Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",65,2859,47641769,0,0,320,16662,"",1.86,0.67,0.60,0.00,0.00,0.89,0.89,"",1,1.6,124,4.5,3671089,8.3,-3989259,-100.0,-33505,-100.0,11,3.6,585,3.6
"05007","3","1021","73","0","1990","A","","Benton County, Arkansas","Local Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",13,160,3260188,0,0,392,20397,"",4.43,0.95,0.79,0.00,0.00,0.84,0.84,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05007","3","1025","73","0","1990","A","","Benton County, Arkansas","Local Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",9,2008,33166709,0,0,318,16517,"",1.08,0.76,0.69,0.00,0.00,0.90,0.90,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05007","3","1028","73","0","1990","A","","Benton County, Arkansas","Local Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",34,531,8893413,0,0,322,16741,"",1.88,0.42,0.37,0.00,0.00,0.88,0.87,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05007","3","2213","76","0","1990","A","","Benton County, Arkansas","Local Government","Water, sewage and other systems","County, NAICS 4-digit -- by ownership sector","All establishment sizes",10,128,2475545,0,0,372,19365,"",4.82,2.27,2.12,0.00,0.00,0.93,0.93,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05007","3","92","74","0","1990","A","","Benton County, Arkansas","Local Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",34,531,8893413,0,0,322,16741,"",1.88,0.42,0.37,0.00,0.00,0.88,0.87,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05007","3","921","75","0","1990","A","","Benton County, Arkansas","Local Government","Executive, legislative and general government","County, NAICS 3-digit -- by ownership sector","All establishment sizes",20,212,2902355,0,0,264,13707,"",1.72,0.25,0.19,0.00,0.00,0.79,0.78,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
