"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"05071","0","10","70","0","1990","A","","Johnson County, Arkansas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",315,5282,77561883,0,0,282,14684,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",-8,-2.5,134,2.6,6474874,9.1,-29918610,-100.0,-621652,-100.0,17,6.4,876,6.3
"05071","1","10","71","0","1990","A","","Johnson County, Arkansas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,116,2672832,0,0,443,23042,"",5.42,0.74,0.91,0.00,0.00,1.22,1.22,"",1,8.3,7,6.4,243807,10.0,0,0.0,0,0.0,15,3.5,758,3.4
"05071","1","102","72","0","1990","A","","Johnson County, Arkansas","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",13,116,2672832,0,0,443,23042,"",5.45,0.77,0.95,0.00,0.00,1.23,1.22,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05071","1","1021","73","0","1990","A","","Johnson County, Arkansas","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,37,889443,0,0,458,23824,"",5.47,0.79,0.99,0.00,0.00,1.24,1.24,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05071","1","1028","73","0","1990","A","","Johnson County, Arkansas","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",7,75,1709696,0,0,441,22949,"",5.65,0.93,1.12,0.00,0.00,1.22,1.21,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05071","1","48-49","74","0","1990","A","","Johnson County, Arkansas","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",5,37,889443,0,0,458,23824,"",5.64,0.88,1.05,0.00,0.00,1.19,1.19,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05071","1","491","75","0","1990","A","","Johnson County, Arkansas","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,37,889443,0,0,458,23824,"",5.75,0.92,1.12,0.00,0.00,1.20,1.20,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05071","1","4911","76","0","1990","A","","Johnson County, Arkansas","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,37,889443,0,0,458,23824,"",5.75,0.92,1.12,0.00,0.00,1.20,1.20,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05071","1","49111","77","0","1990","A","","Johnson County, Arkansas","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",5,37,889443,0,0,458,23824,"",5.75,0.92,1.12,0.00,0.00,1.20,1.20,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05071","1","491110","78","0","1990","A","","Johnson County, Arkansas","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",5,37,889443,0,0,458,23824,"",5.75,0.92,1.12,0.00,0.00,1.20,1.20,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05071","1","92","74","0","1990","A","","Johnson County, Arkansas","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",7,75,1709696,0,0,441,22949,"",5.65,0.93,1.12,0.00,0.00,1.22,1.21,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05071","1","924","75","0","1990","A","","Johnson County, Arkansas","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,38,766441,0,0,387,20125,"",9.18,6.87,7.52,0.00,0.00,1.09,1.09,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05071","1","9241","76","0","1990","A","","Johnson County, Arkansas","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,38,766441,0,0,387,20125,"",9.18,6.87,7.52,0.00,0.00,1.09,1.09,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05071","1","92412","77","0","1990","A","","Johnson County, Arkansas","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,38,766441,0,0,387,20125,"",9.32,7.92,9.09,0.00,0.00,1.15,1.15,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
