"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"06067","0","10","70","0","1990","A","","Sacramento County, California","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",27322,496077,12535592005,0,0,486,25269,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",946,3.6,23408,5.0,1246846342,11.0,-2305666797,-100.0,-53705246,-100.0,27,5.9,1387,5.8
"06067","1","10","71","0","1990","A","","Sacramento County, California","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",110,27581,831228769,0,0,580,30138,"",0.53,1.88,1.74,0.00,0.00,0.93,0.93,"",8,7.8,-214,-0.8,36232789,4.6,0,0.0,0,0.0,30,5.5,1536,5.4
"06067","1","102","72","0","1990","A","","Sacramento County, California","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",110,27581,831228769,0,0,580,30138,"",0.53,1.96,1.82,0.00,0.00,0.93,0.93,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06067","1","1021","73","0","1990","A","","Sacramento County, California","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",28,4590,145348166,0,0,609,31669,"",0.35,1.05,1.00,0.00,0.00,0.96,0.96,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06067","1","1023","73","0","1990","A","","Sacramento County, California","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",3,62,1930430,0,0,596,30969,"",0.36,0.38,0.34,0.00,0.00,0.91,0.91,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06067","1","1024","73","0","1990","A","","Sacramento County, California","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",5,1653,51693103,0,0,601,31268,"",1.04,5.13,5.02,0.00,0.00,0.98,0.98,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06067","1","1026","73","0","1990","A","","Sacramento County, California","Federal Government","Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",10,628,6173114,0,0,189,9834,"",2.54,2.10,1.31,0.00,0.00,0.62,0.62,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06067","1","1028","73","0","1990","A","","Sacramento County, California","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",60,20472,623238770,0,0,585,30444,"",0.56,2.69,2.52,0.00,0.00,0.94,0.94,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06067","1","44-45","74","0","1990","A","","Sacramento County, California","Federal Government","Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",5,563,6571882,0,0,224,11668,"",3.80,1.80,1.57,0.00,0.00,0.87,0.87,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06067","1","452","75","0","1990","A","","Sacramento County, California","Federal Government","General merchandise stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,561,6531098,0,0,224,11637,"",3.64,1.93,1.80,0.00,0.00,0.93,0.93,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06067","1","4529","76","0","1990","A","","Sacramento County, California","Federal Government","Other general merchandise stores","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,561,6531098,0,0,224,11637,"",6.63,4.47,4.16,0.00,0.00,0.93,0.93,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06067","1","45291","77","0","1990","A","","Sacramento County, California","Federal Government","Warehouse clubs and supercenters","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,278,2846834,0,0,197,10259,"",6.34,4.86,4.14,0.00,0.00,0.85,0.85,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06067","1","452910","78","0","1990","A","","Sacramento County, California","Federal Government","Warehouse clubs and supercenters","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,278,2846834,0,0,197,10259,"",6.34,4.86,4.14,0.00,0.00,0.85,0.85,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06067","1","48-49","74","0","1990","A","","Sacramento County, California","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",22,3963,137237760,0,0,666,34627,"",0.29,1.00,1.00,0.00,0.00,1.01,1.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06067","1","488","75","0","1990","A","","Sacramento County, California","Federal Government","Support activities for transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,70,4190871,0,0,1151,59870,"",1.47,0.51,0.65,0.00,0.00,1.28,1.28,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06067","1","4881","76","0","1990","A","","Sacramento County, California","Federal Government","Support activities for air transportation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,70,4190871,0,0,1151,59870,"",1.49,0.53,0.67,0.00,0.00,1.26,1.26,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06067","1","48811","77","0","1990","A","","Sacramento County, California","Federal Government","Airport operations","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,70,4190871,0,0,1151,59870,"",1.49,0.53,0.67,0.00,0.00,1.26,1.26,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06067","1","488111","78","0","1990","A","","Sacramento County, California","Federal Government","Air traffic control","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,70,4190871,0,0,1151,59870,"",1.51,0.56,0.68,0.00,0.00,1.21,1.21,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06067","1","491","75","0","1990","A","","Sacramento County, California","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",20,3893,133046889,0,0,657,34173,"",0.27,1.03,1.03,0.00,0.00,1.00,1.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06067","1","4911","76","0","1990","A","","Sacramento County, California","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",20,3893,133046889,0,0,657,34173,"",0.27,1.03,1.03,0.00,0.00,1.00,1.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06067","1","49111","77","0","1990","A","","Sacramento County, California","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",20,3893,133046889,0,0,657,34173,"",0.27,1.03,1.03,0.00,0.00,1.00,1.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06067","1","491110","78","0","1990","A","","Sacramento County, California","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",20,3893,133046889,0,0,657,34173,"",0.27,1.03,1.03,0.00,0.00,1.00,1.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06067","1","52","74","0","1990","A","","Sacramento County, California","Federal Government","Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",3,62,1930430,0,0,596,30969,"",0.36,0.38,0.35,0.00,0.00,0.91,0.91,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06067","1","522","75","0","1990","A","","Sacramento County, California","Federal Government","Credit intermediation and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,10,176255,0,0,348,18077,"",0.14,0.16,0.11,0.00,0.00,0.68,0.68,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06067","1","5222","76","0","1990","A","","Sacramento County, California","Federal Government","Nondepository credit intermediation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,10,176255,0,0,348,18077,"",0.14,0.16,0.11,0.00,0.00,0.68,0.68,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06067","1","52229","77","0","1990","A","","Sacramento County, California","Federal Government","Other nondepository credit intermediation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,10,176255,0,0,348,18077,"",0.14,0.16,0.11,0.00,0.00,0.68,0.68,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06067","1","524","75","0","1990","A","","Sacramento County, California","Federal Government","Insurance carriers and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,53,1754175,0,0,642,33360,"",1.77,0.69,0.57,0.00,0.00,0.83,0.83,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06067","1","5241","76","0","1990","A","","Sacramento County, California","Federal Government","Insurance carriers","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,30,1042688,0,0,668,34756,"",0.99,0.41,0.35,0.00,0.00,0.85,0.85,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06067","1","52412","77","0","1990","A","","Sacramento County, California","Federal Government","Direct insurers, except life and health","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,30,1042688,0,0,668,34756,"",0.99,0.41,0.35,0.00,0.00,0.85,0.85,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06067","1","524128","78","0","1990","A","","Sacramento County, California","Federal Government","Other direct insurance carriers","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,30,1042688,0,0,668,34756,"",1.55,0.43,0.36,0.00,0.00,0.84,0.84,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
