"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"06077","0","10","70","0","1990","A","","San Joaquin County, California","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",10498,169650,3660357424,0,0,415,21576,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",-53,-0.5,3712,2.2,281717702,8.3,-995433310,-100.0,-28666731,-100.0,24,6.1,1216,6.0
"06077","1","10","71","0","1990","A","","San Joaquin County, California","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",49,4864,135730463,0,0,537,27904,"",0.61,0.97,0.98,0.00,0.00,1.01,1.01,"",0,0.0,-1006,-17.1,-10457428,-7.2,0,0.0,0,0.0,59,12.3,3000,12.0
"06077","1","102","72","0","1990","A","","San Joaquin County, California","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",49,4864,135730463,0,0,537,27904,"",0.62,1.01,1.02,0.00,0.00,1.01,1.01,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06077","1","1021","73","0","1990","A","","San Joaquin County, California","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",18,1430,47651505,0,0,641,33321,"",0.59,0.96,1.13,0.00,0.00,1.18,1.18,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06077","1","1023","73","0","1990","A","","San Joaquin County, California","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",2,17,420300,0,0,473,24603,"",0.62,0.30,0.26,0.00,0.00,0.85,0.85,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06077","1","1024","73","0","1990","A","","San Joaquin County, California","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",2,9,315837,0,0,657,34145,"",1.09,0.08,0.10,0.00,0.00,1.25,1.25,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06077","1","1026","73","0","1990","A","","San Joaquin County, California","Federal Government","Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",4,31,359118,0,0,220,11431,"",2.64,0.30,0.26,0.00,0.00,0.85,0.85,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06077","1","1028","73","0","1990","A","","San Joaquin County, California","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",23,3066,78968067,0,0,495,25755,"",0.56,1.18,1.09,0.00,0.00,0.93,0.93,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06077","1","44-45","74","0","1990","A","","San Joaquin County, California","Federal Government","Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",0,1,14174,0,0,204,10631,"",0.00,0.01,0.01,0.00,0.00,0.93,0.93,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06077","1","452","75","0","1990","A","","San Joaquin County, California","Federal Government","General merchandise stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",0,1,14174,0,0,204,10631,"",0.00,0.01,0.01,0.00,0.00,1.00,1.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
