"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"08113","0","10","70","0","1990","A","","San Miguel County, Colorado","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",292,2156,35223468,0,0,314,16335,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",33,12.7,282,15.0,8505272,31.8,-19080080,-100.0,-382598,-100.0,40,14.6,2078,14.6
"08113","1","10","71","0","1990","A","","San Miguel County, Colorado","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,40,818375,0,0,390,20290,"",4.95,0.63,0.61,0.00,0.00,0.97,0.97,"",1,10.0,3,8.1,143998,21.4,0,0.0,0,0.0,40,11.4,2064,11.3
"08113","1","102","72","0","1990","A","","San Miguel County, Colorado","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",11,40,818375,0,0,390,20290,"",4.98,0.65,0.64,0.00,0.00,0.97,0.97,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08113","1","1021","73","0","1990","A","","San Miguel County, Colorado","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,15,302980,0,0,384,19977,"",4.72,0.79,0.74,0.00,0.00,0.93,0.93,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08113","1","1028","73","0","1990","A","","San Miguel County, Colorado","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",7,25,515395,0,0,394,20479,"",6.10,0.76,0.74,0.00,0.00,0.98,0.97,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08113","1","48-49","74","0","1990","A","","San Miguel County, Colorado","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",4,15,302980,0,0,384,19977,"",4.86,0.87,0.79,0.00,0.00,0.90,0.90,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08113","1","491","75","0","1990","A","","San Miguel County, Colorado","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,15,302980,0,0,384,19977,"",4.96,0.92,0.84,0.00,0.00,0.91,0.91,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08113","1","4911","76","0","1990","A","","San Miguel County, Colorado","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,15,302980,0,0,384,19977,"",4.96,0.92,0.84,0.00,0.00,0.91,0.91,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08113","1","49111","77","0","1990","A","","San Miguel County, Colorado","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,15,302980,0,0,384,19977,"",4.96,0.92,0.84,0.00,0.00,0.91,0.91,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08113","1","491110","78","0","1990","A","","San Miguel County, Colorado","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,15,302980,0,0,384,19977,"",4.96,0.92,0.84,0.00,0.00,0.91,0.91,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
