"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"12003","0","10","70","0","1990","A","","Baker County, Florida","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",249,5040,79615419,0,0,304,15796,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",-3,-1.2,327,6.9,7206978,10.0,-13262693,-100.0,-61796,-100.0,9,3.1,433,2.8
"12003","1","10","71","0","1990","A","","Baker County, Florida","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,69,1518952,0,0,423,21987,"",3.69,0.46,0.50,0.00,0.00,1.08,1.08,"",2,40.0,7,11.3,225498,17.4,0,0.0,0,0.0,22,5.5,1125,5.4
"12003","1","102","72","0","1990","A","","Baker County, Florida","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,69,1518952,0,0,423,21987,"",3.71,0.48,0.52,0.00,0.00,1.09,1.09,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12003","1","1021","73","0","1990","A","","Baker County, Florida","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,21,553920,0,0,503,26169,"",1.38,0.47,0.60,0.00,0.00,1.26,1.26,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12003","1","1028","73","0","1990","A","","Baker County, Florida","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",6,48,965032,0,0,387,20140,"",6.13,0.62,0.61,0.00,0.00,0.99,0.99,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12003","1","48-49","74","0","1990","A","","Baker County, Florida","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,21,553920,0,0,503,26169,"",1.43,0.52,0.64,0.00,0.00,1.21,1.21,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12003","1","491","75","0","1990","A","","Baker County, Florida","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,21,553920,0,0,503,26169,"",1.45,0.55,0.68,0.00,0.00,1.23,1.23,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12003","1","4911","76","0","1990","A","","Baker County, Florida","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,21,553920,0,0,503,26169,"",1.45,0.55,0.68,0.00,0.00,1.23,1.23,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12003","1","49111","77","0","1990","A","","Baker County, Florida","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,21,553920,0,0,503,26169,"",1.45,0.55,0.68,0.00,0.00,1.23,1.23,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12003","1","491110","78","0","1990","A","","Baker County, Florida","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,21,553920,0,0,503,26169,"",1.45,0.55,0.68,0.00,0.00,1.23,1.23,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
