"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"12103","0","10","70","0","1990","A","","Pinellas County, Florida","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",20707,349303,7044994361,0,0,388,20169,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",-46,-0.2,4971,1.4,413614065,6.2,-2234268822,-100.0,-16873328,-100.0,18,4.9,911,4.7
"12103","1","10","71","0","1990","A","","Pinellas County, Florida","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",28,6207,194760866,0,0,603,31379,"",0.18,0.60,0.73,0.00,0.00,1.21,1.21,"",1,3.7,142,2.3,22808964,13.3,0,0.0,0,0.0,58,10.6,3028,10.7
"12103","1","102","72","0","1990","A","","Pinellas County, Florida","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",28,6207,194760866,0,0,603,31379,"",0.18,0.63,0.76,0.00,0.00,1.21,1.21,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12103","1","1021","73","0","1990","A","","Pinellas County, Florida","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",2,2747,89960519,0,0,630,32745,"",0.03,0.89,1.10,0.00,0.00,1.24,1.24,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12103","1","1025","73","0","1990","A","","Pinellas County, Florida","Federal Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,2239,69724676,0,0,599,31141,"",0.62,2.63,3.11,0.00,0.00,1.18,1.18,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12103","1","1028","73","0","1990","A","","Pinellas County, Florida","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",24,1217,34996929,0,0,553,28747,"",0.29,0.23,0.25,0.00,0.00,1.11,1.11,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12103","1","48-49","74","0","1990","A","","Pinellas County, Florida","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",2,2747,89960519,0,0,630,32745,"",0.03,0.98,1.17,0.00,0.00,1.19,1.19,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12103","1","488","75","0","1990","A","","Pinellas County, Florida","Federal Government","Support activities for transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,124,5275256,0,0,816,42457,"",0.97,1.28,1.46,0.00,0.00,1.13,1.13,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12103","1","4881","76","0","1990","A","","Pinellas County, Florida","Federal Government","Support activities for air transportation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,124,5275256,0,0,816,42457,"",0.98,1.34,1.50,0.00,0.00,1.12,1.12,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12103","1","48811","77","0","1990","A","","Pinellas County, Florida","Federal Government","Airport operations","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,124,5275256,0,0,816,42457,"",0.98,1.34,1.50,0.00,0.00,1.12,1.12,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
