"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"13045","0","10","70","0","1990","A","","Carroll County, Georgia","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1328,27123,498727765,0,0,354,18388,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",63,5.0,119,0.4,31052166,6.6,-169054054,-100.0,-2035913,-100.0,21,6.3,1070,6.2
"13045","1","10","71","0","1990","A","","Carroll County, Georgia","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,207,5080559,0,0,472,24564,"",1.09,0.26,0.27,0.00,0.00,1.04,1.04,"",1,10.0,21,11.3,534029,11.7,0,0.0,0,0.0,2,0.4,121,0.5
"13045","1","102","72","0","1990","A","","Carroll County, Georgia","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",11,207,5080559,0,0,472,24564,"",1.09,0.27,0.28,0.00,0.00,1.04,1.04,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13045","1","1021","73","0","1990","A","","Carroll County, Georgia","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,138,3547118,0,0,496,25782,"",0.78,0.58,0.62,0.00,0.00,1.07,1.07,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13045","1","1028","73","0","1990","A","","Carroll County, Georgia","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",8,69,1533441,0,0,426,22144,"",1.53,0.17,0.16,0.00,0.00,0.94,0.94,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13045","1","48-49","74","0","1990","A","","Carroll County, Georgia","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,138,3547118,0,0,496,25782,"",0.80,0.64,0.65,0.00,0.00,1.03,1.03,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13045","1","491","75","0","1990","A","","Carroll County, Georgia","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,138,3547118,0,0,496,25782,"",0.82,0.67,0.69,0.00,0.00,1.04,1.04,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13045","1","4911","76","0","1990","A","","Carroll County, Georgia","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,138,3547118,0,0,496,25782,"",0.82,0.67,0.69,0.00,0.00,1.04,1.04,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13045","1","49111","77","0","1990","A","","Carroll County, Georgia","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,138,3547118,0,0,496,25782,"",0.82,0.67,0.69,0.00,0.00,1.04,1.04,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13045","1","491110","78","0","1990","A","","Carroll County, Georgia","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,138,3547118,0,0,496,25782,"",0.82,0.67,0.69,0.00,0.00,1.04,1.04,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13045","1","92","74","0","1990","A","","Carroll County, Georgia","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",8,69,1533441,0,0,426,22144,"",1.53,0.17,0.16,0.00,0.00,0.94,0.94,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13045","1","923","75","0","1990","A","","Carroll County, Georgia","Federal Government","Administration of human resource programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,13,331912,0,0,491,25532,"",2.43,0.37,0.37,0.00,0.00,1.00,1.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13045","1","9231","76","0","1990","A","","Carroll County, Georgia","Federal Government","Administration of human resource programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,13,331912,0,0,491,25532,"",2.43,0.37,0.37,0.00,0.00,1.00,1.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13045","1","92313","77","0","1990","A","","Carroll County, Georgia","Federal Government","Other human resource programs administration","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,13,331912,0,0,491,25532,"",3.31,0.66,0.71,0.00,0.00,1.07,1.07,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13045","1","923130","78","0","1990","A","","Carroll County, Georgia","Federal Government","Other human resource programs administration","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,13,331912,0,0,491,25532,"",3.31,0.66,0.71,0.00,0.00,1.07,1.07,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13045","1","924","75","0","1990","A","","Carroll County, Georgia","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,4,114333,0,0,498,25887,"",1.45,0.14,0.17,0.00,0.00,1.12,1.12,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13045","1","9241","76","0","1990","A","","Carroll County, Georgia","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,4,114333,0,0,498,25887,"",1.45,0.14,0.17,0.00,0.00,1.12,1.12,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13045","1","92412","77","0","1990","A","","Carroll County, Georgia","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,4,114333,0,0,498,25887,"",1.47,0.16,0.21,0.00,0.00,1.18,1.18,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13045","1","924120","78","0","1990","A","","Carroll County, Georgia","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,4,114333,0,0,498,25887,"",1.47,0.16,0.21,0.00,0.00,1.18,1.18,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13045","1","926","75","0","1990","A","","Carroll County, Georgia","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,47,1013920,0,0,413,21459,"",1.43,0.73,0.72,0.00,0.00,0.99,0.99,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13045","1","9261","76","0","1990","A","","Carroll County, Georgia","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,47,1013920,0,0,413,21459,"",1.43,0.73,0.72,0.00,0.00,0.99,0.99,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13045","1","92611","77","0","1990","A","","Carroll County, Georgia","Federal Government","Administration of general economic programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,22,296649,0,0,262,13639,"",1.59,0.65,0.60,0.00,0.00,0.92,0.93,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13045","1","926110","78","0","1990","A","","Carroll County, Georgia","Federal Government","Administration of general economic programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,22,296649,0,0,262,13639,"",1.59,0.65,0.60,0.00,0.00,0.92,0.93,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13045","1","92614","77","0","1990","A","","Carroll County, Georgia","Federal Government","Agricultural market and commodity regulation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,26,717271,0,0,541,28128,"",1.66,2.01,2.27,0.00,0.00,1.15,1.15,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13045","1","926140","78","0","1990","A","","Carroll County, Georgia","Federal Government","Agricultural market and commodity regulation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,26,717271,0,0,541,28128,"",1.66,2.01,2.27,0.00,0.00,1.15,1.15,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13045","2","10","71","0","1990","A","","Carroll County, Georgia","State Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,1154,28607641,0,0,477,24797,"",1.06,1.16,1.42,0.00,0.00,1.22,1.22,"",0,0.0,40,3.6,1977636,7.4,0,0.0,0,0.0,18,3.9,893,3.7
"13045","2","102","72","0","1990","A","","Carroll County, Georgia","State Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",13,1154,28607641,0,0,477,24797,"",1.09,1.19,1.46,0.00,0.00,1.22,1.22,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13045","2","1025","73","0","1990","A","","Carroll County, Georgia","State Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",3,951,24242337,0,0,490,25491,"",1.24,1.83,2.43,0.00,0.00,1.32,1.32,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13045","2","1028","73","0","1990","A","","Carroll County, Georgia","State Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",7,74,1703797,0,0,444,23076,"",0.80,0.18,0.20,0.00,0.00,1.07,1.07,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13045","2","92","74","0","1990","A","","Carroll County, Georgia","State Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",7,74,1703797,0,0,444,23076,"",0.80,0.18,0.20,0.00,0.00,1.07,1.07,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13045","3","10","71","0","1990","A","","Carroll County, Georgia","Local Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",15,2696,48060972,0,0,343,17827,"",0.66,1.02,0.99,0.00,0.00,0.97,0.97,"",0,0.0,111,4.3,5849476,13.9,-239332,-100.0,-1452,-100.0,29,9.2,1498,9.2
"13045","3","102","72","0","1990","A","","Carroll County, Georgia","Local Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",15,2696,48060972,0,0,343,17827,"",0.69,1.03,1.00,0.00,0.00,0.97,0.97,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13045","3","921","75","0","1990","A","","Carroll County, Georgia","Local Government","Executive, legislative and general government","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,683,12394816,0,0,349,18154,"",1.20,1.28,1.35,0.00,0.00,1.06,1.06,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13045","3","9211","76","0","1990","A","","Carroll County, Georgia","Local Government","Executive, legislative and general government","County, NAICS 4-digit -- by ownership sector","All establishment sizes",9,683,12394816,0,0,349,18154,"",1.20,1.28,1.35,0.00,0.00,1.06,1.06,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
