"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"13247","0","10","70","0","1990","A","","Rockdale County, Georgia","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1244,20284,421630352,0,0,400,20787,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",57,4.8,1375,7.3,51659790,14.0,-127097757,-100.0,-1633665,-100.0,24,6.4,1222,6.2
"13247","1","10","71","0","1990","A","","Rockdale County, Georgia","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",4,105,2883301,0,0,529,27504,"",0.42,0.17,0.18,0.00,0.00,1.03,1.03,"",0,0.0,6,6.1,360230,14.3,0,0.0,0,0.0,39,8.0,2019,7.9
"13247","1","102","72","0","1990","A","","Rockdale County, Georgia","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",4,105,2883301,0,0,529,27504,"",0.42,0.18,0.19,0.00,0.00,1.03,1.03,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13247","1","1021","73","0","1990","A","","Rockdale County, Georgia","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",2,89,2591491,0,0,559,29063,"",0.55,0.50,0.53,0.00,0.00,1.07,1.07,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13247","1","1028","73","0","1990","A","","Rockdale County, Georgia","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,16,291810,0,0,358,18626,"",0.41,0.05,0.04,0.00,0.00,0.70,0.70,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13247","1","48-49","74","0","1990","A","","Rockdale County, Georgia","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",2,89,2591491,0,0,559,29063,"",0.57,0.55,0.56,0.00,0.00,1.02,1.02,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13247","1","491","75","0","1990","A","","Rockdale County, Georgia","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,89,2591491,0,0,559,29063,"",0.58,0.58,0.60,0.00,0.00,1.04,1.04,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13247","1","4911","76","0","1990","A","","Rockdale County, Georgia","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,89,2591491,0,0,559,29063,"",0.58,0.58,0.60,0.00,0.00,1.04,1.04,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13247","1","49111","77","0","1990","A","","Rockdale County, Georgia","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,89,2591491,0,0,559,29063,"",0.58,0.58,0.60,0.00,0.00,1.04,1.04,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13247","1","491110","78","0","1990","A","","Rockdale County, Georgia","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,89,2591491,0,0,559,29063,"",0.58,0.58,0.60,0.00,0.00,1.04,1.04,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13247","1","92","74","0","1990","A","","Rockdale County, Georgia","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",2,16,291810,0,0,358,18626,"",0.41,0.05,0.04,0.00,0.00,0.70,0.70,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13247","1","926","75","0","1990","A","","Rockdale County, Georgia","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,16,291810,0,0,358,18626,"",1.02,0.33,0.25,0.00,0.00,0.76,0.76,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13247","1","9261","76","0","1990","A","","Rockdale County, Georgia","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,16,291810,0,0,358,18626,"",1.02,0.33,0.25,0.00,0.00,0.76,0.76,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13247","1","92611","77","0","1990","A","","Rockdale County, Georgia","Federal Government","Administration of general economic programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,10,80570,0,0,160,8335,"",1.70,0.40,0.19,0.00,0.00,0.50,0.50,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13247","1","926110","78","0","1990","A","","Rockdale County, Georgia","Federal Government","Administration of general economic programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,10,80570,0,0,160,8335,"",1.70,0.40,0.19,0.00,0.00,0.50,0.50,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13247","1","92614","77","0","1990","A","","Rockdale County, Georgia","Federal Government","Agricultural market and commodity regulation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,6,211240,0,0,677,35207,"",0.89,0.62,0.79,0.00,0.00,1.27,1.27,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13247","1","926140","78","0","1990","A","","Rockdale County, Georgia","Federal Government","Agricultural market and commodity regulation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,6,211240,0,0,677,35207,"",0.89,0.62,0.79,0.00,0.00,1.27,1.27,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13247","2","10","71","0","1990","A","","Rockdale County, Georgia","State Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,157,3588181,0,0,439,22818,"",0.96,0.21,0.21,0.00,0.00,1.00,1.00,"",0,0.0,6,4.0,336860,10.4,0,0.0,0,0.0,25,6.0,1287,6.0
"13247","2","102","72","0","1990","A","","Rockdale County, Georgia","State Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",11,157,3588181,0,0,439,22818,"",0.99,0.22,0.22,0.00,0.00,0.99,0.99,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13247","2","1028","73","0","1990","A","","Rockdale County, Georgia","State Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",8,66,1662138,0,0,487,25344,"",0.97,0.22,0.23,0.00,0.00,1.04,1.04,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13247","2","92","74","0","1990","A","","Rockdale County, Georgia","State Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",8,66,1662138,0,0,487,25344,"",0.97,0.22,0.23,0.00,0.00,1.04,1.04,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13247","2","922","75","0","1990","A","","Rockdale County, Georgia","State Government","Justice, public order, and safety activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,53,1410447,0,0,515,26781,"",2.47,0.56,0.58,0.00,0.00,1.03,1.03,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13247","2","9221","76","0","1990","A","","Rockdale County, Georgia","State Government","Justice, public order, and safety activities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,53,1410447,0,0,515,26781,"",2.47,0.56,0.58,0.00,0.00,1.03,1.03,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13247","3","10","71","0","1990","A","","Rockdale County, Georgia","Local Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,2671,52968685,0,0,381,19829,"",0.28,1.35,1.29,0.00,0.00,0.95,0.95,"",1,20.0,263,10.9,6353665,13.6,0,0.0,0,0.0,9,2.4,471,2.4
"13247","3","102","72","0","1990","A","","Rockdale County, Georgia","Local Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,2671,52968685,0,0,381,19829,"",0.29,1.37,1.30,0.00,0.00,0.95,0.95,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13247","5","10","71","0","1990","A","","Rockdale County, Georgia","Private","Total, all industries","County, Total -- by ownership sector","All establishment sizes",1223,17350,362190185,0,0,401,20875,"",1.02,1.02,1.04,0.00,0.00,1.02,1.02,"",56,4.8,1100,6.8,44609035,14.0,-127097757,-100.0,-1633665,-100.0,26,6.9,1332,6.8
"13247","5","101","72","0","1990","A","","Rockdale County, Georgia","Private","Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",338,7406,184161591,0,0,478,24865,"",1.41,1.60,1.66,0.00,0.00,1.03,1.03,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13247","5","1011","73","0","1990","A","","Rockdale County, Georgia","Private","Natural resources and mining","County, by Supersector -- by ownership sector","All establishment sizes",6,36,1453518,0,0,773,40189,"",0.23,0.11,0.22,0.00,0.00,2.00,2.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13247","5","1012","73","0","1990","A","","Rockdale County, Georgia","Private","Construction","County, by Supersector -- by ownership sector","All establishment sizes",243,2020,48326872,0,0,460,23928,"",1.80,2.09,2.15,0.00,0.00,1.03,1.03,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13247","5","1013","73","0","1990","A","","Rockdale County, Georgia","Private","Manufacturing","County, by Supersector -- by ownership sector","All establishment sizes",90,5351,134381201,0,0,483,25115,"",1.14,1.61,1.64,0.00,0.00,1.02,1.02,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
