"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"17035","0","10","70","0","1990","A","","Cumberland County, Illinois","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",156,1420,20523147,0,0,278,14455,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",0,0.0,41,3.0,1639914,8.7,-9236212,-100.0,-311360,-100.0,15,5.7,762,5.6
"17035","1","10","71","0","1990","A","","Cumberland County, Illinois","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,34,740179,0,0,418,21717,"",5.89,0.81,0.95,0.00,0.00,1.17,1.17,"",0,0.0,-1,-2.9,16815,2.3,0,0.0,0,0.0,21,5.3,1050,5.1
"17035","1","102","72","0","1990","A","","Cumberland County, Illinois","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,34,740179,0,0,418,21717,"",5.93,0.84,0.99,0.00,0.00,1.17,1.17,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17035","1","1021","73","0","1990","A","","Cumberland County, Illinois","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,24,525877,0,0,421,21912,"",11.04,1.92,2.22,0.00,0.00,1.16,1.16,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17035","1","1028","73","0","1990","A","","Cumberland County, Illinois","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,10,214302,0,0,409,21253,"",3.26,0.46,0.53,0.00,0.00,1.14,1.14,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17035","1","48-49","74","0","1990","A","","Cumberland County, Illinois","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",5,24,525877,0,0,421,21912,"",11.38,2.11,2.35,0.00,0.00,1.11,1.11,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17035","1","491","75","0","1990","A","","Cumberland County, Illinois","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,24,525877,0,0,421,21912,"",11.61,2.22,2.50,0.00,0.00,1.12,1.12,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17035","1","4911","76","0","1990","A","","Cumberland County, Illinois","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,24,525877,0,0,421,21912,"",11.61,2.22,2.50,0.00,0.00,1.12,1.12,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17035","1","49111","77","0","1990","A","","Cumberland County, Illinois","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",5,24,525877,0,0,421,21912,"",11.61,2.22,2.50,0.00,0.00,1.12,1.12,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17035","1","491110","78","0","1990","A","","Cumberland County, Illinois","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",5,24,525877,0,0,421,21912,"",11.61,2.22,2.50,0.00,0.00,1.12,1.12,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17035","1","92","74","0","1990","A","","Cumberland County, Illinois","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",2,10,214302,0,0,409,21253,"",3.26,0.46,0.53,0.00,0.00,1.14,1.14,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17035","1","924","75","0","1990","A","","Cumberland County, Illinois","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,2,65806,0,0,542,28203,"",6.18,1.34,2.44,0.00,0.00,1.55,1.55,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17035","1","9241","76","0","1990","A","","Cumberland County, Illinois","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,2,65806,0,0,542,28203,"",6.18,1.34,2.44,0.00,0.00,1.55,1.55,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17035","1","92412","77","0","1990","A","","Cumberland County, Illinois","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,2,65806,0,0,542,28203,"",6.27,1.55,2.95,0.00,0.00,1.63,1.63,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17035","1","924120","78","0","1990","A","","Cumberland County, Illinois","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,2,65806,0,0,542,28203,"",6.27,1.55,2.95,0.00,0.00,1.63,1.63,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17035","1","926","75","0","1990","A","","Cumberland County, Illinois","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,8,148496,0,0,368,19161,"",4.07,2.36,2.57,0.00,0.00,1.12,1.12,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17035","1","9261","76","0","1990","A","","Cumberland County, Illinois","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,8,148496,0,0,368,19161,"",4.07,2.36,2.57,0.00,0.00,1.12,1.12,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17035","1","92614","77","0","1990","A","","Cumberland County, Illinois","Federal Government","Agricultural market and commodity regulation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,8,148496,0,0,368,19161,"",7.09,11.83,11.42,0.00,0.00,0.99,1.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17035","1","926140","78","0","1990","A","","Cumberland County, Illinois","Federal Government","Agricultural market and commodity regulation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,8,148496,0,0,368,19161,"",7.09,11.83,11.42,0.00,0.00,0.99,1.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17035","3","10","71","0","1990","A","","Cumberland County, Illinois","Local Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",20,387,5935867,0,0,295,15358,"",7.52,2.80,2.97,0.00,0.00,1.06,1.06,"",0,0.0,16,4.3,295183,5.2,-1660853,-100.0,-25768,-100.0,3,1.0,154,1.0
"17035","3","1028","73","0","1990","A","","Cumberland County, Illinois","Local Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",10,118,1117183,0,0,182,9441,"",7.26,2.92,1.87,0.00,0.00,0.64,0.64,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17035","3","92","74","0","1990","A","","Cumberland County, Illinois","Local Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",10,118,1117183,0,0,182,9441,"",7.26,2.92,1.87,0.00,0.00,0.64,0.64,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17035","3","921","75","0","1990","A","","Cumberland County, Illinois","Local Government","Executive, legislative and general government","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,112,1034940,0,0,178,9282,"",9.05,4.01,2.74,0.00,0.00,0.69,0.69,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17035","3","9211","76","0","1990","A","","Cumberland County, Illinois","Local Government","Executive, legislative and general government","County, NAICS 4-digit -- by ownership sector","All establishment sizes",8,112,1034940,0,0,178,9282,"",9.05,4.01,2.74,0.00,0.00,0.69,0.69,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17035","5","10","71","0","1990","A","","Cumberland County, Illinois","Private","Total, all industries","County, Total -- by ownership sector","All establishment sizes",129,999,13847101,0,0,267,13859,"",0.86,0.84,0.82,0.00,0.00,0.98,0.97,"",0,0.0,26,2.7,1327916,10.6,-7575359,-100.0,-285592,-100.0,20,8.1,993,7.7
