"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"17087","0","10","70","0","1990","A","","Johnson County, Illinois","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",158,1187,17669311,0,0,286,14886,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",2,1.3,54,4.8,1658415,10.4,-7441996,-100.0,-288858,-100.0,15,5.5,755,5.3
"17087","1","10","71","0","1990","A","","Johnson County, Illinois","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,70,1383092,0,0,380,19758,"",5.82,1.99,2.06,0.00,0.00,1.03,1.03,"",-1,-12.5,-1,-1.4,38712,2.9,0,0.0,0,0.0,16,4.4,824,4.4
"17087","1","102","72","0","1990","A","","Johnson County, Illinois","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,70,1383092,0,0,380,19758,"",5.85,2.08,2.15,0.00,0.00,1.04,1.04,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17087","1","1021","73","0","1990","A","","Johnson County, Illinois","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,38,788143,0,0,403,20971,"",8.72,3.63,3.86,0.00,0.00,1.08,1.07,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17087","1","1028","73","0","1990","A","","Johnson County, Illinois","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,32,594949,0,0,353,18353,"",4.83,1.76,1.71,0.00,0.00,0.96,0.96,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17087","1","48-49","74","0","1990","A","","Johnson County, Illinois","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",4,38,788143,0,0,403,20971,"",8.99,4.00,4.09,0.00,0.00,1.03,1.03,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17087","1","491","75","0","1990","A","","Johnson County, Illinois","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,38,788143,0,0,403,20971,"",9.17,4.21,4.35,0.00,0.00,1.04,1.04,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17087","1","4911","76","0","1990","A","","Johnson County, Illinois","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,38,788143,0,0,403,20971,"",9.17,4.21,4.35,0.00,0.00,1.04,1.04,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17087","1","49111","77","0","1990","A","","Johnson County, Illinois","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,38,788143,0,0,403,20971,"",9.17,4.21,4.35,0.00,0.00,1.04,1.04,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17087","1","491110","78","0","1990","A","","Johnson County, Illinois","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,38,788143,0,0,403,20971,"",9.17,4.21,4.35,0.00,0.00,1.04,1.04,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
