"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"18007","0","10","70","0","1990","A","","Benton County, Indiana","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",226,2378,38499382,0,0,311,16192,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",0,0.0,51,2.2,3112060,8.8,-11785887,-100.0,-110354,-100.0,19,6.5,985,6.5
"18007","1","10","71","0","1990","A","","Benton County, Indiana","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",3,39,889528,0,0,442,23005,"",1.74,0.55,0.61,0.00,0.00,1.11,1.11,"",-1,-25.0,0,0.0,12765,1.5,0,0.0,0,0.0,10,2.3,524,2.3
"18007","1","102","72","0","1990","A","","Benton County, Indiana","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",3,39,889528,0,0,442,23005,"",1.75,0.58,0.64,0.00,0.00,1.11,1.11,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18007","1","1021","73","0","1990","A","","Benton County, Indiana","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,31,754433,0,0,463,24078,"",1.52,1.48,1.70,0.00,0.00,1.14,1.13,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18007","1","1028","73","0","1990","A","","Benton County, Indiana","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,7,135095,0,0,354,18422,"",2.25,0.19,0.18,0.00,0.00,0.88,0.88,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18007","1","48-49","74","0","1990","A","","Benton County, Indiana","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,31,754433,0,0,463,24078,"",1.57,1.63,1.79,0.00,0.00,1.09,1.09,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18007","1","491","75","0","1990","A","","Benton County, Indiana","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,31,754433,0,0,463,24078,"",1.60,1.72,1.91,0.00,0.00,1.10,1.10,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18007","1","4911","76","0","1990","A","","Benton County, Indiana","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,31,754433,0,0,463,24078,"",1.60,1.72,1.91,0.00,0.00,1.10,1.10,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18007","1","49111","77","0","1990","A","","Benton County, Indiana","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,31,754433,0,0,463,24078,"",1.60,1.72,1.91,0.00,0.00,1.10,1.10,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18007","1","491110","78","0","1990","A","","Benton County, Indiana","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,31,754433,0,0,463,24078,"",1.60,1.72,1.91,0.00,0.00,1.10,1.10,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18007","1","92","74","0","1990","A","","Benton County, Indiana","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",2,7,135095,0,0,354,18422,"",2.25,0.19,0.18,0.00,0.00,0.88,0.88,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18007","1","926","75","0","1990","A","","Benton County, Indiana","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,7,135095,0,0,354,18422,"",5.61,1.23,1.25,0.00,0.00,0.97,0.97,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18007","1","9261","76","0","1990","A","","Benton County, Indiana","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,7,135095,0,0,354,18422,"",5.61,1.23,1.25,0.00,0.00,0.97,0.97,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18007","1","92614","77","0","1990","A","","Benton County, Indiana","Federal Government","Agricultural market and commodity regulation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,7,135095,0,0,354,18422,"",9.78,6.18,5.54,0.00,0.00,0.86,0.86,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18007","1","926140","78","0","1990","A","","Benton County, Indiana","Federal Government","Agricultural market and commodity regulation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,7,135095,0,0,354,18422,"",9.78,6.18,5.54,0.00,0.00,0.86,0.86,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18007","2","10","71","0","1990","A","","Benton County, Indiana","State Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,55,1166805,0,0,409,21247,"",4.79,0.63,0.75,0.00,0.00,1.19,1.19,"N",10,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"18007","2","102","72","0","1990","A","","Benton County, Indiana","State Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",10,55,1166805,0,0,409,21247,"",4.93,0.65,0.77,0.00,0.00,1.19,1.19,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
