"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"19099","0","10","70","0","1990","A","","Jasper County, Iowa","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",873,12381,256572718,0,0,399,20724,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",38,4.6,121,1.0,9901589,4.0,-99985825,-100.0,-1079631,-100.0,13,3.4,605,3.0
"19099","1","10","71","0","1990","A","","Jasper County, Iowa","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,125,3034745,0,0,466,24246,"",1.05,0.34,0.31,0.00,0.00,0.91,0.91,"",0,0.0,10,8.7,454636,17.6,0,0.0,0,0.0,35,8.1,1811,8.1
"19099","1","102","72","0","1990","A","","Jasper County, Iowa","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,125,3034745,0,0,466,24246,"",1.06,0.36,0.33,0.00,0.00,0.91,0.91,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19099","1","1021","73","0","1990","A","","Jasper County, Iowa","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,80,2121736,0,0,507,26384,"",0.39,0.73,0.72,0.00,0.00,0.97,0.97,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19099","1","1028","73","0","1990","A","","Jasper County, Iowa","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",6,45,913009,0,0,392,20402,"",1.75,0.24,0.18,0.00,0.00,0.76,0.76,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19099","1","48-49","74","0","1990","A","","Jasper County, Iowa","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,80,2121736,0,0,507,26384,"",0.41,0.81,0.76,0.00,0.00,0.93,0.93,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19099","1","491","75","0","1990","A","","Jasper County, Iowa","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,80,2121736,0,0,507,26384,"",0.41,0.85,0.81,0.00,0.00,0.94,0.94,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19099","1","4911","76","0","1990","A","","Jasper County, Iowa","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,80,2121736,0,0,507,26384,"",0.41,0.85,0.81,0.00,0.00,0.94,0.94,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19099","1","49111","77","0","1990","A","","Jasper County, Iowa","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,80,2121736,0,0,507,26384,"",0.41,0.85,0.81,0.00,0.00,0.94,0.94,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19099","1","491110","78","0","1990","A","","Jasper County, Iowa","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,80,2121736,0,0,507,26384,"",0.41,0.85,0.81,0.00,0.00,0.94,0.94,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19099","1","92","74","0","1990","A","","Jasper County, Iowa","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",6,45,913009,0,0,392,20402,"",1.75,0.24,0.18,0.00,0.00,0.76,0.76,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19099","1","924","75","0","1990","A","","Jasper County, Iowa","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,5,81685,0,0,337,17504,"",1.10,0.39,0.24,0.00,0.00,0.67,0.67,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19099","1","9241","76","0","1990","A","","Jasper County, Iowa","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,5,81685,0,0,337,17504,"",1.10,0.39,0.24,0.00,0.00,0.67,0.67,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19099","1","92412","77","0","1990","A","","Jasper County, Iowa","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,5,81685,0,0,337,17504,"",1.12,0.44,0.29,0.00,0.00,0.71,0.71,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19099","1","924120","78","0","1990","A","","Jasper County, Iowa","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,5,81685,0,0,337,17504,"",1.12,0.44,0.29,0.00,0.00,0.71,0.71,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19099","1","926","75","0","1990","A","","Jasper County, Iowa","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,39,790205,0,0,394,20480,"",2.91,1.32,1.09,0.00,0.00,0.84,0.84,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19099","1","9261","76","0","1990","A","","Jasper County, Iowa","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,39,790205,0,0,394,20480,"",2.91,1.32,1.09,0.00,0.00,0.84,0.84,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
