"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"19191","0","10","70","0","1990","A","","Winneshiek County, Iowa","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",611,8084,129856197,0,0,309,16063,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",22,3.7,578,7.7,14525045,12.6,-43748393,-100.0,-1055900,-100.0,14,4.7,698,4.5
"19191","1","10","71","0","1990","A","","Winneshiek County, Iowa","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,102,2427950,0,0,459,23881,"",1.93,0.43,0.49,0.00,0.00,1.16,1.16,"",0,0.0,-4,-3.8,123538,5.4,0,0.0,0,0.0,41,9.8,2142,9.9
"19191","1","102","72","0","1990","A","","Winneshiek County, Iowa","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,102,2427950,0,0,459,23881,"",1.95,0.44,0.51,0.00,0.00,1.16,1.16,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19191","1","1021","73","0","1990","A","","Winneshiek County, Iowa","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,63,1612949,0,0,490,25501,"",0.56,0.88,1.07,0.00,0.00,1.21,1.21,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19191","1","1024","73","0","1990","A","","Winneshiek County, Iowa","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,1,25401,0,0,488,25401,"",9.32,0.19,0.24,0.00,0.00,1.25,1.25,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19191","1","1028","73","0","1990","A","","Winneshiek County, Iowa","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",7,37,789600,0,0,406,21103,"",2.91,0.30,0.31,0.00,0.00,1.02,1.02,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19191","1","48-49","74","0","1990","A","","Winneshiek County, Iowa","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,63,1612949,0,0,490,25501,"",0.58,0.97,1.14,0.00,0.00,1.16,1.16,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19191","1","491","75","0","1990","A","","Winneshiek County, Iowa","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,63,1612949,0,0,490,25501,"",0.59,1.03,1.21,0.00,0.00,1.17,1.18,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19191","1","4911","76","0","1990","A","","Winneshiek County, Iowa","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,63,1612949,0,0,490,25501,"",0.59,1.03,1.21,0.00,0.00,1.17,1.18,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19191","1","49111","77","0","1990","A","","Winneshiek County, Iowa","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,63,1612949,0,0,490,25501,"",0.59,1.03,1.21,0.00,0.00,1.17,1.18,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
