"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"20049","0","10","70","0","1990","A","","Elk County, Kansas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",98,645,7981177,0,0,238,12379,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",1,1.0,28,4.5,789088,11.0,-5170922,-100.0,-59543,-100.0,14,6.2,723,6.2
"20049","1","10","71","0","1990","A","","Elk County, Kansas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",3,20,455961,0,0,431,22424,"",4.02,1.05,1.50,0.00,0.00,1.41,1.41,"",0,0.0,-1,-4.8,19727,4.5,0,0.0,0,0.0,32,8.0,1651,7.9
"20049","1","102","72","0","1990","A","","Elk County, Kansas","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",3,20,455961,0,0,431,22424,"",4.04,1.09,1.57,0.00,0.00,1.41,1.41,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20049","1","1021","73","0","1990","A","","Elk County, Kansas","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,16,340196,0,0,422,21948,"",3.51,2.81,3.69,0.00,0.00,1.35,1.35,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20049","1","1028","73","0","1990","A","","Elk County, Kansas","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,5,115765,0,0,461,23951,"",5.19,0.51,0.74,0.00,0.00,1.51,1.50,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20049","1","48-49","74","0","1990","A","","Elk County, Kansas","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,16,340196,0,0,422,21948,"",3.62,3.10,3.90,0.00,0.00,1.30,1.30,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20049","1","491","75","0","1990","A","","Elk County, Kansas","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,16,340196,0,0,422,21948,"",3.70,3.27,4.15,0.00,0.00,1.31,1.31,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20049","1","4911","76","0","1990","A","","Elk County, Kansas","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,16,340196,0,0,422,21948,"",3.70,3.27,4.15,0.00,0.00,1.31,1.31,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20049","1","49111","77","0","1990","A","","Elk County, Kansas","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,16,340196,0,0,422,21948,"",3.70,3.27,4.15,0.00,0.00,1.31,1.31,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20049","1","491110","78","0","1990","A","","Elk County, Kansas","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,16,340196,0,0,422,21948,"",3.70,3.27,4.15,0.00,0.00,1.31,1.31,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
