"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"20091","0","10","70","0","1990","A","","Johnson County, Kansas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",12169,187920,4375452104,0,0,448,23284,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",554,4.8,7326,4.1,346645341,8.6,-1592960450,-100.0,-33887080,-100.0,19,4.4,976,4.4
"20091","1","10","71","0","1990","A","","Johnson County, Kansas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",22,3291,107049030,0,0,625,32524,"",0.24,0.59,0.64,0.00,0.00,1.09,1.09,"",1,4.8,123,3.9,9444588,9.7,0,0.0,0,0.0,33,5.6,1715,5.6
"20091","1","102","72","0","1990","A","","Johnson County, Kansas","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",22,3291,107049030,0,0,625,32524,"",0.24,0.62,0.67,0.00,0.00,1.09,1.09,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20091","1","1021","73","0","1990","A","","Johnson County, Kansas","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",2,1645,66825663,0,0,781,40617,"",0.06,0.99,1.32,0.00,0.00,1.33,1.33,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20091","1","1023","73","0","1990","A","","Johnson County, Kansas","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,78,2626587,0,0,644,33495,"",0.27,1.25,1.34,0.00,0.00,1.07,1.07,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20091","1","1024","73","0","1990","A","","Johnson County, Kansas","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",2,5,218056,0,0,799,41534,"",0.94,0.04,0.06,0.00,0.00,1.41,1.41,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20091","1","1028","73","0","1990","A","","Johnson County, Kansas","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",17,1563,37378724,0,0,460,23922,"",0.36,0.54,0.43,0.00,0.00,0.80,0.80,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20091","1","48-49","74","0","1990","A","","Johnson County, Kansas","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",2,1645,66825663,0,0,781,40617,"",0.06,1.09,1.40,0.00,0.00,1.28,1.28,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20091","1","488","75","0","1990","A","","Johnson County, Kansas","Federal Government","Support activities for transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,638,33345292,0,0,1005,52238,"",1.65,12.25,14.81,0.00,0.00,1.21,1.21,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20091","1","4881","76","0","1990","A","","Johnson County, Kansas","Federal Government","Support activities for air transportation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,638,33345292,0,0,1005,52238,"",1.67,12.79,15.26,0.00,0.00,1.19,1.19,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
