"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"20167","0","10","70","0","1990","A","","Russell County, Kansas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",356,3051,47454526,0,0,299,15556,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",-8,-2.2,80,2.7,2604369,5.8,-24258314,-100.0,-421042,-100.0,9,3.1,461,3.1
"20167","1","10","71","0","1990","A","","Russell County, Kansas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",4,47,1023062,0,0,419,21806,"",1.48,0.52,0.57,0.00,0.00,1.09,1.09,"",0,0.0,-3,-6.0,52604,5.4,0,0.0,0,0.0,46,12.3,2397,12.3
"20167","1","102","72","0","1990","A","","Russell County, Kansas","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",4,47,1023062,0,0,419,21806,"",1.48,0.54,0.59,0.00,0.00,1.09,1.09,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20167","1","1021","73","0","1990","A","","Russell County, Kansas","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",2,33,791743,0,0,468,24361,"",1.94,1.23,1.44,0.00,0.00,1.19,1.19,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20167","1","1028","73","0","1990","A","","Russell County, Kansas","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,14,231319,0,0,309,16045,"",1.43,0.30,0.25,0.00,0.00,0.80,0.80,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20167","1","48-49","74","0","1990","A","","Russell County, Kansas","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",2,33,791743,0,0,468,24361,"",1.99,1.35,1.53,0.00,0.00,1.15,1.15,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20167","1","491","75","0","1990","A","","Russell County, Kansas","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,32,765318,0,0,460,23916,"",1.02,1.38,1.57,0.00,0.00,1.14,1.14,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20167","1","4911","76","0","1990","A","","Russell County, Kansas","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,32,765318,0,0,460,23916,"",1.02,1.38,1.57,0.00,0.00,1.14,1.14,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20167","1","49111","77","0","1990","A","","Russell County, Kansas","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,32,765318,0,0,460,23916,"",1.02,1.38,1.57,0.00,0.00,1.14,1.14,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20167","1","491110","78","0","1990","A","","Russell County, Kansas","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,32,765318,0,0,460,23916,"",1.02,1.38,1.57,0.00,0.00,1.14,1.14,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
