"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"20209","0","10","70","0","1990","A","","Wyandotte County, Kansas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",3591,77284,1850127812,0,0,460,23939,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",44,1.2,52,0.1,69567108,3.9,-681942934,-100.0,-15555252,-100.0,17,3.8,885,3.8
"20209","1","10","71","0","1990","A","","Wyandotte County, Kansas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",19,1985,68564777,0,0,664,34540,"",0.70,0.87,0.97,0.00,0.00,1.12,1.12,"",1,5.6,-12,-0.6,5437557,8.6,0,0.0,0,0.0,57,9.4,2929,9.3
"20209","1","102","72","0","1990","A","","Wyandotte County, Kansas","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",19,1985,68564777,0,0,664,34540,"",0.70,0.91,1.02,0.00,0.00,1.13,1.13,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20209","1","1021","73","0","1990","A","","Wyandotte County, Kansas","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",2,1034,35290869,0,0,657,34144,"",0.19,1.52,1.65,0.00,0.00,1.09,1.09,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20209","1","1023","73","0","1990","A","","Wyandotte County, Kansas","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,6,155211,0,0,512,26608,"",0.91,0.23,0.19,0.00,0.00,0.83,0.83,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20209","1","1028","73","0","1990","A","","Wyandotte County, Kansas","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",16,946,33118697,0,0,673,35022,"",1.13,0.80,0.91,0.00,0.00,1.14,1.14,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20209","1","48-49","74","0","1990","A","","Wyandotte County, Kansas","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",2,1034,35290869,0,0,657,34144,"",0.20,1.67,1.75,0.00,0.00,1.05,1.05,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20209","1","491","75","0","1990","A","","Wyandotte County, Kansas","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1033,35267323,0,0,657,34154,"",0.10,1.76,1.86,0.00,0.00,1.06,1.06,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20209","1","4911","76","0","1990","A","","Wyandotte County, Kansas","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1033,35267323,0,0,657,34154,"",0.10,1.76,1.86,0.00,0.00,1.06,1.06,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20209","1","49111","77","0","1990","A","","Wyandotte County, Kansas","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1033,35267323,0,0,657,34154,"",0.10,1.76,1.86,0.00,0.00,1.06,1.06,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20209","1","491110","78","0","1990","A","","Wyandotte County, Kansas","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1033,35267323,0,0,657,34154,"",0.10,1.76,1.86,0.00,0.00,1.06,1.06,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
