"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"21225","0","10","70","0","1990","A","","Union County, Kentucky","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",349,6451,159327310,0,0,475,24696,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",4,1.2,87,1.4,14427586,10.0,-46840565,-100.0,-1195065,-100.0,38,8.7,1928,8.5
"21225","1","10","71","0","1990","A","","Union County, Kentucky","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,59,1543158,0,0,503,26155,"",2.63,0.31,0.25,0.00,0.00,0.82,0.82,"",0,0.0,2,3.5,86163,5.9,0,0.0,0,0.0,12,2.4,594,2.3
"21225","1","102","72","0","1990","A","","Union County, Kentucky","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,59,1543158,0,0,503,26155,"",2.65,0.32,0.27,0.00,0.00,0.83,0.83,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21225","1","1021","73","0","1990","A","","Union County, Kentucky","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,35,884674,0,0,481,25038,"",2.96,0.62,0.48,0.00,0.00,0.77,0.77,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21225","1","1028","73","0","1990","A","","Union County, Kentucky","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,24,658484,0,0,535,27823,"",2.92,0.24,0.21,0.00,0.00,0.88,0.88,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21225","1","48-49","74","0","1990","A","","Union County, Kentucky","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,35,884674,0,0,481,25038,"",3.05,0.68,0.51,0.00,0.00,0.74,0.74,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21225","1","491","75","0","1990","A","","Union County, Kentucky","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,35,884674,0,0,481,25038,"",3.11,0.71,0.54,0.00,0.00,0.75,0.75,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21225","1","4911","76","0","1990","A","","Union County, Kentucky","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,35,884674,0,0,481,25038,"",3.11,0.71,0.54,0.00,0.00,0.75,0.75,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21225","1","49111","77","0","1990","A","","Union County, Kentucky","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,35,884674,0,0,481,25038,"",3.11,0.71,0.54,0.00,0.00,0.75,0.75,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21225","1","491110","78","0","1990","A","","Union County, Kentucky","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,35,884674,0,0,481,25038,"",3.11,0.71,0.54,0.00,0.00,0.75,0.75,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21225","1","92","74","0","1990","A","","Union County, Kentucky","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",4,24,658484,0,0,535,27823,"",2.92,0.24,0.21,0.00,0.00,0.88,0.88,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21225","1","924","75","0","1990","A","","Union County, Kentucky","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,7,160065,0,0,420,21827,"",5.52,1.04,0.76,0.00,0.00,0.70,0.70,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21225","1","9241","76","0","1990","A","","Union County, Kentucky","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,7,160065,0,0,420,21827,"",5.52,1.04,0.76,0.00,0.00,0.70,0.70,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21225","1","92412","77","0","1990","A","","Union County, Kentucky","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,7,160065,0,0,420,21827,"",5.61,1.19,0.92,0.00,0.00,0.74,0.74,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21225","1","924120","78","0","1990","A","","Union County, Kentucky","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,7,160065,0,0,420,21827,"",5.61,1.19,0.92,0.00,0.00,0.74,0.74,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21225","1","926","75","0","1990","A","","Union County, Kentucky","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,16,498419,0,0,587,30515,"",3.63,1.04,1.11,0.00,0.00,1.05,1.05,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21225","1","9261","76","0","1990","A","","Union County, Kentucky","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,16,498419,0,0,587,30515,"",3.63,1.04,1.11,0.00,0.00,1.05,1.05,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21225","1","92615","77","0","1990","A","","Union County, Kentucky","Federal Government","Licensing and regulating commercial sectors","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,12,473925,0,0,749,38953,"",31.95,10.14,10.20,0.00,0.00,0.99,0.99,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21225","1","926150","78","0","1990","A","","Union County, Kentucky","Federal Government","Licensing and regulating commercial sectors","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,12,473925,0,0,749,38953,"",31.95,10.14,10.20,0.00,0.00,0.99,0.99,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21225","2","10","71","0","1990","A","","Union County, Kentucky","State Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,48,878215,0,0,352,18296,"",3.41,0.20,0.14,0.00,0.00,0.67,0.67,"",0,0.0,-1,-2.0,41981,5.0,0,0.0,0,0.0,24,7.3,1230,7.2
"21225","2","102","72","0","1990","A","","Union County, Kentucky","State Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",11,48,878215,0,0,352,18296,"",3.51,0.21,0.14,0.00,0.00,0.67,0.67,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21225","3","10","71","0","1990","A","","Union County, Kentucky","Local Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,514,9708332,0,0,363,18879,"",2.35,0.82,0.63,0.00,0.00,0.76,0.76,"",0,0.0,-4,-0.8,724158,8.1,-188493,-100.0,-3084,-100.0,30,9.0,1536,8.9
"21225","3","102","72","0","1990","A","","Union County, Kentucky","Local Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",14,514,9708332,0,0,363,18879,"",2.45,0.83,0.63,0.00,0.00,0.76,0.76,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21225","3","1028","73","0","1990","A","","Union County, Kentucky","Local Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",8,175,2374462,0,0,262,13601,"",2.60,0.95,0.51,0.00,0.00,0.54,0.54,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21225","3","92","74","0","1990","A","","Union County, Kentucky","Local Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",8,175,2374462,0,0,262,13601,"",2.60,0.95,0.51,0.00,0.00,0.54,0.54,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21225","3","921","75","0","1990","A","","Union County, Kentucky","Local Government","Executive, legislative and general government","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,151,2141544,0,0,272,14143,"",2.53,1.19,0.73,0.00,0.00,0.61,0.61,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21225","3","9211","76","0","1990","A","","Union County, Kentucky","Local Government","Executive, legislative and general government","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,151,2141544,0,0,272,14143,"",2.53,1.19,0.73,0.00,0.00,0.61,0.61,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21225","3","92114","77","0","1990","A","","Union County, Kentucky","Local Government","Executive and legislative offices, combined","County, NAICS 5-digit -- by ownership sector","All establishment sizes",5,151,2141544,0,0,272,14143,"",4.06,1.82,1.13,0.00,0.00,0.62,0.62,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21225","3","921140","78","0","1990","A","","Union County, Kentucky","Local Government","Executive and legislative offices, combined","County, NAICS 6-digit -- by ownership sector","All establishment sizes",5,151,2141544,0,0,272,14143,"",4.06,1.82,1.13,0.00,0.00,0.62,0.62,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21225","5","10","71","0","1990","A","","Union County, Kentucky","Private","Total, all industries","County, Total -- by ownership sector","All establishment sizes",316,5830,147197605,0,0,486,25248,"",0.94,1.08,1.12,0.00,0.00,1.04,1.04,"",3,1.0,90,1.6,13575284,10.2,-46652072,-100.0,-1191981,-100.0,39,8.7,1969,8.5
"21225","5","101","72","0","1990","A","","Union County, Kentucky","Private","Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",74,3286,109102186,0,0,639,33204,"",1.10,2.24,2.60,0.00,0.00,1.16,1.16,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
