"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"26093","0","10","70","0","1990","A","","Livingston County, Michigan","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1980,27450,572791950,0,0,401,20867,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",118,6.3,781,2.9,32135395,5.9,-201269475,-100.0,-6378865,-100.0,12,3.1,595,2.9
"26093","1","10","71","0","1990","A","","Livingston County, Michigan","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",16,218,5377456,0,0,475,24696,"",1.06,0.27,0.25,0.00,0.00,0.92,0.92,"",1,6.7,17,8.5,618073,13.0,0,0.0,0,0.0,20,4.4,1018,4.3
"26093","1","102","72","0","1990","A","","Livingston County, Michigan","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",16,218,5377456,0,0,475,24696,"",1.07,0.28,0.26,0.00,0.00,0.92,0.92,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26093","1","1021","73","0","1990","A","","Livingston County, Michigan","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",10,182,4839529,0,0,511,26566,"",1.74,0.75,0.73,0.00,0.00,0.97,0.97,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26093","1","1023","73","0","1990","A","","Livingston County, Michigan","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",2,10,247584,0,0,468,24353,"",3.30,1.09,0.97,0.00,0.00,0.87,0.87,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26093","1","1028","73","0","1990","A","","Livingston County, Michigan","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,25,290343,0,0,220,11423,"",0.51,0.06,0.03,0.00,0.00,0.43,0.43,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26093","1","48-49","74","0","1990","A","","Livingston County, Michigan","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",10,182,4839529,0,0,511,26566,"",1.79,0.83,0.77,0.00,0.00,0.93,0.93,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26093","1","491","75","0","1990","A","","Livingston County, Michigan","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",10,182,4839529,0,0,511,26566,"",1.83,0.87,0.82,0.00,0.00,0.94,0.94,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26093","1","4911","76","0","1990","A","","Livingston County, Michigan","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",10,182,4839529,0,0,511,26566,"",1.83,0.87,0.82,0.00,0.00,0.94,0.94,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26093","1","49111","77","0","1990","A","","Livingston County, Michigan","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",10,182,4839529,0,0,511,26566,"",1.83,0.87,0.82,0.00,0.00,0.94,0.94,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26093","1","491110","78","0","1990","A","","Livingston County, Michigan","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",10,182,4839529,0,0,511,26566,"",1.83,0.87,0.82,0.00,0.00,0.94,0.94,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26093","1","52","74","0","1990","A","","Livingston County, Michigan","Federal Government","Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",2,10,247584,0,0,468,24353,"",3.31,1.11,0.98,0.00,0.00,0.86,0.86,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26093","1","522","75","0","1990","A","","Livingston County, Michigan","Federal Government","Credit intermediation and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,10,247584,0,0,468,24353,"",3.86,2.95,3.31,0.00,0.00,1.10,1.10,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26093","1","5222","76","0","1990","A","","Livingston County, Michigan","Federal Government","Nondepository credit intermediation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,10,247584,0,0,468,24353,"",3.87,2.96,3.32,0.00,0.00,1.10,1.10,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26093","1","52229","77","0","1990","A","","Livingston County, Michigan","Federal Government","Other nondepository credit intermediation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,10,247584,0,0,468,24353,"",3.87,2.96,3.32,0.00,0.00,1.10,1.10,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26093","1","522292","78","0","1990","A","","Livingston County, Michigan","Federal Government","Real estate credit","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,10,247584,0,0,468,24353,"",8.45,6.21,7.15,0.00,0.00,1.13,1.13,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26093","1","92","74","0","1990","A","","Livingston County, Michigan","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",4,25,290343,0,0,220,11423,"",0.51,0.06,0.03,0.00,0.00,0.43,0.43,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26093","1","924","75","0","1990","A","","Livingston County, Michigan","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,6,121889,0,0,380,19766,"",0.97,0.21,0.16,0.00,0.00,0.75,0.75,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26093","1","9241","76","0","1990","A","","Livingston County, Michigan","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,6,121889,0,0,380,19766,"",0.97,0.21,0.16,0.00,0.00,0.75,0.75,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26093","1","92412","77","0","1990","A","","Livingston County, Michigan","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,6,121889,0,0,380,19766,"",0.99,0.24,0.20,0.00,0.00,0.79,0.79,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26093","1","924120","78","0","1990","A","","Livingston County, Michigan","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,6,121889,0,0,380,19766,"",0.99,0.24,0.20,0.00,0.00,0.79,0.79,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26093","1","926","75","0","1990","A","","Livingston County, Michigan","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,19,168454,0,0,168,8751,"",0.64,0.29,0.10,0.00,0.00,0.36,0.36,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26093","1","9261","76","0","1990","A","","Livingston County, Michigan","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,19,168454,0,0,168,8751,"",0.64,0.29,0.10,0.00,0.00,0.36,0.36,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26093","1","92611","77","0","1990","A","","Livingston County, Michigan","Federal Government","Administration of general economic programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,18,124749,0,0,135,6995,"",1.07,0.53,0.22,0.00,0.00,0.42,0.42,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26093","1","926110","78","0","1990","A","","Livingston County, Michigan","Federal Government","Administration of general economic programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,18,124749,0,0,135,6995,"",1.07,0.53,0.22,0.00,0.00,0.42,0.42,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26093","3","102","72","0","1990","A","","Livingston County, Michigan","Local Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",27,3138,78847216,0,0,483,25124,"",0.83,1.19,1.43,0.00,0.00,1.20,1.20,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26093","3","1025","73","0","1990","A","","Livingston County, Michigan","Local Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",6,2377,62250608,0,0,504,26191,"",0.74,1.45,1.85,0.00,0.00,1.28,1.28,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26093","3","61","74","0","1990","A","","Livingston County, Michigan","Local Government","Educational services","County, NAICS Sector -- by ownership sector","All establishment sizes",6,2377,62250608,0,0,504,26191,"",0.90,1.64,2.08,0.00,0.00,1.27,1.27,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26093","3","611","75","0","1990","A","","Livingston County, Michigan","Local Government","Educational services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,2377,62250608,0,0,504,26191,"",0.90,1.64,2.08,0.00,0.00,1.27,1.27,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26093","3","6111","76","0","1990","A","","Livingston County, Michigan","Local Government","Elementary and secondary schools","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,2377,62250608,0,0,504,26191,"",0.94,1.77,2.21,0.00,0.00,1.25,1.25,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26093","3","61111","77","0","1990","A","","Livingston County, Michigan","Local Government","Elementary and secondary schools","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,2377,62250608,0,0,504,26191,"",0.94,1.77,2.21,0.00,0.00,1.25,1.25,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26093","3","611110","78","0","1990","A","","Livingston County, Michigan","Local Government","Elementary and secondary schools","County, NAICS 6-digit -- by ownership sector","All establishment sizes",6,2377,62250608,0,0,504,26191,"",0.94,1.77,2.21,0.00,0.00,1.25,1.25,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26093","3","921","75","0","1990","A","","Livingston County, Michigan","Local Government","Executive, legislative and general government","County, NAICS 3-digit -- by ownership sector","All establishment sizes",16,683,14833621,0,0,417,21705,"",1.43,1.26,1.41,0.00,0.00,1.11,1.11,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26093","3","9211","76","0","1990","A","","Livingston County, Michigan","Local Government","Executive, legislative and general government","County, NAICS 4-digit -- by ownership sector","All establishment sizes",16,683,14833621,0,0,417,21705,"",1.43,1.26,1.41,0.00,0.00,1.11,1.11,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26093","3","92114","77","0","1990","A","","Livingston County, Michigan","Local Government","Executive and legislative offices, combined","County, NAICS 5-digit -- by ownership sector","All establishment sizes",16,683,14833621,0,0,417,21705,"",2.29,1.93,2.18,0.00,0.00,1.13,1.13,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26093","3","921140","78","0","1990","A","","Livingston County, Michigan","Local Government","Executive and legislative offices, combined","County, NAICS 6-digit -- by ownership sector","All establishment sizes",16,683,14833621,0,0,417,21705,"",2.29,1.93,2.18,0.00,0.00,1.13,1.13,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26093","5","10","71","0","1990","A","","Livingston County, Michigan","Private","Total, all industries","County, Total -- by ownership sector","All establishment sizes",1936,24029,486539726,0,0,389,20248,"",1.01,1.05,1.03,0.00,0.00,0.99,0.98,"",117,6.4,627,2.7,23748423,5.1,-201064209,-100.0,-6375014,-100.0,9,2.4,473,2.4
"26093","5","101","72","0","1990","A","","Livingston County, Michigan","Private","Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",603,8301,228724222,0,0,530,27554,"",1.58,1.33,1.52,0.00,0.00,1.14,1.14,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26093","5","1011","73","0","1990","A","","Livingston County, Michigan","Private","Natural resources and mining","County, by Supersector -- by ownership sector","All establishment sizes",9,106,1966181,0,0,357,18578,"",0.22,0.24,0.22,0.00,0.00,0.92,0.92,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26093","5","1012","73","0","1990","A","","Livingston County, Michigan","Private","Construction","County, by Supersector -- by ownership sector","All establishment sizes",411,1729,44744797,0,0,498,25874,"",1.91,1.32,1.47,0.00,0.00,1.11,1.11,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26093","5","1013","73","0","1990","A","","Livingston County, Michigan","Private","Manufacturing","County, by Supersector -- by ownership sector","All establishment sizes",183,6466,182013244,0,0,541,28150,"",1.45,1.44,1.63,0.00,0.00,1.14,1.14,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26093","5","102","72","0","1990","A","","Livingston County, Michigan","Private","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",1333,15728,257815504,0,0,315,16392,"",0.87,0.94,0.80,0.00,0.00,0.85,0.85,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26093","5","1021","73","0","1990","A","","Livingston County, Michigan","Private","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",441,5115,86762076,0,0,326,16961,"",0.85,0.90,0.81,0.00,0.00,0.90,0.90,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26093","5","1022","73","0","1990","A","","Livingston County, Michigan","Private","Information","County, by Supersector -- by ownership sector","All establishment sizes",10,535,7669884,0,0,276,14345,"",0.36,0.76,0.39,0.00,0.00,0.51,0.51,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26093","5","1023","73","0","1990","A","","Livingston County, Michigan","Private","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",122,2656,52692452,0,0,382,19840,"",0.71,1.55,1.22,0.00,0.00,0.79,0.79,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26093","5","1024","73","0","1990","A","","Livingston County, Michigan","Private","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",272,1852,37944935,0,0,394,20493,"",1.05,0.70,0.60,0.00,0.00,0.85,0.85,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26093","5","1025","73","0","1990","A","","Livingston County, Michigan","Private","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",187,2213,42581150,0,0,370,19244,"",1.10,0.82,0.79,0.00,0.00,0.96,0.96,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26093","5","1026","73","0","1990","A","","Livingston County, Michigan","Private","Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",135,2470,17969782,0,0,140,7275,"",0.84,1.04,0.84,0.00,0.00,0.81,0.81,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26093","5","1027","73","0","1990","A","","Livingston County, Michigan","Private","Other services","County, by Supersector -- by ownership sector","All establishment sizes",165,867,11987392,0,0,266,13825,"",0.75,0.99,0.98,0.00,0.00,0.99,0.99,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26093","5","11","74","0","1990","A","","Livingston County, Michigan","Private","Agriculture, forestry, fishing and hunting","County, NAICS Sector -- by ownership sector","All establishment sizes",6,79,850121,0,0,206,10705,"",0.20,0.29,0.25,0.00,0.00,0.87,0.87,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26093","5","111","75","0","1990","A","","Livingston County, Michigan","Private","Crop production","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,65,643261,0,0,191,9947,"",0.27,0.47,0.41,0.00,0.00,0.88,0.88,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26093","5","21","74","0","1990","A","","Livingston County, Michigan","Private","Mining, quarrying, and oil and gas extraction","County, NAICS Sector -- by ownership sector","All establishment sizes",3,26,1116060,0,0,812,42248,"",0.30,0.16,0.20,0.00,0.00,1.28,1.28,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26093","5","212","75","0","1990","A","","Livingston County, Michigan","Private","Mining, except oil and gas","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,26,1116060,0,0,812,42248,"",0.99,0.34,0.47,0.00,0.00,1.36,1.35,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26093","5","2123","76","0","1990","A","","Livingston County, Michigan","Private","Nonmetallic mineral mining and quarrying","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,26,1116060,0,0,812,42248,"",1.65,0.88,1.45,0.00,0.00,1.62,1.62,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26093","5","23","74","0","1990","A","","Livingston County, Michigan","Private","Construction","County, NAICS Sector -- by ownership sector","All establishment sizes",411,1729,44744797,0,0,498,25874,"",1.91,1.32,1.47,0.00,0.00,1.11,1.11,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26093","5","236","75","0","1990","A","","Livingston County, Michigan","Private","Construction of buildings","County, NAICS 3-digit -- by ownership sector","All establishment sizes",104,380,10426089,0,0,528,27455,"",1.57,1.13,1.30,0.00,0.00,1.15,1.15,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26093","5","2361","76","0","1990","A","","Livingston County, Michigan","Private","Residential building construction","County, NAICS 4-digit -- by ownership sector","All establishment sizes",90,289,7843406,0,0,521,27101,"",1.82,1.90,2.52,0.00,0.00,1.33,1.33,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26093","5","23611","77","0","1990","A","","Livingston County, Michigan","Private","Residential building construction","County, NAICS 5-digit -- by ownership sector","All establishment sizes",90,289,7843406,0,0,521,27101,"",1.82,1.90,2.52,0.00,0.00,1.33,1.33,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26093","5","236115","78","0","1990","A","","Livingston County, Michigan","Private","New single-family general contractors","County, NAICS 6-digit -- by ownership sector","All establishment sizes",55,197,4838693,0,0,472,24531,"",2.00,2.29,2.74,0.00,0.00,1.20,1.20,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26093","5","236118","78","0","1990","A","","Livingston County, Michigan","Private","Residential remodelers","County, NAICS 6-digit -- by ownership sector","All establishment sizes",35,92,3004713,0,0,627,32601,"",1.72,1.68,2.84,0.00,0.00,1.69,1.69,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26093","5","2362","76","0","1990","A","","Livingston County, Michigan","Private","Nonresidential building construction","County, NAICS 4-digit -- by ownership sector","All establishment sizes",13,90,2582683,0,0,550,28591,"",0.78,0.49,0.53,0.00,0.00,1.06,1.06,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26093","5","23622","77","0","1990","A","","Livingston County, Michigan","Private","Commercial building construction","County, NAICS 5-digit -- by ownership sector","All establishment sizes",12,82,2413347,0,0,563,29282,"",0.85,0.63,0.70,0.00,0.00,1.11,1.11,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26093","5","236220","78","0","1990","A","","Livingston County, Michigan","Private","Commercial building construction","County, NAICS 6-digit -- by ownership sector","All establishment sizes",12,82,2413347,0,0,563,29282,"",0.85,0.63,0.70,0.00,0.00,1.11,1.11,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26093","5","237","75","0","1990","A","","Livingston County, Michigan","Private","Heavy and civil engineering construction","County, NAICS 3-digit -- by ownership sector","All establishment sizes",30,162,5328690,0,0,631,32826,"",1.57,0.77,0.96,0.00,0.00,1.24,1.24,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26093","5","2371","76","0","1990","A","","Livingston County, Michigan","Private","Utility system construction","County, NAICS 4-digit -- by ownership sector","All establishment sizes",19,107,2542511,0,0,459,23873,"",2.64,1.29,1.23,0.00,0.00,0.96,0.96,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26093","5","23711","77","0","1990","A","","Livingston County, Michigan","Private","Water and sewer system construction","County, NAICS 5-digit -- by ownership sector","All establishment sizes",12,67,1319209,0,0,381,19813,"",2.79,1.76,1.41,0.00,0.00,0.81,0.81,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26093","5","237110","78","0","1990","A","","Livingston County, Michigan","Private","Water and sewer system construction","County, NAICS 6-digit -- by ownership sector","All establishment sizes",12,67,1319209,0,0,381,19813,"",2.79,1.76,1.41,0.00,0.00,0.81,0.81,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26093","5","23713","77","0","1990","A","","Livingston County, Michigan","Private","Power and communication system construction","County, NAICS 5-digit -- by ownership sector","All establishment sizes",7,40,1223302,0,0,589,30646,"",3.47,1.75,2.24,0.00,0.00,1.28,1.28,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26093","5","237130","78","0","1990","A","","Livingston County, Michigan","Private","Power and communication system construction","County, NAICS 6-digit -- by ownership sector","All establishment sizes",7,40,1223302,0,0,589,30646,"",3.47,1.75,2.24,0.00,0.00,1.28,1.28,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26093","5","2372","76","0","1990","A","","Livingston County, Michigan","Private","Land subdivision","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,6,486257,0,0,1603,83358,"",1.36,0.26,0.71,0.00,0.00,2.77,2.77,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26093","5","23721","77","0","1990","A","","Livingston County, Michigan","Private","Land subdivision","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,6,486257,0,0,1603,83358,"",1.36,0.26,0.71,0.00,0.00,2.77,2.77,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26093","5","237210","78","0","1990","A","","Livingston County, Michigan","Private","Land subdivision","County, NAICS 6-digit -- by ownership sector","All establishment sizes",6,6,486257,0,0,1603,83358,"",1.36,0.26,0.71,0.00,0.00,2.77,2.77,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26093","5","238","75","0","1990","A","","Livingston County, Michigan","Private","Specialty trade contractors","County, NAICS 3-digit -- by ownership sector","All establishment sizes",278,1187,28990018,0,0,470,24418,"",2.14,1.55,1.71,0.00,0.00,1.10,1.10,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26093","5","2381","76","0","1990","A","","Livingston County, Michigan","Private","Building foundation and exterior contractors","County, NAICS 4-digit -- by ownership sector","All establishment sizes",64,285,6514041,0,0,439,22843,"",2.21,1.73,2.02,0.00,0.00,1.17,1.17,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26093","5","23811","77","0","1990","A","","Livingston County, Michigan","Private","Poured concrete structure contractors","County, NAICS 5-digit -- by ownership sector","All establishment sizes",7,17,282620,0,0,323,16789,"",1.62,0.59,0.52,0.00,0.00,0.88,0.88,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26093","5","238111","78","0","1990","A","","Livingston County, Michigan","Private","Residential poured foundation contractors","County, NAICS 6-digit -- by ownership sector","All establishment sizes",6,15,269817,0,0,344,17888,"",1.95,0.91,0.88,0.00,0.00,0.97,0.97,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26093","5","23813","77","0","1990","A","","Livingston County, Michigan","Private","Framing contractors","County, NAICS 5-digit -- by ownership sector","All establishment sizes",13,75,1440537,0,0,371,19314,"",3.75,4.81,5.06,0.00,0.00,1.06,1.06,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26093","5","23814","77","0","1990","A","","Livingston County, Michigan","Private","Masonry contractors","County, NAICS 5-digit -- by ownership sector","All establishment sizes",31,110,2691529,0,0,472,24543,"",3.43,2.58,3.38,0.00,0.00,1.32,1.31,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26093","5","238141","78","0","1990","A","","Livingston County, Michigan","Private","Residential masonry contractors","County, NAICS 6-digit -- by ownership sector","All establishment sizes",24,77,1855497,0,0,463,24071,"",3.60,3.17,4.52,0.00,0.00,1.42,1.42,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26093","5","238142","78","0","1990","A","","Livingston County, Michigan","Private","Nonresidential masonry contractors","County, NAICS 6-digit -- by ownership sector","All establishment sizes",7,33,836032,0,0,493,25658,"",2.95,1.80,2.17,0.00,0.00,1.22,1.22,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26093","5","23816","77","0","1990","A","","Livingston County, Michigan","Private","Roofing contractors","County, NAICS 5-digit -- by ownership sector","All establishment sizes",7,66,1673051,0,0,490,25478,"",1.23,1.72,2.43,0.00,0.00,1.42,1.42,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26093","5","23817","77","0","1990","A","","Livingston County, Michigan","Private","Siding contractors","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,9,190026,0,0,399,20730,"",2.16,1.38,1.74,0.00,0.00,1.24,1.24,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26093","5","2382","76","0","1990","A","","Livingston County, Michigan","Private","Building equipment contractors","County, NAICS 4-digit -- by ownership sector","All establishment sizes",91,383,10159472,0,0,510,26532,"",1.90,1.18,1.25,0.00,0.00,1.06,1.06,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26093","5","23821","77","0","1990","A","","Livingston County, Michigan","Private","Electrical and wiring contractors","County, NAICS 5-digit -- by ownership sector","All establishment sizes",43,194,5278237,0,0,522,27149,"",1.91,1.26,1.37,0.00,0.00,1.08,1.08,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26093","5","238211","78","0","1990","A","","Livingston County, Michigan","Private","Residential electrical contractors","County, NAICS 6-digit -- by ownership sector","All establishment sizes",22,47,1294590,0,0,528,27447,"",1.88,0.86,1.09,0.00,0.00,1.26,1.26,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26093","5","238212","78","0","1990","A","","Livingston County, Michigan","Private","Nonresidential electrical contractors","County, NAICS 6-digit -- by ownership sector","All establishment sizes",21,147,3983647,0,0,520,27054,"",1.95,1.48,1.49,0.00,0.00,1.01,1.01,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26093","5","238221","78","0","1990","A","","Livingston County, Michigan","Private","Residential plumbing and hvac contractors","County, NAICS 6-digit -- by ownership sector","All establishment sizes",25,90,1902150,0,0,406,21096,"",1.56,1.19,1.19,0.00,0.00,1.00,1.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26093","5","2383","76","0","1990","A","","Livingston County, Michigan","Private","Building finishing contractors","County, NAICS 4-digit -- by ownership sector","All establishment sizes",58,180,3809559,0,0,407,21154,"",1.75,1.08,1.17,0.00,0.00,1.08,1.07,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26093","5","23831","77","0","1990","A","","Livingston County, Michigan","Private","Drywall and insulation contractors","County, NAICS 5-digit -- by ownership sector","All establishment sizes",12,73,1653312,0,0,434,22571,"",1.70,1.13,1.22,0.00,0.00,1.08,1.08,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
