"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"26117","0","10","70","0","1990","A","","Montcalm County, Michigan","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",905,15572,301344194,0,0,372,19352,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",34,3.9,-513,-3.2,-10346587,-3.3,-112686842,-100.0,-6121185,-100.0,0,0.0,-25,-0.1
"26117","1","10","71","0","1990","A","","Montcalm County, Michigan","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",20,152,3423688,0,0,433,22537,"",2.90,0.33,0.30,0.00,0.00,0.91,0.91,"",2,11.1,18,13.4,503085,17.2,0,0.0,0,0.0,14,3.3,742,3.4
"26117","1","102","72","0","1990","A","","Montcalm County, Michigan","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",20,152,3423688,0,0,433,22537,"",2.92,0.34,0.31,0.00,0.00,0.91,0.91,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26117","1","1021","73","0","1990","A","","Montcalm County, Michigan","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",13,121,2932043,0,0,467,24282,"",4.95,0.88,0.84,0.00,0.00,0.96,0.96,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26117","1","1028","73","0","1990","A","","Montcalm County, Michigan","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,25,382911,0,0,298,15471,"",1.41,0.10,0.06,0.00,0.00,0.62,0.62,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26117","1","48-49","74","0","1990","A","","Montcalm County, Michigan","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",13,121,2932043,0,0,467,24282,"",5.10,0.97,0.89,0.00,0.00,0.92,0.92,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26117","1","491","75","0","1990","A","","Montcalm County, Michigan","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",13,121,2932043,0,0,467,24282,"",5.20,1.02,0.95,0.00,0.00,0.93,0.93,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26117","1","4911","76","0","1990","A","","Montcalm County, Michigan","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",13,121,2932043,0,0,467,24282,"",5.20,1.02,0.95,0.00,0.00,0.93,0.93,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26117","1","49111","77","0","1990","A","","Montcalm County, Michigan","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",13,121,2932043,0,0,467,24282,"",5.20,1.02,0.95,0.00,0.00,0.93,0.93,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26117","1","491110","78","0","1990","A","","Montcalm County, Michigan","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",13,121,2932043,0,0,467,24282,"",5.20,1.02,0.95,0.00,0.00,0.93,0.93,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26117","1","92","74","0","1990","A","","Montcalm County, Michigan","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",5,25,382911,0,0,298,15471,"",1.41,0.10,0.06,0.00,0.00,0.62,0.62,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26117","1","924","75","0","1990","A","","Montcalm County, Michigan","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,9,200120,0,0,432,22443,"",2.13,0.55,0.51,0.00,0.00,0.92,0.92,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26117","1","9241","76","0","1990","A","","Montcalm County, Michigan","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,9,200120,0,0,432,22443,"",2.13,0.55,0.51,0.00,0.00,0.92,0.92,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26117","1","92412","77","0","1990","A","","Montcalm County, Michigan","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,9,200120,0,0,432,22443,"",2.16,0.64,0.61,0.00,0.00,0.97,0.97,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26117","1","924120","78","0","1990","A","","Montcalm County, Michigan","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,9,200120,0,0,432,22443,"",2.16,0.64,0.61,0.00,0.00,0.97,0.97,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26117","1","926","75","0","1990","A","","Montcalm County, Michigan","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,16,182791,0,0,222,11545,"",2.10,0.43,0.22,0.00,0.00,0.51,0.51,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
