"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"27003","0","10","70","0","1990","A","","Anoka County, Minnesota","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",4616,77361,1713556765,0,0,426,22150,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",202,4.6,2589,3.5,110232415,6.9,-651415074,-100.0,-14403228,-100.0,14,3.4,708,3.3
"27003","1","10","71","0","1990","A","","Anoka County, Minnesota","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,151,4190452,0,0,533,27705,"",0.26,0.07,0.06,0.00,0.00,0.97,0.97,"",2,28.6,40,36.0,1096602,35.4,0,0.0,0,0.0,-3,-0.6,-167,-0.6
"27003","1","102","72","0","1990","A","","Anoka County, Minnesota","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,151,4190452,0,0,533,27705,"",0.26,0.07,0.07,0.00,0.00,0.98,0.98,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27003","1","1021","73","0","1990","A","","Anoka County, Minnesota","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,141,3979566,0,0,542,28207,"",0.45,0.21,0.20,0.00,0.00,0.97,0.97,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27003","1","1028","73","0","1990","A","","Anoka County, Minnesota","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,10,210886,0,0,399,20743,"",0.17,0.01,0.01,0.00,0.00,0.73,0.73,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27003","1","48-49","74","0","1990","A","","Anoka County, Minnesota","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,141,3979566,0,0,542,28207,"",0.46,0.23,0.21,0.00,0.00,0.93,0.93,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27003","1","491","75","0","1990","A","","Anoka County, Minnesota","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,141,3979566,0,0,542,28207,"",0.47,0.24,0.23,0.00,0.00,0.94,0.94,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27003","1","4911","76","0","1990","A","","Anoka County, Minnesota","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,141,3979566,0,0,542,28207,"",0.47,0.24,0.23,0.00,0.00,0.94,0.94,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27003","1","49111","77","0","1990","A","","Anoka County, Minnesota","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,141,3979566,0,0,542,28207,"",0.47,0.24,0.23,0.00,0.00,0.94,0.94,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27003","1","491110","78","0","1990","A","","Anoka County, Minnesota","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",6,141,3979566,0,0,542,28207,"",0.47,0.24,0.23,0.00,0.00,0.94,0.94,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27003","1","92","74","0","1990","A","","Anoka County, Minnesota","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",3,10,210886,0,0,399,20743,"",0.17,0.01,0.01,0.00,0.00,0.73,0.73,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27003","1","924","75","0","1990","A","","Anoka County, Minnesota","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,33282,0,0,512,26626,"",0.21,0.01,0.01,0.00,0.00,0.96,0.96,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27003","1","9241","76","0","1990","A","","Anoka County, Minnesota","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,33282,0,0,512,26626,"",0.21,0.01,0.01,0.00,0.00,0.96,0.96,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
