"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"27053","0","10","70","0","1990","A","","Hennepin County, Minnesota","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",33998,733083,19595359783,0,0,514,26730,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",731,2.2,6159,0.8,1019388839,5.5,-6956535764,-100.0,-127307978,-100.0,23,4.7,1176,4.6
"27053","1","10","71","0","1990","A","","Hennepin County, Minnesota","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",91,13677,457299676,0,0,643,33435,"",0.35,0.63,0.61,0.00,0.00,0.97,0.97,"",3,3.4,171,1.3,41862647,10.1,0,0.0,0,0.0,52,8.8,2676,8.7
"27053","1","102","72","0","1990","A","","Hennepin County, Minnesota","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",91,13677,457299676,0,0,643,33435,"",0.35,0.66,0.64,0.00,0.00,0.98,0.98,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27053","1","1021","73","0","1990","A","","Hennepin County, Minnesota","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",23,6135,207903726,0,0,652,33891,"",0.23,0.95,0.92,0.00,0.00,0.97,0.97,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27053","1","1023","73","0","1990","A","","Hennepin County, Minnesota","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",3,263,10965864,0,0,802,41709,"",0.29,1.08,1.25,0.00,0.00,1.16,1.16,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27053","1","1024","73","0","1990","A","","Hennepin County, Minnesota","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,47,2001389,0,0,813,42283,"",0.17,0.10,0.12,0.00,0.00,1.25,1.25,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27053","1","1025","73","0","1990","A","","Hennepin County, Minnesota","Federal Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,3151,111955931,0,0,683,35530,"",0.38,1.77,1.80,0.00,0.00,1.02,1.02,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27053","1","1026","73","0","1990","A","","Hennepin County, Minnesota","Federal Government","Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",3,114,885637,0,0,149,7769,"",0.61,0.26,0.12,0.00,0.00,0.47,0.47,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27053","1","1028","73","0","1990","A","","Hennepin County, Minnesota","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",60,3968,123587129,0,0,599,31150,"",0.45,0.35,0.32,0.00,0.00,0.91,0.91,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27053","1","48-49","74","0","1990","A","","Hennepin County, Minnesota","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",23,6135,207903726,0,0,652,33891,"",0.24,1.05,0.97,0.00,0.00,0.93,0.93,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
