"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"27141","0","10","70","0","1990","A","","Sherburne County, Minnesota","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",785,9931,203307607,0,0,394,20472,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",41,5.5,570,6.1,14952289,7.9,-69791988,-100.0,-1704861,-100.0,8,2.1,351,1.7
"27141","1","10","71","0","1990","A","","Sherburne County, Minnesota","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",12,133,4155492,0,0,599,31166,"",2.01,0.45,0.54,0.00,0.00,1.18,1.19,"",1,9.1,80,150.9,2668940,179.5,0,0.0,0,0.0,60,11.1,3118,11.1
"27141","1","102","72","0","1990","A","","Sherburne County, Minnesota","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",12,133,4155492,0,0,599,31166,"",2.02,0.47,0.56,0.00,0.00,1.19,1.19,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27141","1","1021","73","0","1990","A","","Sherburne County, Minnesota","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,113,3501970,0,0,594,30900,"",3.07,1.29,1.49,0.00,0.00,1.15,1.15,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27141","1","1024","73","0","1990","A","","Sherburne County, Minnesota","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,6,220665,0,0,698,36274,"",7.26,0.93,1.32,0.00,0.00,1.40,1.40,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27141","1","1028","73","0","1990","A","","Sherburne County, Minnesota","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,14,432857,0,0,598,31103,"",1.30,0.09,0.11,0.00,0.00,1.18,1.18,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27141","1","48-49","74","0","1990","A","","Sherburne County, Minnesota","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",7,113,3501970,0,0,594,30900,"",3.17,1.42,1.58,0.00,0.00,1.11,1.11,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27141","1","488","75","0","1990","A","","Sherburne County, Minnesota","Federal Government","Support activities for transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,41,1754677,0,0,831,43236,"",25.59,14.89,16.77,0.00,0.00,1.14,1.14,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27141","1","4881","76","0","1990","A","","Sherburne County, Minnesota","Federal Government","Support activities for air transportation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,41,1754677,0,0,831,43236,"",25.84,15.55,17.28,0.00,0.00,1.12,1.12,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27141","1","48811","77","0","1990","A","","Sherburne County, Minnesota","Federal Government","Airport operations","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,41,1754677,0,0,831,43236,"",25.84,15.55,17.28,0.00,0.00,1.12,1.12,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27141","1","488111","78","0","1990","A","","Sherburne County, Minnesota","Federal Government","Air traffic control","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,41,1754677,0,0,831,43236,"",26.28,16.36,17.46,0.00,0.00,1.08,1.08,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27141","1","491","75","0","1990","A","","Sherburne County, Minnesota","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,73,1747293,0,0,462,24018,"",2.77,0.97,0.84,0.00,0.00,0.87,0.87,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27141","1","4911","76","0","1990","A","","Sherburne County, Minnesota","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,73,1747293,0,0,462,24018,"",2.77,0.97,0.84,0.00,0.00,0.87,0.87,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27141","1","49111","77","0","1990","A","","Sherburne County, Minnesota","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,73,1747293,0,0,462,24018,"",2.77,0.97,0.84,0.00,0.00,0.87,0.87,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27141","1","491110","78","0","1990","A","","Sherburne County, Minnesota","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",6,73,1747293,0,0,462,24018,"",2.77,0.97,0.84,0.00,0.00,0.87,0.87,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27141","1","54","74","0","1990","A","","Sherburne County, Minnesota","Federal Government","Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,6,220665,0,0,698,36274,"",7.44,0.97,1.34,0.00,0.00,1.36,1.36,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27141","1","541","75","0","1990","A","","Sherburne County, Minnesota","Federal Government","Professional and technical services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,6,220665,0,0,698,36274,"",7.44,0.97,1.34,0.00,0.00,1.36,1.36,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27141","1","5419","76","0","1990","A","","Sherburne County, Minnesota","Federal Government","Other professional and technical services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,6,220665,0,0,698,36274,"",28.51,10.41,13.81,0.00,0.00,1.31,1.31,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27141","1","54199","77","0","1990","A","","Sherburne County, Minnesota","Federal Government","All other professional and technical services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,6,220665,0,0,698,36274,"",29.27,10.96,14.09,0.00,0.00,1.27,1.27,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27141","1","541990","78","0","1990","A","","Sherburne County, Minnesota","Federal Government","All other professional and technical services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,6,220665,0,0,698,36274,"",29.27,10.96,14.09,0.00,0.00,1.27,1.27,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27141","1","92","74","0","1990","A","","Sherburne County, Minnesota","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",4,14,432857,0,0,598,31103,"",1.30,0.09,0.11,0.00,0.00,1.18,1.18,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27141","1","923","75","0","1990","A","","Sherburne County, Minnesota","Federal Government","Administration of human resource programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,3,123672,0,0,793,41224,"",4.12,0.24,0.34,0.00,0.00,1.45,1.45,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27141","1","9231","76","0","1990","A","","Sherburne County, Minnesota","Federal Government","Administration of human resource programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,3,123672,0,0,793,41224,"",4.12,0.24,0.34,0.00,0.00,1.45,1.45,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27141","1","92313","77","0","1990","A","","Sherburne County, Minnesota","Federal Government","Other human resource programs administration","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,3,123672,0,0,793,41224,"",5.60,0.42,0.65,0.00,0.00,1.55,1.55,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27141","1","923130","78","0","1990","A","","Sherburne County, Minnesota","Federal Government","Other human resource programs administration","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,3,123672,0,0,793,41224,"",5.60,0.42,0.65,0.00,0.00,1.55,1.55,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27141","1","924","75","0","1990","A","","Sherburne County, Minnesota","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,10,278302,0,0,540,28064,"",2.46,0.96,1.04,0.00,0.00,1.09,1.09,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27141","1","9241","76","0","1990","A","","Sherburne County, Minnesota","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,10,278302,0,0,540,28064,"",2.46,0.96,1.04,0.00,0.00,1.09,1.09,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27141","1","92412","77","0","1990","A","","Sherburne County, Minnesota","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,10,278302,0,0,540,28064,"",2.49,1.11,1.26,0.00,0.00,1.15,1.15,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27141","1","924120","78","0","1990","A","","Sherburne County, Minnesota","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,10,278302,0,0,540,28064,"",2.49,1.11,1.26,0.00,0.00,1.15,1.15,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27141","1","926","75","0","1990","A","","Sherburne County, Minnesota","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,30883,0,0,594,30883,"",0.81,0.04,0.05,0.00,0.00,1.28,1.28,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27141","1","9261","76","0","1990","A","","Sherburne County, Minnesota","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,30883,0,0,594,30883,"",0.81,0.04,0.05,0.00,0.00,1.28,1.28,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27141","1","92614","77","0","1990","A","","Sherburne County, Minnesota","Federal Government","Agricultural market and commodity regulation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,30883,0,0,594,30883,"",1.41,0.21,0.24,0.00,0.00,1.13,1.13,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27141","1","926140","78","0","1990","A","","Sherburne County, Minnesota","Federal Government","Agricultural market and commodity regulation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,30883,0,0,594,30883,"",1.41,0.21,0.24,0.00,0.00,1.13,1.13,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27141","3","102","72","0","1990","A","","Sherburne County, Minnesota","Local Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",38,1346,30032368,0,0,429,22318,"",2.96,1.41,1.53,0.00,0.00,1.09,1.09,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
