"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"28007","0","10","70","0","1990","A","","Attala County, Mississippi","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",409,5356,76715653,0,0,275,14323,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",-1,-0.2,19,0.4,4586213,6.4,-31330020,-100.0,-476190,-100.0,16,6.2,809,6.0
"28007","1","10","71","0","1990","A","","Attala County, Mississippi","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,85,2307211,0,0,520,27064,"",3.53,0.54,0.79,0.00,0.00,1.47,1.47,"",1,10.0,0,0.0,178903,8.4,0,0.0,0,0.0,39,8.1,2026,8.1
"28007","1","102","72","0","1990","A","","Attala County, Mississippi","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",11,85,2307211,0,0,520,27064,"",3.55,0.56,0.83,0.00,0.00,1.48,1.48,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28007","1","1021","73","0","1990","A","","Attala County, Mississippi","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,40,1097677,0,0,533,27731,"",2.53,0.85,1.24,0.00,0.00,1.48,1.48,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28007","1","1023","73","0","1990","A","","Attala County, Mississippi","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,5,97275,0,0,380,19785,"",7.99,2.80,2.84,0.00,0.00,1.03,1.03,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28007","1","1026","73","0","1990","A","","Attala County, Mississippi","Federal Government","Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,11,290360,0,0,508,26396,"",16.95,3.41,10.08,0.00,0.00,2.96,2.96,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28007","1","1028","73","0","1990","A","","Attala County, Mississippi","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",6,30,821899,0,0,531,27627,"",3.73,0.37,0.54,0.00,0.00,1.50,1.50,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28007","1","48-49","74","0","1990","A","","Attala County, Mississippi","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,40,1097677,0,0,533,27731,"",2.60,0.93,1.31,0.00,0.00,1.42,1.42,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28007","1","491","75","0","1990","A","","Attala County, Mississippi","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,40,1097677,0,0,533,27731,"",2.66,0.98,1.39,0.00,0.00,1.44,1.43,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28007","1","4911","76","0","1990","A","","Attala County, Mississippi","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,40,1097677,0,0,533,27731,"",2.66,0.98,1.39,0.00,0.00,1.44,1.43,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28007","1","49111","77","0","1990","A","","Attala County, Mississippi","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,40,1097677,0,0,533,27731,"",2.66,0.98,1.39,0.00,0.00,1.44,1.43,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28007","1","491110","78","0","1990","A","","Attala County, Mississippi","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,40,1097677,0,0,533,27731,"",2.66,0.98,1.39,0.00,0.00,1.44,1.43,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28007","1","52","74","0","1990","A","","Attala County, Mississippi","Federal Government","Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,5,97275,0,0,380,19785,"",8.02,2.85,2.86,0.00,0.00,1.02,1.02,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28007","1","522","75","0","1990","A","","Attala County, Mississippi","Federal Government","Credit intermediation and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,5,97275,0,0,380,19785,"",9.34,7.57,9.72,0.00,0.00,1.31,1.31,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28007","1","5222","76","0","1990","A","","Attala County, Mississippi","Federal Government","Nondepository credit intermediation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,5,97275,0,0,380,19785,"",9.36,7.59,9.74,0.00,0.00,1.31,1.31,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28007","1","52229","77","0","1990","A","","Attala County, Mississippi","Federal Government","Other nondepository credit intermediation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,5,97275,0,0,380,19785,"",9.36,7.59,9.74,0.00,0.00,1.31,1.31,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28007","1","522292","78","0","1990","A","","Attala County, Mississippi","Federal Government","Real estate credit","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,5,97275,0,0,380,19785,"",20.46,15.91,20.98,0.00,0.00,1.34,1.34,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28007","1","71","74","0","1990","A","","Attala County, Mississippi","Federal Government","Arts, entertainment, and recreation","County, NAICS Sector -- by ownership sector","All establishment sizes",1,11,290360,0,0,508,26396,"",27.42,5.39,13.58,0.00,0.00,2.53,2.52,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28007","1","712","75","0","1990","A","","Attala County, Mississippi","Federal Government","Museums, historical sites, zoos, and parks","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,11,290360,0,0,508,26396,"",41.90,10.29,19.73,0.00,0.00,1.92,1.92,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28007","1","7121","76","0","1990","A","","Attala County, Mississippi","Federal Government","Museums, historical sites, zoos, and parks","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,11,290360,0,0,508,26396,"",41.90,10.29,19.73,0.00,0.00,1.92,1.92,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28007","1","71219","77","0","1990","A","","Attala County, Mississippi","Federal Government","Nature parks and other similar institutions","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,11,290360,0,0,508,26396,"",47.54,14.82,30.94,0.00,0.00,2.09,2.09,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28007","1","712190","78","0","1990","A","","Attala County, Mississippi","Federal Government","Nature parks and other similar institutions","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,11,290360,0,0,508,26396,"",47.54,14.82,30.94,0.00,0.00,2.09,2.09,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28007","1","92","74","0","1990","A","","Attala County, Mississippi","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",6,30,821899,0,0,531,27627,"",3.73,0.37,0.54,0.00,0.00,1.50,1.50,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28007","1","923","75","0","1990","A","","Attala County, Mississippi","Federal Government","Administration of human resource programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,10,279282,0,0,542,28163,"",7.90,1.46,2.04,0.00,0.00,1.42,1.41,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28007","1","9231","76","0","1990","A","","Attala County, Mississippi","Federal Government","Administration of human resource programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,10,279282,0,0,542,28163,"",7.90,1.46,2.04,0.00,0.00,1.42,1.41,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28007","1","92313","77","0","1990","A","","Attala County, Mississippi","Federal Government","Other human resource programs administration","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,10,279282,0,0,542,28163,"",10.75,2.58,3.88,0.00,0.00,1.52,1.51,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28007","1","923130","78","0","1990","A","","Attala County, Mississippi","Federal Government","Other human resource programs administration","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,10,279282,0,0,542,28163,"",10.75,2.58,3.88,0.00,0.00,1.52,1.51,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28007","1","924","75","0","1990","A","","Attala County, Mississippi","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,9,211064,0,0,447,23236,"",4.71,1.60,2.09,0.00,0.00,1.29,1.29,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28007","1","9241","76","0","1990","A","","Attala County, Mississippi","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,9,211064,0,0,447,23236,"",4.71,1.60,2.09,0.00,0.00,1.29,1.29,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28007","1","92412","77","0","1990","A","","Attala County, Mississippi","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,9,211064,0,0,447,23236,"",4.78,1.85,2.53,0.00,0.00,1.36,1.36,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28007","1","924120","78","0","1990","A","","Attala County, Mississippi","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,9,211064,0,0,447,23236,"",4.78,1.85,2.53,0.00,0.00,1.36,1.36,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28007","1","926","75","0","1990","A","","Attala County, Mississippi","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,11,331553,0,0,593,30842,"",4.65,0.86,1.54,0.00,0.00,1.83,1.83,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28007","1","9261","76","0","1990","A","","Attala County, Mississippi","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,11,331553,0,0,593,30842,"",4.65,0.86,1.54,0.00,0.00,1.83,1.83,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28007","1","92611","77","0","1990","A","","Attala County, Mississippi","Federal Government","Administration of general economic programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,3,35294,0,0,199,10330,"",5.16,0.45,0.46,0.00,0.00,0.90,0.90,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28007","1","926110","78","0","1990","A","","Attala County, Mississippi","Federal Government","Administration of general economic programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,3,35294,0,0,199,10330,"",5.16,0.45,0.46,0.00,0.00,0.90,0.90,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28007","1","92614","77","0","1990","A","","Attala County, Mississippi","Federal Government","Agricultural market and commodity regulation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,3,89740,0,0,575,29913,"",2.70,1.18,1.85,0.00,0.00,1.57,1.57,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28007","1","926140","78","0","1990","A","","Attala County, Mississippi","Federal Government","Agricultural market and commodity regulation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,3,89740,0,0,575,29913,"",2.70,1.18,1.85,0.00,0.00,1.57,1.57,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28007","2","10","71","0","1990","A","","Attala County, Mississippi","State Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,50,864951,0,0,334,17357,"",1.59,0.26,0.28,0.00,0.00,1.10,1.10,"",-1,-14.3,-1,-2.0,7575,0.9,0,0.0,0,0.0,11,3.4,546,3.2
