"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"28025","0","10","70","0","1990","A","","Clay County, Mississippi","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",389,8148,158932512,0,0,375,19507,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",-7,-1.8,-62,-0.8,6814310,4.5,-51951835,-100.0,-737496,-100.0,19,5.3,979,5.3
"28025","1","10","71","0","1990","A","","Clay County, Mississippi","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,114,3315859,0,0,561,29150,"",4.39,0.47,0.55,0.00,0.00,1.16,1.16,"",0,0.0,-1,-0.9,251599,8.2,0,0.0,0,0.0,49,9.6,2505,9.4
"28025","1","102","72","0","1990","A","","Clay County, Mississippi","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",13,114,3315859,0,0,561,29150,"",4.42,0.49,0.57,0.00,0.00,1.17,1.17,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28025","1","1021","73","0","1990","A","","Clay County, Mississippi","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,64,2016270,0,0,603,31341,"",4.43,0.89,1.10,0.00,0.00,1.23,1.23,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28025","1","1023","73","0","1990","A","","Clay County, Mississippi","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,10,196217,0,0,394,20475,"",8.40,3.68,2.76,0.00,0.00,0.78,0.78,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28025","1","1028","73","0","1990","A","","Clay County, Mississippi","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",8,40,1103372,0,0,533,27700,"",5.23,0.32,0.35,0.00,0.00,1.10,1.10,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28025","1","22","74","0","1990","A","","Clay County, Mississippi","Federal Government","Utilities","County, NAICS Sector -- by ownership sector","All establishment sizes",1,33,1214914,0,0,713,37097,"",70.88,22.51,25.20,0.00,0.00,1.13,1.13,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28025","1","221","75","0","1990","A","","Clay County, Mississippi","Federal Government","Utilities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,33,1214914,0,0,713,37097,"",70.88,22.51,25.20,0.00,0.00,1.13,1.13,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28025","1","2211","76","0","1990","A","","Clay County, Mississippi","Federal Government","Power generation and supply","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,33,1214914,0,0,713,37097,"",79.56,23.71,26.25,0.00,0.00,1.12,1.12,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28025","1","22112","77","0","1990","A","","Clay County, Mississippi","Federal Government","Electric power transmission and distribution","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,33,1214914,0,0,713,37097,"",110.60,57.07,61.89,0.00,0.00,1.09,1.09,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
