"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"28081","0","10","70","0","1990","A","","Lee County, Mississippi","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1943,40877,762203686,0,0,359,18647,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",48,2.5,1006,2.5,54501204,7.7,-253963932,-100.0,-2311550,-100.0,18,5.3,898,5.1
"28081","1","10","71","0","1990","A","","Lee County, Mississippi","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",34,564,15350747,0,0,523,27206,"",2.30,0.47,0.53,0.00,0.00,1.13,1.14,"",1,3.0,49,9.5,1158581,8.2,0,0.0,0,0.0,-6,-1.1,-351,-1.3
"28081","1","102","72","0","1990","A","","Lee County, Mississippi","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",34,564,15350747,0,0,523,27206,"",2.31,0.49,0.55,0.00,0.00,1.14,1.14,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28081","1","1021","73","0","1990","A","","Lee County, Mississippi","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",13,281,8713734,0,0,597,31065,"",2.30,0.78,0.99,0.00,0.00,1.27,1.27,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28081","1","1023","73","0","1990","A","","Lee County, Mississippi","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,8,148112,0,0,376,19531,"",1.68,0.59,0.43,0.00,0.00,0.78,0.78,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28081","1","1026","73","0","1990","A","","Lee County, Mississippi","Federal Government","Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,49,1372649,0,0,542,28205,"",3.57,1.99,4.80,0.00,0.00,2.42,2.43,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28081","1","1028","73","0","1990","A","","Lee County, Mississippi","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",18,220,4884031,0,0,426,22167,"",2.36,0.35,0.32,0.00,0.00,0.92,0.92,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28081","1","22","74","0","1990","A","","Lee County, Mississippi","Federal Government","Utilities","County, NAICS Sector -- by ownership sector","All establishment sizes",2,57,2132112,0,0,725,37681,"",28.38,7.75,9.22,0.00,0.00,1.20,1.20,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28081","1","221","75","0","1990","A","","Lee County, Mississippi","Federal Government","Utilities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,57,2132112,0,0,725,37681,"",28.38,7.75,9.22,0.00,0.00,1.20,1.20,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28081","1","2211","76","0","1990","A","","Lee County, Mississippi","Federal Government","Power generation and supply","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,57,2132112,0,0,725,37681,"",31.86,8.16,9.60,0.00,0.00,1.18,1.19,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
