"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"29023","0","10","70","0","1990","A","","Butler County, Missouri","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1032,13420,206703789,0,0,296,15403,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",29,2.9,832,6.6,21463295,11.6,-69103859,-100.0,-1138079,-100.0,14,5.0,688,4.7
"29023","1","10","71","0","1990","A","","Butler County, Missouri","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",16,622,18660367,0,0,577,29981,"",2.04,1.57,2.37,0.00,0.00,1.52,1.52,"",-2,-11.1,10,1.6,1271712,7.3,0,0.0,0,0.0,31,5.7,1569,5.5
"29023","1","102","72","0","1990","A","","Butler County, Missouri","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",15,574,17806329,0,0,597,31044,"",1.92,1.51,2.37,0.00,0.00,1.57,1.57,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29023","1","1021","73","0","1990","A","","Butler County, Missouri","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,90,2542730,0,0,545,28331,"",1.00,0.76,1.06,0.00,0.00,1.40,1.40,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29023","1","1023","73","0","1990","A","","Butler County, Missouri","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,7,146060,0,0,432,22471,"",3.17,1.57,1.58,0.00,0.00,1.09,1.09,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29023","1","1025","73","0","1990","A","","Butler County, Missouri","Federal Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,418,13464875,0,0,620,32238,"",12.53,12.80,20.50,0.00,0.00,1.60,1.60,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29023","1","1028","73","0","1990","A","","Butler County, Missouri","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",10,60,1652664,0,0,533,27698,"",2.46,0.29,0.41,0.00,0.00,1.40,1.40,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29023","1","48-49","74","0","1990","A","","Butler County, Missouri","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,90,2542730,0,0,545,28331,"",1.03,0.84,1.13,0.00,0.00,1.35,1.35,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29023","1","491","75","0","1990","A","","Butler County, Missouri","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,90,2542730,0,0,545,28331,"",1.05,0.88,1.20,0.00,0.00,1.36,1.36,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29023","1","4911","76","0","1990","A","","Butler County, Missouri","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,90,2542730,0,0,545,28331,"",1.05,0.88,1.20,0.00,0.00,1.36,1.36,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29023","1","49111","77","0","1990","A","","Butler County, Missouri","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,90,2542730,0,0,545,28331,"",1.05,0.88,1.20,0.00,0.00,1.36,1.36,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29023","1","491110","78","0","1990","A","","Butler County, Missouri","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,90,2542730,0,0,545,28331,"",1.05,0.88,1.20,0.00,0.00,1.36,1.36,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29023","1","52","74","0","1990","A","","Butler County, Missouri","Federal Government","Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,7,146060,0,0,432,22471,"",3.18,1.59,1.59,0.00,0.00,1.08,1.08,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29023","1","522","75","0","1990","A","","Butler County, Missouri","Federal Government","Credit intermediation and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,7,146060,0,0,432,22471,"",3.70,4.23,5.41,0.00,0.00,1.38,1.38,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29023","1","5222","76","0","1990","A","","Butler County, Missouri","Federal Government","Nondepository credit intermediation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,7,146060,0,0,432,22471,"",3.71,4.24,5.43,0.00,0.00,1.38,1.38,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29023","1","52229","77","0","1990","A","","Butler County, Missouri","Federal Government","Other nondepository credit intermediation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,7,146060,0,0,432,22471,"",3.71,4.24,5.43,0.00,0.00,1.38,1.38,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29023","1","522292","78","0","1990","A","","Butler County, Missouri","Federal Government","Real estate credit","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,7,146060,0,0,432,22471,"",8.11,8.89,11.69,0.00,0.00,1.42,1.42,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29023","1","62","74","0","1990","A","","Butler County, Missouri","Federal Government","Health care and social assistance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,418,13464875,0,0,620,32238,"",13.70,13.43,21.30,0.00,0.00,1.59,1.59,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29023","1","622","75","0","1990","A","","Butler County, Missouri","Federal Government","Hospitals","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,418,13464875,0,0,620,32238,"",21.93,13.86,21.84,0.00,0.00,1.58,1.58,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29023","1","6221","76","0","1990","A","","Butler County, Missouri","Federal Government","General medical and surgical hospitals","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,418,13464875,0,0,620,32238,"",22.96,14.37,22.60,0.00,0.00,1.57,1.57,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29023","1","62211","77","0","1990","A","","Butler County, Missouri","Federal Government","General medical and surgical hospitals","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,418,13464875,0,0,620,32238,"",22.96,14.37,22.60,0.00,0.00,1.57,1.57,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29023","1","622110","78","0","1990","A","","Butler County, Missouri","Federal Government","General medical and surgical hospitals","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,418,13464875,0,0,620,32238,"",22.96,14.37,22.60,0.00,0.00,1.57,1.57,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29023","1","92","74","0","1990","A","","Butler County, Missouri","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",10,60,1652664,0,0,533,27698,"",2.46,0.29,0.41,0.00,0.00,1.40,1.40,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29023","1","921","75","0","1990","A","","Butler County, Missouri","Federal Government","Executive, legislative and general government","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,6,226467,0,0,726,37745,"",3.06,0.19,0.36,0.00,0.00,1.97,1.97,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29023","1","9211","76","0","1990","A","","Butler County, Missouri","Federal Government","Executive, legislative and general government","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,6,226467,0,0,726,37745,"",3.06,0.19,0.36,0.00,0.00,1.97,1.97,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29023","1","92113","77","0","1990","A","","Butler County, Missouri","Federal Government","Public finance activities","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,6,226467,0,0,726,37745,"",4.82,0.32,0.62,0.00,0.00,1.97,1.97,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29023","1","921130","78","0","1990","A","","Butler County, Missouri","Federal Government","Public finance activities","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,6,226467,0,0,726,37745,"",4.82,0.32,0.62,0.00,0.00,1.97,1.97,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29023","1","923","75","0","1990","A","","Butler County, Missouri","Federal Government","Administration of human resource programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,27,773785,0,0,560,29108,"",3.13,1.57,2.10,0.00,0.00,1.36,1.36,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29023","1","9231","76","0","1990","A","","Butler County, Missouri","Federal Government","Administration of human resource programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,27,773785,0,0,560,29108,"",3.13,1.57,2.10,0.00,0.00,1.36,1.36,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29023","1","92313","77","0","1990","A","","Butler County, Missouri","Federal Government","Other human resource programs administration","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,27,773785,0,0,560,29108,"",4.26,2.78,3.99,0.00,0.00,1.46,1.46,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29023","1","923130","78","0","1990","A","","Butler County, Missouri","Federal Government","Other human resource programs administration","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,27,773785,0,0,560,29108,"",4.26,2.78,3.99,0.00,0.00,1.46,1.46,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29023","1","924","75","0","1990","A","","Butler County, Missouri","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,12,257541,0,0,407,21168,"",1.87,0.85,0.95,0.00,0.00,1.10,1.10,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29023","1","9241","76","0","1990","A","","Butler County, Missouri","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,12,257541,0,0,407,21168,"",1.87,0.85,0.95,0.00,0.00,1.10,1.10,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29023","1","92412","77","0","1990","A","","Butler County, Missouri","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,12,257541,0,0,407,21168,"",1.90,0.98,1.15,0.00,0.00,1.15,1.15,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29023","1","924120","78","0","1990","A","","Butler County, Missouri","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,12,257541,0,0,407,21168,"",1.90,0.98,1.15,0.00,0.00,1.15,1.15,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29023","1","926","75","0","1990","A","","Butler County, Missouri","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,7,173013,0,0,470,24425,"",2.46,0.22,0.30,0.00,0.00,1.35,1.35,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29023","1","9261","76","0","1990","A","","Butler County, Missouri","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,7,173013,0,0,470,24425,"",2.46,0.22,0.30,0.00,0.00,1.35,1.35,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
