"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"29139","0","10","70","0","1990","A","","Montgomery County, Missouri","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",344,3043,41132951,0,0,260,13516,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",35,11.3,116,4.0,2224495,5.7,-16527221,-100.0,-254552,-100.0,5,2.0,224,1.7
"29139","1","10","71","0","1990","A","","Montgomery County, Missouri","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,61,1303681,0,0,409,21285,"",3.82,0.68,0.83,0.00,0.00,1.23,1.23,"",1,11.1,1,1.7,109928,9.2,0,0.0,0,0.0,27,7.1,1390,7.0
"29139","1","102","72","0","1990","A","","Montgomery County, Missouri","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",10,61,1303681,0,0,409,21285,"",3.84,0.71,0.87,0.00,0.00,1.23,1.23,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29139","1","1021","73","0","1990","A","","Montgomery County, Missouri","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,46,1032925,0,0,431,22414,"",6.01,1.71,2.17,0.00,0.00,1.26,1.26,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29139","1","1028","73","0","1990","A","","Montgomery County, Missouri","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,15,270756,0,0,343,17852,"",2.96,0.32,0.33,0.00,0.00,1.03,1.03,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29139","1","48-49","74","0","1990","A","","Montgomery County, Missouri","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,46,1032925,0,0,431,22414,"",6.19,1.89,2.30,0.00,0.00,1.22,1.22,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29139","1","491","75","0","1990","A","","Montgomery County, Missouri","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,46,1032925,0,0,431,22414,"",6.32,1.99,2.45,0.00,0.00,1.23,1.23,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29139","1","4911","76","0","1990","A","","Montgomery County, Missouri","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,46,1032925,0,0,431,22414,"",6.32,1.99,2.45,0.00,0.00,1.23,1.23,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29139","1","49111","77","0","1990","A","","Montgomery County, Missouri","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,46,1032925,0,0,431,22414,"",6.32,1.99,2.45,0.00,0.00,1.23,1.23,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29139","1","491110","78","0","1990","A","","Montgomery County, Missouri","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",6,46,1032925,0,0,431,22414,"",6.32,1.99,2.45,0.00,0.00,1.23,1.23,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29139","1","92","74","0","1990","A","","Montgomery County, Missouri","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",4,15,270756,0,0,343,17852,"",2.96,0.32,0.33,0.00,0.00,1.03,1.03,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29139","1","924","75","0","1990","A","","Montgomery County, Missouri","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,12,220913,0,0,352,18282,"",5.60,3.76,4.08,0.00,0.00,1.08,1.08,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29139","1","9241","76","0","1990","A","","Montgomery County, Missouri","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,12,220913,0,0,352,18282,"",5.60,3.76,4.08,0.00,0.00,1.08,1.08,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29139","1","92412","77","0","1990","A","","Montgomery County, Missouri","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,12,220913,0,0,352,18282,"",5.69,4.34,4.94,0.00,0.00,1.13,1.13,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29139","1","924120","78","0","1990","A","","Montgomery County, Missouri","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,12,220913,0,0,352,18282,"",5.69,4.34,4.94,0.00,0.00,1.13,1.13,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29139","2","10","71","0","1990","A","","Montgomery County, Missouri","State Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,50,1014318,0,0,389,20253,"",2.52,0.45,0.61,0.00,0.00,1.36,1.36,"",0,0.0,-1,-2.0,46507,4.8,0,0.0,0,0.0,25,6.9,1277,6.7
"29139","3","10","71","0","1990","A","","Montgomery County, Missouri","Local Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",23,414,6391389,0,0,297,15444,"",3.92,1.40,1.60,0.00,0.00,1.14,1.14,"",1,4.5,16,4.0,442520,7.4,-793220,-100.0,-11409,-100.0,10,3.5,498,3.3
"29139","3","1025","73","0","1990","A","","Montgomery County, Missouri","Local Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",4,266,4901403,0,0,354,18432,"",2.85,1.46,2.03,0.00,0.00,1.39,1.39,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29139","3","1028","73","0","1990","A","","Montgomery County, Missouri","Local Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",14,113,1168956,0,0,200,10391,"",4.61,1.30,0.98,0.00,0.00,0.75,0.75,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29139","3","92","74","0","1990","A","","Montgomery County, Missouri","Local Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",14,113,1168956,0,0,200,10391,"",4.61,1.30,0.98,0.00,0.00,0.75,0.75,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29139","3","921","75","0","1990","A","","Montgomery County, Missouri","Local Government","Executive, legislative and general government","County, NAICS 3-digit -- by ownership sector","All establishment sizes",10,75,830365,0,0,212,11010,"",5.13,1.25,1.10,0.00,0.00,0.87,0.87,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29139","3","9211","76","0","1990","A","","Montgomery County, Missouri","Local Government","Executive, legislative and general government","County, NAICS 4-digit -- by ownership sector","All establishment sizes",10,75,830365,0,0,212,11010,"",5.13,1.25,1.10,0.00,0.00,0.87,0.87,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29139","5","10","71","0","1990","A","","Montgomery County, Missouri","Private","Total, all industries","County, Total -- by ownership sector","All establishment sizes",303,2518,32423563,0,0,248,12877,"",0.91,0.99,0.96,0.00,0.00,0.97,0.97,"",34,12.6,100,4.1,1625540,5.3,-15734001,-100.0,-243143,-100.0,4,1.6,141,1.1
"29139","5","101","72","0","1990","A","","Montgomery County, Missouri","Private","Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",80,1078,16478304,0,0,294,15293,"",1.21,1.56,1.52,0.00,0.00,0.98,0.98,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29139","5","1011","73","0","1990","A","","Montgomery County, Missouri","Private","Natural resources and mining","County, by Supersector -- by ownership sector","All establishment sizes",16,52,808670,0,0,298,15477,"",2.26,1.07,1.27,0.00,0.00,1.19,1.18,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29139","5","1012","73","0","1990","A","","Montgomery County, Missouri","Private","Construction","County, by Supersector -- by ownership sector","All establishment sizes",37,132,2182210,0,0,317,16490,"",0.99,0.91,1.00,0.00,0.00,1.09,1.09,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29139","5","1013","73","0","1990","A","","Montgomery County, Missouri","Private","Manufacturing","County, by Supersector -- by ownership sector","All establishment sizes",27,893,13487424,0,0,290,15105,"",1.23,1.79,1.68,0.00,0.00,0.94,0.94,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29139","5","102","72","0","1990","A","","Montgomery County, Missouri","Private","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",223,1441,15945259,0,0,213,11069,"",0.84,0.78,0.69,0.00,0.00,0.89,0.89,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29139","5","1021","73","0","1990","A","","Montgomery County, Missouri","Private","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",105,656,8248540,0,0,242,12566,"",1.16,1.04,1.08,0.00,0.00,1.03,1.03,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29139","5","1023","73","0","1990","A","","Montgomery County, Missouri","Private","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",27,137,2212052,0,0,310,16107,"",0.91,0.72,0.71,0.00,0.00,0.99,0.99,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29139","5","1025","73","0","1990","A","","Montgomery County, Missouri","Private","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",17,296,2658267,0,0,173,8976,"",0.58,0.99,0.68,0.00,0.00,0.69,0.69,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29139","5","1026","73","0","1990","A","","Montgomery County, Missouri","Private","Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",24,190,762939,0,0,77,4023,"",0.86,0.72,0.50,0.00,0.00,0.69,0.69,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29139","5","1027","73","0","1990","A","","Montgomery County, Missouri","Private","Other services","County, by Supersector -- by ownership sector","All establishment sizes",29,73,890650,0,0,236,12271,"",0.76,0.75,1.02,0.00,0.00,1.36,1.36,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29139","5","23","74","0","1990","A","","Montgomery County, Missouri","Private","Construction","County, NAICS Sector -- by ownership sector","All establishment sizes",37,132,2182210,0,0,317,16490,"",0.99,0.91,1.00,0.00,0.00,1.09,1.09,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29139","5","236","75","0","1990","A","","Montgomery County, Missouri","Private","Construction of buildings","County, NAICS 3-digit -- by ownership sector","All establishment sizes",15,56,759429,0,0,260,13541,"",1.30,1.51,1.32,0.00,0.00,0.87,0.87,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29139","5","236115","78","0","1990","A","","Montgomery County, Missouri","Private","New single-family general contractors","County, NAICS 6-digit -- by ownership sector","All establishment sizes",6,22,306049,0,0,267,13859,"",1.26,2.30,2.42,0.00,0.00,1.05,1.05,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29139","5","237","75","0","1990","A","","Montgomery County, Missouri","Private","Heavy and civil engineering construction","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,31,807484,0,0,500,25978,"",1.51,1.34,2.04,0.00,0.00,1.52,1.52,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29139","5","238","75","0","1990","A","","Montgomery County, Missouri","Private","Specialty trade contractors","County, NAICS 3-digit -- by ownership sector","All establishment sizes",18,45,615297,0,0,262,13623,"",0.80,0.53,0.51,0.00,0.00,0.95,0.95,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29139","5","2381","76","0","1990","A","","Montgomery County, Missouri","Private","Building foundation and exterior contractors","County, NAICS 4-digit -- by ownership sector","All establishment sizes",8,13,242649,0,0,359,18665,"",1.59,0.71,1.05,0.00,0.00,1.47,1.48,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29139","5","2382","76","0","1990","A","","Montgomery County, Missouri","Private","Building equipment contractors","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,22,255070,0,0,226,11772,"",0.60,0.61,0.44,0.00,0.00,0.73,0.73,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29139","5","31-33","74","0","1990","A","","Montgomery County, Missouri","Private","Manufacturing","County, NAICS Sector -- by ownership sector","All establishment sizes",27,893,13487424,0,0,290,15105,"",1.23,1.79,1.68,0.00,0.00,0.94,0.94,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29139","5","327","75","0","1990","A","","Montgomery County, Missouri","Private","Nonmetallic mineral product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,161,4387663,0,0,523,27182,"",4.28,10.75,19.00,0.00,0.00,1.76,1.76,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29139","5","42","74","0","1990","A","","Montgomery County, Missouri","Private","Wholesale trade","County, NAICS Sector -- by ownership sector","All establishment sizes",25,161,2555168,0,0,306,15920,"",0.92,1.11,1.00,0.00,0.00,0.91,0.91,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29139","5","423","75","0","1990","A","","Montgomery County, Missouri","Private","Merchant wholesalers, durable goods","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,46,984818,0,0,415,21605,"",0.73,0.63,0.74,0.00,0.00,1.19,1.19,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29139","5","44-45","74","0","1990","A","","Montgomery County, Missouri","Private","Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",60,366,3799912,0,0,199,10370,"",1.12,0.97,1.14,0.00,0.00,1.16,1.17,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29139","5","441","75","0","1990","A","","Montgomery County, Missouri","Private","Motor vehicle and parts dealers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",11,56,762797,0,0,262,13601,"",1.81,1.30,1.30,0.00,0.00,1.00,1.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29139","5","4411","76","0","1990","A","","Montgomery County, Missouri","Private","Automobile dealers","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,44,626120,0,0,274,14257,"",2.37,1.59,1.48,0.00,0.00,0.93,0.94,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29139","5","445","75","0","1990","A","","Montgomery County, Missouri","Private","Food and beverage stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,107,1052960,0,0,190,9856,"",0.97,1.42,1.78,0.00,0.00,1.26,1.26,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29139","5","4451","76","0","1990","A","","Montgomery County, Missouri","Private","Grocery stores","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,106,1049363,0,0,191,9931,"",1.46,1.64,2.11,0.00,0.00,1.29,1.29,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29139","5","44511","77","0","1990","A","","Montgomery County, Missouri","Private","Supermarkets and other grocery stores","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,106,1049363,0,0,191,9931,"",2.15,1.78,2.24,0.00,0.00,1.26,1.26,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29139","5","445110","78","0","1990","A","","Montgomery County, Missouri","Private","Supermarkets and other grocery stores","County, NAICS 6-digit -- by ownership sector","All establishment sizes",6,106,1049363,0,0,191,9931,"",2.15,1.78,2.24,0.00,0.00,1.26,1.26,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29139","5","447","75","0","1990","A","","Montgomery County, Missouri","Private","Gasoline stations","County, NAICS 3-digit -- by ownership sector","All establishment sizes",15,95,834255,0,0,169,8805,"",2.77,3.74,5.09,0.00,0.00,1.36,1.36,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29139","5","4471","76","0","1990","A","","Montgomery County, Missouri","Private","Gasoline stations","County, NAICS 4-digit -- by ownership sector","All establishment sizes",15,95,834255,0,0,169,8805,"",2.77,3.74,5.09,0.00,0.00,1.36,1.36,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29139","5","484","75","0","1990","A","","Montgomery County, Missouri","Private","Truck transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",17,63,1130644,0,0,345,17923,"",3.32,1.95,2.50,0.00,0.00,1.28,1.28,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29139","5","48412","77","0","1990","A","","Montgomery County, Missouri","Private","General freight trucking, long-distance","County, NAICS 5-digit -- by ownership sector","All establishment sizes",10,34,598152,0,0,336,17464,"",6.00,1.92,2.27,0.00,0.00,1.17,1.17,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29139","5","484121","78","0","1990","A","","Montgomery County, Missouri","Private","General freight trucking, long-distance tl","County, NAICS 6-digit -- by ownership sector","All establishment sizes",9,34,591829,0,0,337,17536,"",6.85,3.02,3.70,0.00,0.00,1.23,1.23,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
