"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"29215","0","10","70","0","1990","A","","Texas County, Missouri","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",500,5723,77749335,0,0,261,13585,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",27,5.7,241,4.4,6024462,8.4,-28015789,-100.0,-695662,-100.0,10,4.0,502,3.8
"29215","1","10","71","0","1990","A","","Texas County, Missouri","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",12,92,1875078,0,0,392,20381,"",3.15,0.54,0.63,0.00,0.00,1.17,1.17,"",-1,-7.7,-5,-5.2,57497,3.2,0,0.0,0,0.0,32,8.9,1644,8.8
"29215","1","102","72","0","1990","A","","Texas County, Missouri","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",10,71,1475229,0,0,402,20925,"",2.64,0.44,0.52,0.00,0.00,1.20,1.20,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29215","1","1021","73","0","1990","A","","Texas County, Missouri","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,51,1042123,0,0,393,20434,"",4.82,1.01,1.16,0.00,0.00,1.15,1.15,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29215","1","1023","73","0","1990","A","","Texas County, Missouri","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,9,237484,0,0,489,25445,"",6.53,4.72,6.83,0.00,0.00,1.40,1.40,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29215","1","1028","73","0","1990","A","","Texas County, Missouri","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,10,195622,0,0,370,19242,"",1.02,0.11,0.13,0.00,0.00,1.10,1.10,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29215","1","48-49","74","0","1990","A","","Texas County, Missouri","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",7,51,1042123,0,0,393,20434,"",4.97,1.11,1.23,0.00,0.00,1.10,1.10,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29215","1","491","75","0","1990","A","","Texas County, Missouri","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,51,1042123,0,0,393,20434,"",5.07,1.17,1.31,0.00,0.00,1.12,1.11,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29215","1","4911","76","0","1990","A","","Texas County, Missouri","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",7,51,1042123,0,0,393,20434,"",5.07,1.17,1.31,0.00,0.00,1.12,1.11,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29215","1","49111","77","0","1990","A","","Texas County, Missouri","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",7,51,1042123,0,0,393,20434,"",5.07,1.17,1.31,0.00,0.00,1.12,1.11,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
