"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"31061","0","10","70","0","1990","A","","Franklin County, Nebraska","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",122,782,9777263,0,0,240,12499,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",-6,-4.7,16,2.1,402092,4.3,-2802240,-100.0,-20994,-100.0,5,2.1,260,2.1
"31061","1","10","71","0","1990","A","","Franklin County, Nebraska","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",4,38,738599,0,0,371,19310,"",4.31,1.64,1.99,0.00,0.00,1.20,1.20,"",0,0.0,-5,-11.6,-46216,-5.9,0,0.0,0,0.0,21,6.0,1059,5.8
"31061","1","102","72","0","1990","A","","Franklin County, Nebraska","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",4,38,738599,0,0,371,19310,"",4.33,1.71,2.08,0.00,0.00,1.21,1.21,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31061","1","1021","73","0","1990","A","","Franklin County, Nebraska","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,23,456746,0,0,385,20003,"",2.82,3.34,4.04,0.00,0.00,1.22,1.22,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31061","1","1028","73","0","1990","A","","Franklin County, Nebraska","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,15,281853,0,0,352,18282,"",6.26,1.25,1.46,0.00,0.00,1.14,1.14,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31061","1","48-49","74","0","1990","A","","Franklin County, Nebraska","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,23,456746,0,0,385,20003,"",2.91,3.67,4.28,0.00,0.00,1.18,1.17,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31061","1","491","75","0","1990","A","","Franklin County, Nebraska","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,23,456746,0,0,385,20003,"",2.97,3.87,4.55,0.00,0.00,1.19,1.19,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31061","1","4911","76","0","1990","A","","Franklin County, Nebraska","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,23,456746,0,0,385,20003,"",2.97,3.87,4.55,0.00,0.00,1.19,1.19,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31061","1","49111","77","0","1990","A","","Franklin County, Nebraska","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,23,456746,0,0,385,20003,"",2.97,3.87,4.55,0.00,0.00,1.19,1.19,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31061","1","491110","78","0","1990","A","","Franklin County, Nebraska","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,23,456746,0,0,385,20003,"",2.97,3.87,4.55,0.00,0.00,1.19,1.19,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
