"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"33009","0","10","70","0","1990","A","","Grafton County, New Hampshire","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",2850,40250,835669479,0,0,399,20762,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",142,5.2,-1102,-2.7,10178351,1.2,-219350323,-100.0,-1726624,-100.0,16,4.2,800,4.0
"33009","1","10","71","0","1990","A","","Grafton County, New Hampshire","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",42,741,20857194,0,0,541,28135,"",1.94,0.62,0.66,0.00,0.00,1.06,1.06,"",8,23.5,3,0.4,1114520,5.6,0,0.0,0,0.0,27,5.3,1384,5.2
"33009","1","102","72","0","1990","A","","Grafton County, New Hampshire","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",37,723,20398666,0,0,543,28227,"",1.72,0.63,0.67,0.00,0.00,1.06,1.06,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33009","1","1021","73","0","1990","A","","Grafton County, New Hampshire","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",20,246,6615646,0,0,516,26856,"",2.42,0.69,0.68,0.00,0.00,0.99,0.99,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33009","1","1023","73","0","1990","A","","Grafton County, New Hampshire","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,7,132245,0,0,372,19353,"",1.15,0.52,0.35,0.00,0.00,0.70,0.70,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33009","1","1024","73","0","1990","A","","Grafton County, New Hampshire","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,401,11805454,0,0,566,29416,"",2.00,15.33,17.19,0.00,0.00,1.12,1.12,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33009","1","1028","73","0","1990","A","","Grafton County, New Hampshire","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",15,68,1845321,0,0,521,27071,"",1.34,0.11,0.11,0.00,0.00,1.02,1.01,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33009","1","48-49","74","0","1990","A","","Grafton County, New Hampshire","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",20,246,6615646,0,0,516,26856,"",2.49,0.76,0.73,0.00,0.00,0.95,0.95,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33009","1","491","75","0","1990","A","","Grafton County, New Hampshire","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",20,246,6615646,0,0,516,26856,"",2.54,0.80,0.77,0.00,0.00,0.96,0.96,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33009","1","4911","76","0","1990","A","","Grafton County, New Hampshire","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",20,246,6615646,0,0,516,26856,"",2.54,0.80,0.77,0.00,0.00,0.96,0.96,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33009","1","49111","77","0","1990","A","","Grafton County, New Hampshire","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",20,246,6615646,0,0,516,26856,"",2.54,0.80,0.77,0.00,0.00,0.96,0.96,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33009","1","491110","78","0","1990","A","","Grafton County, New Hampshire","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",20,246,6615646,0,0,516,26856,"",2.54,0.80,0.77,0.00,0.00,0.96,0.96,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33009","1","52","74","0","1990","A","","Grafton County, New Hampshire","Federal Government","Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,7,132245,0,0,372,19353,"",1.15,0.53,0.36,0.00,0.00,0.69,0.69,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
