"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"33015","0","10","70","0","1990","A","","Rockingham County, New Hampshire","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",7990,93950,2095008240,0,0,429,22299,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",584,7.9,-3896,-4.0,9369814,0.4,-639654411,-100.0,-5019074,-100.0,20,4.9,984,4.6
"33015","1","10","71","0","1990","A","","Rockingham County, New Hampshire","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",61,2065,48738075,0,0,454,23604,"",1.00,0.74,0.61,0.00,0.00,0.82,0.82,"",12,24.5,-26,-1.2,-934151,-1.9,0,0.0,0,0.0,-2,-0.4,-151,-0.6
"33015","1","102","72","0","1990","A","","Rockingham County, New Hampshire","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",60,2065,48738075,0,0,454,23604,"",0.99,0.77,0.64,0.00,0.00,0.83,0.83,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33015","1","1021","73","0","1990","A","","Rockingham County, New Hampshire","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",33,963,24322227,0,0,486,25259,"",1.42,1.16,1.00,0.00,0.00,0.86,0.86,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33015","1","1022","73","0","1990","A","","Rockingham County, New Hampshire","Federal Government","Information","County, by Supersector -- by ownership sector","All establishment sizes",2,165,1518907,0,0,177,9201,"",23.73,15.07,4.19,0.00,0.00,0.28,0.28,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33015","1","1023","73","0","1990","A","","Rockingham County, New Hampshire","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,5,83872,0,0,352,18299,"",0.41,0.16,0.09,0.00,0.00,0.61,0.61,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33015","1","1028","73","0","1990","A","","Rockingham County, New Hampshire","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",22,778,21391067,0,0,528,27480,"",0.70,0.54,0.52,0.00,0.00,0.96,0.96,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33015","1","44-45","74","0","1990","A","","Rockingham County, New Hampshire","Federal Government","Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",1,131,1396263,0,0,205,10679,"",2.60,2.22,2.00,0.00,0.00,0.90,0.91,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33015","1","452","75","0","1990","A","","Rockingham County, New Hampshire","Federal Government","General merchandise stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,131,1396263,0,0,205,10679,"",3.11,2.37,2.30,0.00,0.00,0.97,0.97,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33015","1","4521","76","0","1990","A","","Rockingham County, New Hampshire","Federal Government","Department stores","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,131,1396263,0,0,205,10679,"",6.84,4.17,4.05,0.00,0.00,0.97,0.97,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
