"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"36033","0","10","70","0","1990","A","","Franklin County, New York","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1071,15805,283293722,0,0,345,17925,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",23,2.2,339,2.2,24572094,9.5,-54064616,-100.0,-1443567,-100.0,24,7.5,1197,7.2
"36033","1","10","71","0","1990","A","","Franklin County, New York","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",20,135,3894786,0,0,554,28797,"",2.45,0.29,0.36,0.00,0.00,1.25,1.25,"",1,5.3,17,14.4,318511,8.9,0,0.0,0,0.0,-28,-4.8,-1510,-5.0
"36033","1","102","72","0","1990","A","","Franklin County, New York","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",20,135,3894786,0,0,554,28797,"",2.47,0.30,0.38,0.00,0.00,1.25,1.25,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36033","1","1021","73","0","1990","A","","Franklin County, New York","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",10,67,2096440,0,0,605,31447,"",3.22,0.48,0.64,0.00,0.00,1.34,1.34,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36033","1","1028","73","0","1990","A","","Franklin County, New York","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",10,69,1798346,0,0,504,26221,"",2.38,0.28,0.32,0.00,0.00,1.14,1.14,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36033","1","48-49","74","0","1990","A","","Franklin County, New York","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",10,67,2096440,0,0,605,31447,"",3.32,0.53,0.68,0.00,0.00,1.29,1.29,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36033","1","491","75","0","1990","A","","Franklin County, New York","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",10,67,2096440,0,0,605,31447,"",3.38,0.56,0.72,0.00,0.00,1.30,1.30,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36033","1","4911","76","0","1990","A","","Franklin County, New York","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",10,67,2096440,0,0,605,31447,"",3.38,0.56,0.72,0.00,0.00,1.30,1.30,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36033","1","49111","77","0","1990","A","","Franklin County, New York","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",10,67,2096440,0,0,605,31447,"",3.38,0.56,0.72,0.00,0.00,1.30,1.30,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36033","1","491110","78","0","1990","A","","Franklin County, New York","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",10,67,2096440,0,0,605,31447,"",3.38,0.56,0.72,0.00,0.00,1.30,1.30,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
