"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"36095","0","10","70","0","1990","A","","Schoharie County, New York","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",593,7382,138563749,0,0,361,18770,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",15,2.6,217,3.0,14258152,11.5,-31782686,-100.0,-670334,-100.0,28,8.4,1421,8.2
"36095","1","10","71","0","1990","A","","Schoharie County, New York","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,57,1205988,0,0,405,21035,"",2.44,0.26,0.23,0.00,0.00,0.87,0.87,"",1,10.0,14,32.6,186054,18.2,0,0.0,0,0.0,-51,-11.2,-2684,-11.3
"36095","1","102","72","0","1990","A","","Schoharie County, New York","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",11,57,1205988,0,0,405,21035,"",2.45,0.27,0.24,0.00,0.00,0.88,0.87,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36095","1","1021","73","0","1990","A","","Schoharie County, New York","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,29,801967,0,0,538,27976,"",4.07,0.45,0.50,0.00,0.00,1.14,1.14,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36095","1","1028","73","0","1990","A","","Schoharie County, New York","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,29,404021,0,0,271,14094,"",1.72,0.26,0.15,0.00,0.00,0.58,0.58,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36095","1","48-49","74","0","1990","A","","Schoharie County, New York","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",7,29,801967,0,0,538,27976,"",4.19,0.49,0.53,0.00,0.00,1.09,1.09,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36095","1","491","75","0","1990","A","","Schoharie County, New York","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,29,801967,0,0,538,27976,"",4.28,0.52,0.56,0.00,0.00,1.10,1.10,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36095","1","4911","76","0","1990","A","","Schoharie County, New York","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",7,29,801967,0,0,538,27976,"",4.28,0.52,0.56,0.00,0.00,1.10,1.10,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36095","1","49111","77","0","1990","A","","Schoharie County, New York","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",7,29,801967,0,0,538,27976,"",4.28,0.52,0.56,0.00,0.00,1.10,1.10,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36095","1","491110","78","0","1990","A","","Schoharie County, New York","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",7,29,801967,0,0,538,27976,"",4.28,0.52,0.56,0.00,0.00,1.10,1.10,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
