"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"37051","0","10","70","0","1990","A","","Cumberland County, North Carolina","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",3984,85198,1572678346,0,0,355,18459,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",206,5.5,-565,-0.7,42628030,2.8,-565959881,-100.0,-5213997,-100.0,12,3.5,619,3.5
"37051","1","10","71","0","1990","A","","Cumberland County, North Carolina","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",35,9337,239934255,0,0,494,25697,"",1.15,3.70,4.01,0.00,0.00,1.08,1.08,"",10,40.0,373,4.2,22908064,10.6,0,0.0,0,0.0,29,6.2,1487,6.1
"37051","1","102","72","0","1990","A","","Cumberland County, North Carolina","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",35,9337,239934255,0,0,494,25697,"",1.16,3.86,4.20,0.00,0.00,1.09,1.09,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37051","1","1021","73","0","1990","A","","Cumberland County, North Carolina","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,856,28693584,0,0,645,33521,"",0.69,1.14,1.58,0.00,0.00,1.39,1.39,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37051","1","1023","73","0","1990","A","","Cumberland County, North Carolina","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,9,233071,0,0,522,27154,"",0.82,0.32,0.33,0.00,0.00,1.10,1.10,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37051","1","1025","73","0","1990","A","","Cumberland County, North Carolina","Federal Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",2,741,25551171,0,0,663,34498,"",6.49,3.57,5.11,0.00,0.00,1.43,1.43,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37051","1","1026","73","0","1990","A","","Cumberland County, North Carolina","Federal Government","Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",2,904,10380114,0,0,221,11487,"",3.48,17.60,17.58,0.00,0.00,1.00,1.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37051","1","1028","73","0","1990","A","","Cumberland County, North Carolina","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",22,6828,175076315,0,0,493,25641,"",1.40,5.23,5.64,0.00,0.00,1.08,1.08,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37051","1","48-49","74","0","1990","A","","Cumberland County, North Carolina","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",8,856,28693584,0,0,645,33521,"",0.71,1.26,1.67,0.00,0.00,1.33,1.33,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37051","1","491","75","0","1990","A","","Cumberland County, North Carolina","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,856,28693584,0,0,645,33521,"",0.73,1.32,1.78,0.00,0.00,1.35,1.34,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
