"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"39023","0","10","70","0","1990","A","","Clark County, Ohio","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",2521,53013,1096763113,0,0,398,20689,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",10,0.4,54,0.1,25860337,2.4,-328203711,-100.0,-7890628,-100.0,10,2.6,468,2.3
"39023","1","10","71","0","1990","A","","Clark County, Ohio","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",21,641,19195637,0,0,576,29931,"",1.09,0.41,0.46,0.00,0.00,1.13,1.13,"",0,0.0,-7,-1.1,1097625,6.1,0,0.0,0,0.0,39,7.3,2002,7.2
"39023","1","102","72","0","1990","A","","Clark County, Ohio","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",21,641,19195637,0,0,576,29931,"",1.10,0.43,0.48,0.00,0.00,1.13,1.13,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39023","1","1021","73","0","1990","A","","Clark County, Ohio","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",11,298,9757011,0,0,630,32760,"",1.50,0.64,0.77,0.00,0.00,1.21,1.21,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39023","1","1028","73","0","1990","A","","Clark County, Ohio","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",9,338,9326247,0,0,531,27627,"",0.91,0.42,0.43,0.00,0.00,1.04,1.04,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39023","1","48-49","74","0","1990","A","","Clark County, Ohio","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",11,298,9757011,0,0,630,32760,"",1.55,0.70,0.81,0.00,0.00,1.16,1.16,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39023","1","491","75","0","1990","A","","Clark County, Ohio","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",11,298,9757011,0,0,630,32760,"",1.58,0.74,0.87,0.00,0.00,1.17,1.17,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39023","1","4911","76","0","1990","A","","Clark County, Ohio","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",11,298,9757011,0,0,630,32760,"",1.58,0.74,0.87,0.00,0.00,1.17,1.17,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39023","1","49111","77","0","1990","A","","Clark County, Ohio","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",11,298,9757011,0,0,630,32760,"",1.58,0.74,0.87,0.00,0.00,1.17,1.17,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39023","1","491110","78","0","1990","A","","Clark County, Ohio","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",11,298,9757011,0,0,630,32760,"",1.58,0.74,0.87,0.00,0.00,1.17,1.17,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
