"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"40035","0","10","70","0","1990","A","","Craig County, Oklahoma","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",331,5141,86933304,0,0,325,16909,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",3,0.9,260,5.3,5284567,6.5,-30892344,-100.0,-595108,-100.0,4,1.2,182,1.1
"40035","1","10","71","0","1990","A","","Craig County, Oklahoma","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,56,1459608,0,0,499,25949,"",3.97,0.37,0.44,0.00,0.00,1.20,1.20,"",0,0.0,-4,-6.7,115635,8.6,0,0.0,0,0.0,69,16.0,3550,15.8
"40035","1","102","72","0","1990","A","","Craig County, Oklahoma","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",10,56,1459608,0,0,499,25949,"",3.99,0.38,0.46,0.00,0.00,1.20,1.20,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40035","1","1021","73","0","1990","A","","Craig County, Oklahoma","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,45,1165239,0,0,503,26136,"",5.20,0.99,1.16,0.00,0.00,1.18,1.18,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40035","1","1028","73","0","1990","A","","Craig County, Oklahoma","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,12,294369,0,0,485,25232,"",3.84,0.15,0.17,0.00,0.00,1.16,1.16,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40035","1","48-49","74","0","1990","A","","Craig County, Oklahoma","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",5,45,1165239,0,0,503,26136,"",5.36,1.09,1.23,0.00,0.00,1.14,1.13,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40035","1","491","75","0","1990","A","","Craig County, Oklahoma","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,45,1165239,0,0,503,26136,"",5.47,1.15,1.31,0.00,0.00,1.15,1.14,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40035","1","4911","76","0","1990","A","","Craig County, Oklahoma","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,45,1165239,0,0,503,26136,"",5.47,1.15,1.31,0.00,0.00,1.15,1.14,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40035","1","49111","77","0","1990","A","","Craig County, Oklahoma","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",5,45,1165239,0,0,503,26136,"",5.47,1.15,1.31,0.00,0.00,1.15,1.14,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40035","1","491110","78","0","1990","A","","Craig County, Oklahoma","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",5,45,1165239,0,0,503,26136,"",5.47,1.15,1.31,0.00,0.00,1.15,1.14,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40035","1","92","74","0","1990","A","","Craig County, Oklahoma","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",5,12,294369,0,0,485,25232,"",3.84,0.15,0.17,0.00,0.00,1.16,1.16,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40035","1","924","75","0","1990","A","","Craig County, Oklahoma","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,6,140267,0,0,462,24046,"",5.82,1.11,1.23,0.00,0.00,1.13,1.13,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40035","1","9241","76","0","1990","A","","Craig County, Oklahoma","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,6,140267,0,0,462,24046,"",5.82,1.11,1.23,0.00,0.00,1.13,1.13,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40035","1","92412","77","0","1990","A","","Craig County, Oklahoma","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,6,140267,0,0,462,24046,"",5.91,1.29,1.48,0.00,0.00,1.19,1.19,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40035","1","924120","78","0","1990","A","","Craig County, Oklahoma","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,6,140267,0,0,462,24046,"",5.91,1.29,1.48,0.00,0.00,1.19,1.19,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40035","1","926","75","0","1990","A","","Craig County, Oklahoma","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,5,128356,0,0,511,26556,"",3.83,0.41,0.52,0.00,0.00,1.33,1.33,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40035","1","9261","76","0","1990","A","","Craig County, Oklahoma","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,5,128356,0,0,511,26556,"",3.83,0.41,0.52,0.00,0.00,1.33,1.33,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40035","1","92611","77","0","1990","A","","Craig County, Oklahoma","Federal Government","Administration of general economic programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,4,93371,0,0,468,24358,"",6.38,0.62,1.08,0.00,0.00,1.80,1.80,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40035","1","926110","78","0","1990","A","","Craig County, Oklahoma","Federal Government","Administration of general economic programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,4,93371,0,0,468,24358,"",6.38,0.62,1.08,0.00,0.00,1.80,1.80,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40035","2","10","71","0","1990","A","","Craig County, Oklahoma","State Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",12,1090,24634887,0,0,435,22603,"",3.92,5.80,7.04,0.00,0.00,1.22,1.21,"",0,0.0,3,0.3,1063986,4.5,-876953,-100.0,-8673,-100.0,18,4.3,919,4.2
"40035","2","102","72","0","1990","A","","Craig County, Oklahoma","State Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",12,1090,24634887,0,0,435,22603,"",4.04,5.95,7.20,0.00,0.00,1.21,1.21,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40035","2","1028","73","0","1990","A","","Craig County, Oklahoma","State Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",9,124,2927760,0,0,453,23532,"",4.12,1.62,1.94,0.00,0.00,1.19,1.19,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40035","2","92","74","0","1990","A","","Craig County, Oklahoma","State Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",9,124,2927760,0,0,453,23532,"",4.12,1.62,1.94,0.00,0.00,1.19,1.19,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40035","3","10","71","0","1990","A","","Craig County, Oklahoma","Local Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",33,684,10568488,0,0,297,15442,"",5.85,1.37,1.25,0.00,0.00,0.91,0.91,"",1,3.1,40,6.2,792397,8.1,-4677017,-100.0,-46722,-100.0,6,2.1,262,1.7
