"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"42003","0","10","70","0","1990","A","","Allegheny County, Pennsylvania","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",29809,667755,16519087249,0,0,476,24738,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",1214,4.2,11251,1.7,1143755039,7.4,-4015884993,-100.0,-154419183,-100.0,26,5.8,1318,5.6
"42003","1","10","71","0","1990","A","","Allegheny County, Pennsylvania","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",141,15559,511764906,0,0,633,32892,"",0.62,0.79,0.81,0.00,0.00,1.04,1.04,"",-2,-1.4,-301,-1.9,31322741,6.5,0,0.0,0,0.0,51,8.8,2600,8.6
"42003","1","102","72","0","1990","A","","Allegheny County, Pennsylvania","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",141,15559,511764906,0,0,633,32892,"",0.62,0.82,0.85,0.00,0.00,1.04,1.04,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42003","1","1021","73","0","1990","A","","Allegheny County, Pennsylvania","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",57,7374,243997068,0,0,636,33090,"",0.66,1.25,1.28,0.00,0.00,1.02,1.02,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42003","1","1024","73","0","1990","A","","Allegheny County, Pennsylvania","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",5,439,12781652,0,0,560,29099,"",0.96,1.01,0.94,0.00,0.00,0.93,0.93,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42003","1","1025","73","0","1990","A","","Allegheny County, Pennsylvania","Federal Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",2,2936,97148952,0,0,636,33091,"",0.87,1.81,1.85,0.00,0.00,1.02,1.02,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42003","1","1028","73","0","1990","A","","Allegheny County, Pennsylvania","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",74,4762,156745411,0,0,633,32914,"",0.63,0.47,0.48,0.00,0.00,1.03,1.03,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42003","1","44-45","74","0","1990","A","","Allegheny County, Pennsylvania","Federal Government","Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",2,61,628017,0,0,198,10309,"",1.39,0.15,0.11,0.00,0.00,0.79,0.79,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42003","1","445","75","0","1990","A","","Allegheny County, Pennsylvania","Federal Government","Food and beverage stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"",6.56,0.00,0.00,0.00,0.00,0.00,0.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42003","1","452","75","0","1990","A","","Allegheny County, Pennsylvania","Federal Government","General merchandise stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,61,628017,0,0,198,10309,"",0.83,0.16,0.13,0.00,0.00,0.84,0.84,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42003","1","4529","76","0","1990","A","","Allegheny County, Pennsylvania","Federal Government","Other general merchandise stores","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,61,628017,0,0,198,10309,"",1.52,0.36,0.30,0.00,0.00,0.84,0.84,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42003","1","45299","77","0","1990","A","","Allegheny County, Pennsylvania","Federal Government","All other general merchandise stores","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,61,628017,0,0,198,10309,"",2.08,0.66,0.54,0.00,0.00,0.81,0.81,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42003","1","452990","78","0","1990","A","","Allegheny County, Pennsylvania","Federal Government","All other general merchandise stores","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,61,628017,0,0,198,10309,"",2.08,0.66,0.54,0.00,0.00,0.81,0.81,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42003","1","48-49","74","0","1990","A","","Allegheny County, Pennsylvania","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",55,7313,243369051,0,0,640,33280,"",0.66,1.37,1.35,0.00,0.00,0.99,0.99,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42003","1","488","75","0","1990","A","","Allegheny County, Pennsylvania","Federal Government","Support activities for transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,204,10075525,0,0,951,49471,"",0.67,1.10,1.19,0.00,0.00,1.08,1.08,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42003","1","4881","76","0","1990","A","","Allegheny County, Pennsylvania","Federal Government","Support activities for air transportation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,204,10075525,0,0,951,49471,"",0.68,1.15,1.22,0.00,0.00,1.06,1.06,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42003","1","48811","77","0","1990","A","","Allegheny County, Pennsylvania","Federal Government","Airport operations","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,204,10075525,0,0,951,49471,"",0.68,1.15,1.22,0.00,0.00,1.06,1.06,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42003","1","488111","78","0","1990","A","","Allegheny County, Pennsylvania","Federal Government","Air traffic control","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,204,10075525,0,0,951,49471,"",0.69,1.21,1.23,0.00,0.00,1.02,1.02,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42003","1","491","75","0","1990","A","","Allegheny County, Pennsylvania","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",54,7109,233293526,0,0,631,32816,"",0.66,1.40,1.38,0.00,0.00,0.98,0.98,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42003","1","4911","76","0","1990","A","","Allegheny County, Pennsylvania","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",54,7109,233293526,0,0,631,32816,"",0.66,1.40,1.38,0.00,0.00,0.98,0.98,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42003","1","49111","77","0","1990","A","","Allegheny County, Pennsylvania","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",54,7109,233293526,0,0,631,32816,"",0.66,1.40,1.38,0.00,0.00,0.98,0.98,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42003","1","491110","78","0","1990","A","","Allegheny County, Pennsylvania","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",54,7109,233293526,0,0,631,32816,"",0.66,1.40,1.38,0.00,0.00,0.98,0.98,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
