"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"42007","0","10","70","0","1990","A","","Beaver County, Pennsylvania","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",3019,48469,1035901297,0,0,411,21372,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",114,3.9,898,1.9,50787148,5.2,-282720746,-100.0,-12199987,-100.0,13,3.3,664,3.2
"42007","1","10","71","0","1990","A","","Beaver County, Pennsylvania","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",30,444,12706265,0,0,551,28645,"",1.31,0.31,0.32,0.00,0.00,1.04,1.04,"",0,0.0,-18,-3.9,859549,7.3,0,0.0,0,0.0,58,11.8,3003,11.7
"42007","1","102","72","0","1990","A","","Beaver County, Pennsylvania","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",30,444,12706265,0,0,551,28645,"",1.31,0.32,0.34,0.00,0.00,1.05,1.05,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42007","1","1021","73","0","1990","A","","Beaver County, Pennsylvania","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",18,383,11061234,0,0,555,28874,"",2.05,0.90,0.92,0.00,0.00,1.03,1.03,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42007","1","1028","73","0","1990","A","","Beaver County, Pennsylvania","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",12,61,1645031,0,0,523,27191,"",1.01,0.08,0.08,0.00,0.00,0.99,0.99,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42007","1","48-49","74","0","1990","A","","Beaver County, Pennsylvania","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",18,383,11061234,0,0,555,28874,"",2.12,0.99,0.98,0.00,0.00,0.99,0.99,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42007","1","491","75","0","1990","A","","Beaver County, Pennsylvania","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",18,383,11061234,0,0,555,28874,"",2.16,1.04,1.04,0.00,0.00,1.00,1.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42007","1","4911","76","0","1990","A","","Beaver County, Pennsylvania","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",18,383,11061234,0,0,555,28874,"",2.16,1.04,1.04,0.00,0.00,1.00,1.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42007","1","49111","77","0","1990","A","","Beaver County, Pennsylvania","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",18,383,11061234,0,0,555,28874,"",2.16,1.04,1.04,0.00,0.00,1.00,1.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42007","1","491110","78","0","1990","A","","Beaver County, Pennsylvania","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",18,383,11061234,0,0,555,28874,"",2.16,1.04,1.04,0.00,0.00,1.00,1.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42007","1","92","74","0","1990","A","","Beaver County, Pennsylvania","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",12,61,1645031,0,0,523,27191,"",1.01,0.08,0.08,0.00,0.00,0.99,0.99,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42007","1","921","75","0","1990","A","","Beaver County, Pennsylvania","Federal Government","Executive, legislative and general government","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,14102,0,0,217,11282,"",1.05,0.01,0.00,0.00,0.00,0.42,0.42,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42007","1","9211","76","0","1990","A","","Beaver County, Pennsylvania","Federal Government","Executive, legislative and general government","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,14102,0,0,217,11282,"",1.05,0.01,0.00,0.00,0.00,0.42,0.42,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42007","1","923","75","0","1990","A","","Beaver County, Pennsylvania","Federal Government","Administration of human resource programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,25,785936,0,0,601,31229,"",1.07,0.40,0.43,0.00,0.00,1.05,1.05,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42007","1","9231","76","0","1990","A","","Beaver County, Pennsylvania","Federal Government","Administration of human resource programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,25,785936,0,0,601,31229,"",1.07,0.40,0.43,0.00,0.00,1.05,1.05,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42007","1","92313","77","0","1990","A","","Beaver County, Pennsylvania","Federal Government","Other human resource programs administration","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,25,785936,0,0,601,31229,"",1.46,0.71,0.81,0.00,0.00,1.13,1.13,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42007","1","923130","78","0","1990","A","","Beaver County, Pennsylvania","Federal Government","Other human resource programs administration","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,25,785936,0,0,601,31229,"",1.46,0.71,0.81,0.00,0.00,1.13,1.13,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42007","1","924","75","0","1990","A","","Beaver County, Pennsylvania","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,7,132326,0,0,364,18904,"",0.96,0.14,0.10,0.00,0.00,0.71,0.70,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42007","1","9241","76","0","1990","A","","Beaver County, Pennsylvania","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,7,132326,0,0,364,18904,"",0.96,0.14,0.10,0.00,0.00,0.71,0.70,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42007","1","92412","77","0","1990","A","","Beaver County, Pennsylvania","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,7,132326,0,0,364,18904,"",0.97,0.16,0.12,0.00,0.00,0.74,0.74,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42007","1","924120","78","0","1990","A","","Beaver County, Pennsylvania","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,7,132326,0,0,364,18904,"",0.97,0.16,0.12,0.00,0.00,0.74,0.74,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42007","1","926","75","0","1990","A","","Beaver County, Pennsylvania","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,6,151551,0,0,500,25980,"",1.05,0.05,0.05,0.00,0.00,1.03,1.03,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42007","1","9261","76","0","1990","A","","Beaver County, Pennsylvania","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,6,151551,0,0,500,25980,"",1.05,0.05,0.05,0.00,0.00,1.03,1.03,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42007","1","92611","77","0","1990","A","","Beaver County, Pennsylvania","Federal Government","Administration of general economic programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,2,20010,0,0,220,11434,"",1.40,0.03,0.02,0.00,0.00,0.67,0.67,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42007","1","926110","78","0","1990","A","","Beaver County, Pennsylvania","Federal Government","Administration of general economic programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,2,20010,0,0,220,11434,"",1.40,0.03,0.02,0.00,0.00,0.67,0.67,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42007","1","92614","77","0","1990","A","","Beaver County, Pennsylvania","Federal Government","Agricultural market and commodity regulation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,4,131541,0,0,620,32214,"",1.10,0.17,0.20,0.00,0.00,1.13,1.13,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42007","1","926140","78","0","1990","A","","Beaver County, Pennsylvania","Federal Government","Agricultural market and commodity regulation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,4,131541,0,0,620,32214,"",1.10,0.17,0.20,0.00,0.00,1.13,1.13,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42007","1","928","75","0","1990","A","","Beaver County, Pennsylvania","Federal Government","National security and international affairs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,21,561116,0,0,508,26405,"",1.73,0.06,0.06,0.00,0.00,0.97,0.97,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42007","1","9281","76","0","1990","A","","Beaver County, Pennsylvania","Federal Government","National security and international affairs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,21,561116,0,0,508,26405,"",1.73,0.06,0.06,0.00,0.00,0.97,0.97,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42007","1","92811","77","0","1990","A","","Beaver County, Pennsylvania","Federal Government","National security","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,21,561116,0,0,508,26405,"",1.83,0.07,0.06,0.00,0.00,0.98,0.98,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42007","1","928110","78","0","1990","A","","Beaver County, Pennsylvania","Federal Government","National security","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,21,561116,0,0,508,26405,"",1.83,0.07,0.06,0.00,0.00,0.98,0.98,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42007","2","10","71","0","1990","A","","Beaver County, Pennsylvania","State Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",19,770,18261311,0,0,456,23716,"",0.68,0.43,0.44,0.00,0.00,1.01,1.01,"",-1,-5.0,-38,-4.7,188417,1.0,0,0.0,0,0.0,26,6.0,1349,6.0
"42007","2","1028","73","0","1990","A","","Beaver County, Pennsylvania","State Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",11,109,2822221,0,0,496,25813,"",0.55,0.15,0.16,0.00,0.00,1.03,1.03,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42007","2","92","74","0","1990","A","","Beaver County, Pennsylvania","State Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",11,109,2822221,0,0,496,25813,"",0.55,0.15,0.16,0.00,0.00,1.03,1.03,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42007","3","10","71","0","1990","A","","Beaver County, Pennsylvania","Local Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",100,6579,126535822,0,0,370,19234,"",1.94,1.40,1.26,0.00,0.00,0.90,0.90,"",2,2.0,123,1.9,9952803,8.5,-1075180,-100.0,-27483,-100.0,23,6.6,1176,6.5
"42007","3","102","72","0","1990","A","","Beaver County, Pennsylvania","Local Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",100,6579,126535822,0,0,370,19234,"",2.03,1.41,1.27,0.00,0.00,0.90,0.90,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42007","3","1021","73","0","1990","A","","Beaver County, Pennsylvania","Local Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",21,219,4556601,0,0,401,20838,"",4.85,1.18,0.88,0.00,0.00,0.75,0.75,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42007","3","1025","73","0","1990","A","","Beaver County, Pennsylvania","Local Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",18,3940,84981611,0,0,415,21568,"",1.46,1.36,1.39,0.00,0.00,1.03,1.03,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42007","3","1028","73","0","1990","A","","Beaver County, Pennsylvania","Local Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",59,2397,36752668,0,0,295,15333,"",2.21,1.74,1.22,0.00,0.00,0.70,0.70,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42007","3","2213","76","0","1990","A","","Beaver County, Pennsylvania","Local Government","Water, sewage and other systems","County, NAICS 4-digit -- by ownership sector","All establishment sizes",19,209,4313055,0,0,397,20645,"",6.22,3.36,2.93,0.00,0.00,0.87,0.87,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
