"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"45055","0","10","70","0","1990","A","","Kershaw County, South Carolina","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",957,16471,329647721,0,0,385,20014,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",22,2.4,-137,-0.8,11278418,3.5,-99987132,-100.0,-1818976,-100.0,17,4.6,845,4.4
"45055","1","10","71","0","1990","A","","Kershaw County, South Carolina","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,127,2986055,0,0,453,23559,"",1.10,0.26,0.24,0.00,0.00,0.92,0.92,"",1,14.3,16,14.4,287242,10.6,0,0.0,0,0.0,-14,-3.0,-754,-3.1
"45055","1","102","72","0","1990","A","","Kershaw County, South Carolina","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,127,2986055,0,0,453,23559,"",1.10,0.27,0.25,0.00,0.00,0.92,0.92,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45055","1","1021","73","0","1990","A","","Kershaw County, South Carolina","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,78,1985819,0,0,487,25324,"",0.36,0.54,0.52,0.00,0.00,0.97,0.97,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45055","1","1028","73","0","1990","A","","Kershaw County, South Carolina","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",7,48,1000236,0,0,398,20695,"",1.86,0.19,0.15,0.00,0.00,0.80,0.80,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45055","1","48-49","74","0","1990","A","","Kershaw County, South Carolina","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,78,1985819,0,0,487,25324,"",0.37,0.59,0.55,0.00,0.00,0.93,0.93,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45055","1","491","75","0","1990","A","","Kershaw County, South Carolina","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,78,1985819,0,0,487,25324,"",0.38,0.62,0.59,0.00,0.00,0.94,0.94,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45055","1","4911","76","0","1990","A","","Kershaw County, South Carolina","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,78,1985819,0,0,487,25324,"",0.38,0.62,0.59,0.00,0.00,0.94,0.94,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45055","1","49111","77","0","1990","A","","Kershaw County, South Carolina","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,78,1985819,0,0,487,25324,"",0.38,0.62,0.59,0.00,0.00,0.94,0.94,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45055","1","491110","78","0","1990","A","","Kershaw County, South Carolina","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,78,1985819,0,0,487,25324,"",0.38,0.62,0.59,0.00,0.00,0.94,0.94,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
