"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"45063","0","10","70","0","1990","A","","Lexington County, South Carolina","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",3310,56465,1095637843,0,0,373,19404,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",127,4.0,1907,3.5,87936117,8.7,-332230117,-100.0,-5722229,-100.0,18,5.1,934,5.1
"45063","1","10","71","0","1990","A","","Lexington County, South Carolina","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",12,460,13455767,0,0,562,29246,"",0.48,0.28,0.32,0.00,0.00,1.17,1.17,"",1,9.1,40,9.5,1051481,8.5,0,0.0,0,0.0,-5,-0.9,-288,-1.0
"45063","1","102","72","0","1990","A","","Lexington County, South Carolina","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",12,460,13455767,0,0,562,29246,"",0.48,0.29,0.34,0.00,0.00,1.18,1.18,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45063","1","1021","73","0","1990","A","","Lexington County, South Carolina","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,282,7769621,0,0,530,27544,"",0.10,0.57,0.61,0.00,0.00,1.08,1.08,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45063","1","1024","73","0","1990","A","","Lexington County, South Carolina","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,27,1132708,0,0,822,42744,"",1.72,0.74,1.26,0.00,0.00,1.74,1.74,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45063","1","1028","73","0","1990","A","","Lexington County, South Carolina","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",10,152,4553438,0,0,578,30056,"",0.77,0.18,0.21,0.00,0.00,1.20,1.20,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45063","1","48-49","74","0","1990","A","","Lexington County, South Carolina","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,282,7769621,0,0,530,27544,"",0.11,0.62,0.65,0.00,0.00,1.04,1.04,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45063","1","491","75","0","1990","A","","Lexington County, South Carolina","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,282,7769621,0,0,530,27544,"",0.11,0.66,0.69,0.00,0.00,1.05,1.05,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45063","1","4911","76","0","1990","A","","Lexington County, South Carolina","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,282,7769621,0,0,530,27544,"",0.11,0.66,0.69,0.00,0.00,1.05,1.05,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45063","1","49111","77","0","1990","A","","Lexington County, South Carolina","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,282,7769621,0,0,530,27544,"",0.11,0.66,0.69,0.00,0.00,1.05,1.05,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45063","1","491110","78","0","1990","A","","Lexington County, South Carolina","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,282,7769621,0,0,530,27544,"",0.11,0.66,0.69,0.00,0.00,1.05,1.05,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45063","1","54","74","0","1990","A","","Lexington County, South Carolina","Federal Government","Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,27,1132708,0,0,822,42744,"",1.77,0.77,1.28,0.00,0.00,1.70,1.70,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45063","1","541","75","0","1990","A","","Lexington County, South Carolina","Federal Government","Professional and technical services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,27,1132708,0,0,822,42744,"",1.77,0.77,1.28,0.00,0.00,1.70,1.70,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45063","1","5419","76","0","1990","A","","Lexington County, South Carolina","Federal Government","Other professional and technical services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,27,1132708,0,0,822,42744,"",6.76,8.24,13.15,0.00,0.00,1.63,1.63,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45063","1","54199","77","0","1990","A","","Lexington County, South Carolina","Federal Government","All other professional and technical services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,27,1132708,0,0,822,42744,"",6.94,8.67,13.42,0.00,0.00,1.58,1.58,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45063","1","541990","78","0","1990","A","","Lexington County, South Carolina","Federal Government","All other professional and technical services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,27,1132708,0,0,822,42744,"",6.94,8.67,13.42,0.00,0.00,1.58,1.58,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45063","1","92","74","0","1990","A","","Lexington County, South Carolina","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",10,152,4553438,0,0,578,30056,"",0.77,0.18,0.21,0.00,0.00,1.20,1.20,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45063","1","924","75","0","1990","A","","Lexington County, South Carolina","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,2,69560,0,0,573,29811,"",0.29,0.03,0.05,0.00,0.00,1.22,1.22,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45063","1","9241","76","0","1990","A","","Lexington County, South Carolina","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,2,69560,0,0,573,29811,"",0.29,0.03,0.05,0.00,0.00,1.22,1.22,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45063","1","92412","77","0","1990","A","","Lexington County, South Carolina","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,2,69560,0,0,573,29811,"",0.30,0.04,0.06,0.00,0.00,1.28,1.28,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45063","1","924120","78","0","1990","A","","Lexington County, South Carolina","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,2,69560,0,0,573,29811,"",0.30,0.04,0.06,0.00,0.00,1.28,1.28,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45063","1","926","75","0","1990","A","","Lexington County, South Carolina","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,142,4320595,0,0,584,30373,"",1.53,1.05,1.40,0.00,0.00,1.33,1.33,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45063","1","9261","76","0","1990","A","","Lexington County, South Carolina","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",8,142,4320595,0,0,584,30373,"",1.53,1.05,1.40,0.00,0.00,1.33,1.33,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45063","1","92611","77","0","1990","A","","Lexington County, South Carolina","Federal Government","Administration of general economic programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,39,252777,0,0,124,6440,"",1.28,0.55,0.23,0.00,0.00,0.41,0.41,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45063","1","926110","78","0","1990","A","","Lexington County, South Carolina","Federal Government","Administration of general economic programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,39,252777,0,0,124,6440,"",1.28,0.55,0.23,0.00,0.00,0.41,0.41,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45063","1","92612","77","0","1990","A","","Lexington County, South Carolina","Federal Government","Transportation program administration","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,67,3037513,0,0,871,45280,"",3.27,3.17,4.07,0.00,0.00,1.29,1.29,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45063","1","926120","78","0","1990","A","","Lexington County, South Carolina","Federal Government","Transportation program administration","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,67,3037513,0,0,871,45280,"",3.27,3.17,4.07,0.00,0.00,1.29,1.29,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45063","1","92614","77","0","1990","A","","Lexington County, South Carolina","Federal Government","Agricultural market and commodity regulation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",5,36,1030305,0,0,552,28686,"",1.67,1.34,1.48,0.00,0.00,1.11,1.11,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45063","1","926140","78","0","1990","A","","Lexington County, South Carolina","Federal Government","Agricultural market and commodity regulation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",5,36,1030305,0,0,552,28686,"",1.67,1.34,1.48,0.00,0.00,1.11,1.11,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45063","2","10","71","0","1990","A","","Lexington County, South Carolina","State Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",17,911,18736631,0,0,396,20571,"",0.56,0.44,0.42,0.00,0.00,0.96,0.96,"",0,0.0,198,27.8,4613010,32.7,-147918,-100.0,-6930,-100.0,16,4.2,763,3.9
"45063","2","102","72","0","1990","A","","Lexington County, South Carolina","State Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",17,911,18736631,0,0,396,20571,"",0.57,0.45,0.43,0.00,0.00,0.96,0.96,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45063","2","1025","73","0","1990","A","","Lexington County, South Carolina","State Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",5,428,9404662,0,0,423,21986,"",0.83,0.40,0.43,0.00,0.00,1.08,1.08,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45063","3","10","71","0","1990","A","","Lexington County, South Carolina","Local Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",30,7843,153753168,0,0,377,19603,"",0.53,1.43,1.44,0.00,0.00,1.01,1.01,"",1,3.4,503,6.9,18141549,13.4,-1377408,-100.0,-19173,-100.0,22,6.2,1128,6.1
"45063","3","102","72","0","1990","A","","Lexington County, South Carolina","Local Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",30,7843,153753168,0,0,377,19603,"",0.55,1.44,1.46,0.00,0.00,1.01,1.01,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45063","3","1025","73","0","1990","A","","Lexington County, South Carolina","Local Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",6,6385,128774857,0,0,388,20168,"",0.44,1.89,2.00,0.00,0.00,1.06,1.06,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45063","3","1028","73","0","1990","A","","Lexington County, South Carolina","Local Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",20,1310,22665024,0,0,333,17305,"",0.68,0.81,0.71,0.00,0.00,0.87,0.87,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45063","3","92","74","0","1990","A","","Lexington County, South Carolina","Local Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",20,1310,22665024,0,0,333,17305,"",0.68,0.81,0.71,0.00,0.00,0.87,0.87,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45063","3","921","75","0","1990","A","","Lexington County, South Carolina","Local Government","Executive, legislative and general government","County, NAICS 3-digit -- by ownership sector","All establishment sizes",15,1116,20319302,0,0,350,18209,"",0.80,1.00,1.01,0.00,0.00,1.00,1.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45063","3","9211","76","0","1990","A","","Lexington County, South Carolina","Local Government","Executive, legislative and general government","County, NAICS 4-digit -- by ownership sector","All establishment sizes",15,1116,20319302,0,0,350,18209,"",0.80,1.00,1.01,0.00,0.00,1.00,1.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45063","3","92114","77","0","1990","A","","Lexington County, South Carolina","Local Government","Executive and legislative offices, combined","County, NAICS 5-digit -- by ownership sector","All establishment sizes",15,1116,20319302,0,0,350,18209,"",1.28,1.53,1.56,0.00,0.00,1.02,1.02,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
