"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"46067","0","10","70","0","1990","A","","Hutchinson County, South Dakota","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",301,2257,28748920,0,0,245,12737,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",-17,-5.3,-33,-1.4,1128616,4.1,-10080324,-100.0,-29052,-100.0,14,6.1,676,5.6
"46067","1","10","71","0","1990","A","","Hutchinson County, South Dakota","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,60,1184690,0,0,381,19800,"",3.93,0.90,1.08,0.00,0.00,1.21,1.21,"",2,28.6,1,1.7,114740,10.7,0,0.0,0,0.0,33,9.5,1666,9.2
"46067","1","102","72","0","1990","A","","Hutchinson County, South Dakota","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,60,1184690,0,0,381,19800,"",3.95,0.94,1.13,0.00,0.00,1.21,1.21,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46067","1","1021","73","0","1990","A","","Hutchinson County, South Dakota","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,32,716884,0,0,431,22403,"",3.43,1.61,2.16,0.00,0.00,1.34,1.34,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46067","1","1028","73","0","1990","A","","Hutchinson County, South Dakota","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,21,349349,0,0,326,16972,"",4.23,0.61,0.62,0.00,0.00,1.03,1.04,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46067","1","48-49","74","0","1990","A","","Hutchinson County, South Dakota","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,32,716884,0,0,431,22403,"",3.54,1.77,2.28,0.00,0.00,1.29,1.29,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46067","1","491","75","0","1990","A","","Hutchinson County, South Dakota","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,32,716884,0,0,431,22403,"",3.61,1.87,2.43,0.00,0.00,1.30,1.30,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46067","1","4911","76","0","1990","A","","Hutchinson County, South Dakota","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,32,716884,0,0,431,22403,"",3.61,1.87,2.43,0.00,0.00,1.30,1.30,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46067","1","49111","77","0","1990","A","","Hutchinson County, South Dakota","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,32,716884,0,0,431,22403,"",3.61,1.87,2.43,0.00,0.00,1.30,1.30,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46067","1","491110","78","0","1990","A","","Hutchinson County, South Dakota","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,32,716884,0,0,431,22403,"",3.61,1.87,2.43,0.00,0.00,1.30,1.30,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46067","1","92","74","0","1990","A","","Hutchinson County, South Dakota","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",5,21,349349,0,0,326,16972,"",4.23,0.61,0.62,0.00,0.00,1.03,1.04,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46067","1","924","75","0","1990","A","","Hutchinson County, South Dakota","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,15,266988,0,0,346,17999,"",6.40,6.34,7.06,0.00,0.00,1.12,1.13,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46067","1","9241","76","0","1990","A","","Hutchinson County, South Dakota","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,15,266988,0,0,346,17999,"",6.40,6.34,7.06,0.00,0.00,1.12,1.13,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46067","1","92412","77","0","1990","A","","Hutchinson County, South Dakota","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,15,266988,0,0,346,17999,"",6.50,7.32,8.54,0.00,0.00,1.18,1.18,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46067","1","924120","78","0","1990","A","","Hutchinson County, South Dakota","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,15,266988,0,0,346,17999,"",6.50,7.32,8.54,0.00,0.00,1.18,1.18,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46067","1","926","75","0","1990","A","","Hutchinson County, South Dakota","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,4,29559,0,0,152,7882,"",4.21,0.74,0.37,0.00,0.00,0.53,0.52,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46067","1","9261","76","0","1990","A","","Hutchinson County, South Dakota","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,4,29559,0,0,152,7882,"",4.21,0.74,0.37,0.00,0.00,0.53,0.52,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46067","1","92614","77","0","1990","A","","Hutchinson County, South Dakota","Federal Government","Agricultural market and commodity regulation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,2474,0,0,190,9896,"",3.67,0.00,0.14,0.00,0.00,0.58,0.58,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46067","1","926140","78","0","1990","A","","Hutchinson County, South Dakota","Federal Government","Agricultural market and commodity regulation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,2474,0,0,190,9896,"",3.67,0.00,0.14,0.00,0.00,0.58,0.58,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46067","1","928","75","0","1990","A","","Hutchinson County, South Dakota","Federal Government","National security and international affairs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,2,52802,0,0,508,26401,"",8.68,0.13,0.21,0.00,0.00,1.63,1.63,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46067","1","9281","76","0","1990","A","","Hutchinson County, South Dakota","Federal Government","National security and international affairs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,2,52802,0,0,508,26401,"",8.68,0.13,0.21,0.00,0.00,1.63,1.63,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46067","1","92811","77","0","1990","A","","Hutchinson County, South Dakota","Federal Government","National security","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,2,52802,0,0,508,26401,"",9.16,0.13,0.22,0.00,0.00,1.65,1.65,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46067","1","928110","78","0","1990","A","","Hutchinson County, South Dakota","Federal Government","National security","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,2,52802,0,0,508,26401,"",9.16,0.13,0.22,0.00,0.00,1.65,1.65,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46067","3","102","72","0","1990","A","","Hutchinson County, South Dakota","Local Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",21,351,4501937,0,0,247,12823,"",4.27,1.62,1.63,0.00,0.00,1.01,1.01,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46067","3","1025","73","0","1990","A","","Hutchinson County, South Dakota","Local Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",7,259,3863126,0,0,287,14920,"",5.70,1.92,2.28,0.00,0.00,1.19,1.19,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46067","3","921","75","0","1990","A","","Hutchinson County, South Dakota","Local Government","Executive, legislative and general government","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,86,600574,0,0,134,6950,"",5.28,1.94,1.14,0.00,0.00,0.59,0.58,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46067","3","9211","76","0","1990","A","","Hutchinson County, South Dakota","Local Government","Executive, legislative and general government","County, NAICS 4-digit -- by ownership sector","All establishment sizes",9,86,600574,0,0,134,6950,"",5.28,1.94,1.14,0.00,0.00,0.59,0.58,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46067","3","92114","77","0","1990","A","","Hutchinson County, South Dakota","Local Government","Executive and legislative offices, combined","County, NAICS 5-digit -- by ownership sector","All establishment sizes",7,81,536979,0,0,128,6636,"",6.59,2.78,1.57,0.00,0.00,0.57,0.56,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46067","3","921140","78","0","1990","A","","Hutchinson County, South Dakota","Local Government","Executive and legislative offices, combined","County, NAICS 6-digit -- by ownership sector","All establishment sizes",7,81,536979,0,0,128,6636,"",6.59,2.78,1.57,0.00,0.00,0.57,0.56,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46067","5","10","71","0","1990","A","","Hutchinson County, South Dakota","Private","Total, all industries","County, Total -- by ownership sector","All establishment sizes",249,1783,21940634,0,0,237,12309,"",0.86,0.94,0.93,0.00,0.00,0.98,0.98,"",-23,-8.5,-40,-2.2,858014,4.1,-9625105,-100.0,-28845,-100.0,15,6.8,745,6.4
