"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"47071","0","10","70","0","1990","A","","Hardin County, Tennessee","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",422,6926,108972482,0,0,303,15734,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",25,6.3,92,1.3,6545174,6.4,-40621113,-100.0,-1130931,-100.0,15,5.2,747,5.0
"47071","1","10","71","0","1990","A","","Hardin County, Tennessee","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,109,2613342,0,0,460,23903,"",2.80,0.53,0.63,0.00,0.00,1.18,1.18,"",1,12.5,9,9.0,169022,6.9,0,0.0,0,0.0,-10,-2.1,-540,-2.2
"47071","1","102","72","0","1990","A","","Hardin County, Tennessee","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,108,2592104,0,0,463,24075,"",2.19,0.55,0.65,0.00,0.00,1.19,1.19,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47071","1","1021","73","0","1990","A","","Hardin County, Tennessee","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,60,1706055,0,0,549,28553,"",2.45,0.98,1.35,0.00,0.00,1.38,1.38,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47071","1","1026","73","0","1990","A","","Hardin County, Tennessee","Federal Government","Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,22,416501,0,0,364,18932,"",16.43,5.27,10.18,0.00,0.00,1.93,1.93,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47071","1","1028","73","0","1990","A","","Hardin County, Tennessee","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,26,469548,0,0,348,18118,"",1.81,0.24,0.22,0.00,0.00,0.89,0.89,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47071","1","22","74","0","1990","A","","Hardin County, Tennessee","Federal Government","Utilities","County, NAICS Sector -- by ownership sector","All establishment sizes",2,39,1025127,0,0,502,26118,"",130.68,31.29,31.01,0.00,0.00,0.98,0.98,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47071","1","221","75","0","1990","A","","Hardin County, Tennessee","Federal Government","Utilities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,39,1025127,0,0,502,26118,"",130.68,31.29,31.01,0.00,0.00,0.98,0.98,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47071","1","2211","76","0","1990","A","","Hardin County, Tennessee","Federal Government","Power generation and supply","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,39,1025127,0,0,502,26118,"",146.68,32.97,32.30,0.00,0.00,0.97,0.97,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47071","1","48-49","74","0","1990","A","","Hardin County, Tennessee","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,21,680928,0,0,639,33216,"",0.84,0.38,0.57,0.00,0.00,1.55,1.55,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47071","1","491","75","0","1990","A","","Hardin County, Tennessee","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,21,680928,0,0,639,33216,"",0.86,0.40,0.61,0.00,0.00,1.56,1.56,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47071","1","4911","76","0","1990","A","","Hardin County, Tennessee","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,21,680928,0,0,639,33216,"",0.86,0.40,0.61,0.00,0.00,1.56,1.56,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47071","1","49111","77","0","1990","A","","Hardin County, Tennessee","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,21,680928,0,0,639,33216,"",0.86,0.40,0.61,0.00,0.00,1.56,1.56,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47071","1","491110","78","0","1990","A","","Hardin County, Tennessee","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,21,680928,0,0,639,33216,"",0.86,0.40,0.61,0.00,0.00,1.56,1.56,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47071","1","71","74","0","1990","A","","Hardin County, Tennessee","Federal Government","Arts, entertainment, and recreation","County, NAICS Sector -- by ownership sector","All establishment sizes",1,22,416501,0,0,364,18932,"",26.57,8.34,13.71,0.00,0.00,1.64,1.64,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47071","1","712","75","0","1990","A","","Hardin County, Tennessee","Federal Government","Museums, historical sites, zoos, and parks","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,22,416501,0,0,364,18932,"",40.61,15.91,19.92,0.00,0.00,1.25,1.25,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47071","1","7121","76","0","1990","A","","Hardin County, Tennessee","Federal Government","Museums, historical sites, zoos, and parks","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,22,416501,0,0,364,18932,"",40.61,15.91,19.92,0.00,0.00,1.25,1.25,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47071","1","71219","77","0","1990","A","","Hardin County, Tennessee","Federal Government","Nature parks and other similar institutions","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,22,416501,0,0,364,18932,"",46.07,22.93,31.24,0.00,0.00,1.36,1.36,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47071","1","712190","78","0","1990","A","","Hardin County, Tennessee","Federal Government","Nature parks and other similar institutions","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,22,416501,0,0,364,18932,"",46.07,22.93,31.24,0.00,0.00,1.36,1.36,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47071","1","92","74","0","1990","A","","Hardin County, Tennessee","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",3,26,469548,0,0,348,18118,"",1.81,0.24,0.22,0.00,0.00,0.89,0.89,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47071","1","924","75","0","1990","A","","Hardin County, Tennessee","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,5,108021,0,0,409,21250,"",2.28,0.69,0.75,0.00,0.00,1.08,1.08,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47071","1","9241","76","0","1990","A","","Hardin County, Tennessee","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,5,108021,0,0,409,21250,"",2.28,0.69,0.75,0.00,0.00,1.08,1.08,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47071","1","92412","77","0","1990","A","","Hardin County, Tennessee","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,5,108021,0,0,409,21250,"",2.32,0.79,0.91,0.00,0.00,1.13,1.13,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
