"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"47113","0","10","70","0","1990","A","","Madison County, Tennessee","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1903,38201,766622605,0,0,386,20068,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",72,3.9,407,1.1,62511086,8.9,-220538800,-100.0,-4199614,-100.0,28,7.8,1438,7.7
"47113","1","10","71","0","1990","A","","Madison County, Tennessee","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",15,464,15624992,0,0,647,33656,"",1.04,0.41,0.54,0.00,0.00,1.31,1.31,"",1,7.1,26,5.9,1334899,9.3,0,0.0,0,0.0,20,3.2,1031,3.2
"47113","1","102","72","0","1990","A","","Madison County, Tennessee","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",14,453,15299796,0,0,649,33762,"",0.97,0.42,0.55,0.00,0.00,1.31,1.31,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47113","1","1021","73","0","1990","A","","Madison County, Tennessee","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,276,9598978,0,0,668,34726,"",0.54,0.82,1.08,0.00,0.00,1.32,1.32,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47113","1","1028","73","0","1990","A","","Madison County, Tennessee","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",11,177,5700818,0,0,620,32254,"",1.47,0.30,0.38,0.00,0.00,1.25,1.25,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47113","1","22","74","0","1990","A","","Madison County, Tennessee","Federal Government","Utilities","County, NAICS Sector -- by ownership sector","All establishment sizes",2,80,3107395,0,0,745,38721,"",28.98,11.64,13.36,0.00,0.00,1.15,1.14,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47113","1","221","75","0","1990","A","","Madison County, Tennessee","Federal Government","Utilities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,80,3107395,0,0,745,38721,"",28.98,11.64,13.36,0.00,0.00,1.15,1.14,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47113","1","2211","76","0","1990","A","","Madison County, Tennessee","Federal Government","Power generation and supply","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,80,3107395,0,0,745,38721,"",32.53,12.26,13.92,0.00,0.00,1.13,1.13,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47113","1","22111","77","0","1990","A","","Madison County, Tennessee","Federal Government","Electric power generation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,78,2996764,0,0,737,38338,"",57.96,20.45,23.31,0.00,0.00,1.14,1.14,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47113","1","221111","78","0","1990","A","","Madison County, Tennessee","Federal Government","Hydroelectric power generation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,78,2996764,0,0,737,38338,"",69.30,92.05,107.99,0.00,0.00,1.17,1.17,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
