"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"47129","0","10","70","0","1990","A","","Morgan County, Tennessee","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",139,2837,47510351,0,0,322,16746,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",2,1.5,-69,-2.4,446393,0.9,-18001164,-100.0,-358900,-100.0,11,3.5,551,3.4
"47129","1","10","71","0","1990","A","","Morgan County, Tennessee","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",4,16,322353,0,0,380,19736,"",3.78,0.19,0.18,0.00,0.00,0.92,0.92,"",1,33.3,4,33.3,71819,28.7,0,0.0,0,0.0,-21,-5.2,-1141,-5.5
"47129","1","102","72","0","1990","A","","Morgan County, Tennessee","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",4,16,322353,0,0,380,19736,"",3.80,0.20,0.19,0.00,0.00,0.92,0.92,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47129","1","1021","73","0","1990","A","","Morgan County, Tennessee","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,5,152981,0,0,579,30095,"",2.48,0.20,0.28,0.00,0.00,1.37,1.37,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47129","1","1026","73","0","1990","A","","Morgan County, Tennessee","Federal Government","Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,4,89296,0,0,404,21011,"",49.88,2.34,5.01,0.00,0.00,2.01,2.01,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47129","1","1028","73","0","1990","A","","Morgan County, Tennessee","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,7,80076,0,0,220,11439,"",3.66,0.16,0.09,0.00,0.00,0.53,0.53,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47129","1","48-49","74","0","1990","A","","Morgan County, Tennessee","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,5,152981,0,0,579,30095,"",2.55,0.22,0.29,0.00,0.00,1.32,1.32,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47129","1","491","75","0","1990","A","","Morgan County, Tennessee","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,5,152981,0,0,579,30095,"",2.61,0.23,0.31,0.00,0.00,1.33,1.33,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47129","1","4911","76","0","1990","A","","Morgan County, Tennessee","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,5,152981,0,0,579,30095,"",2.61,0.23,0.31,0.00,0.00,1.33,1.33,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47129","1","49111","77","0","1990","A","","Morgan County, Tennessee","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,5,152981,0,0,579,30095,"",2.61,0.23,0.31,0.00,0.00,1.33,1.33,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47129","1","491110","78","0","1990","A","","Morgan County, Tennessee","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,5,152981,0,0,579,30095,"",2.61,0.23,0.31,0.00,0.00,1.33,1.33,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47129","1","71","74","0","1990","A","","Morgan County, Tennessee","Federal Government","Arts, entertainment, and recreation","County, NAICS Sector -- by ownership sector","All establishment sizes",1,4,89296,0,0,404,21011,"",80.67,3.70,6.74,0.00,0.00,1.72,1.71,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47129","1","712","75","0","1990","A","","Morgan County, Tennessee","Federal Government","Museums, historical sites, zoos, and parks","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,4,89296,0,0,404,21011,"",123.28,7.06,9.80,0.00,0.00,1.31,1.31,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47129","1","7121","76","0","1990","A","","Morgan County, Tennessee","Federal Government","Museums, historical sites, zoos, and parks","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,4,89296,0,0,404,21011,"",123.28,7.06,9.80,0.00,0.00,1.31,1.31,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
