"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"47131","0","10","70","0","1990","A","","Obion County, Tennessee","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",658,14045,295793051,0,0,405,21060,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",14,2.2,-106,-0.7,-7744088,-2.6,-94864344,-100.0,-1693698,-100.0,-7,-1.7,-389,-1.8
"47131","1","10","71","0","1990","A","","Obion County, Tennessee","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,65,1849885,0,0,544,28278,"",1.20,0.16,0.16,0.00,0.00,1.05,1.05,"",0,0.0,-7,-9.7,-139097,-7.0,0,0.0,0,0.0,13,2.4,654,2.4
"47131","1","102","72","0","1990","A","","Obion County, Tennessee","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,65,1849885,0,0,544,28278,"",1.20,0.16,0.17,0.00,0.00,1.05,1.05,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47131","1","1021","73","0","1990","A","","Obion County, Tennessee","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",2,30,1018190,0,0,655,34034,"",1.05,0.24,0.30,0.00,0.00,1.23,1.23,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47131","1","1028","73","0","1990","A","","Obion County, Tennessee","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,36,831695,0,0,451,23428,"",1.55,0.17,0.14,0.00,0.00,0.87,0.86,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47131","1","48-49","74","0","1990","A","","Obion County, Tennessee","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,29,930709,0,0,619,32186,"",0.54,0.26,0.29,0.00,0.00,1.12,1.12,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47131","1","491","75","0","1990","A","","Obion County, Tennessee","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,29,930709,0,0,619,32186,"",0.55,0.27,0.31,0.00,0.00,1.13,1.13,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47131","1","4911","76","0","1990","A","","Obion County, Tennessee","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,29,930709,0,0,619,32186,"",0.55,0.27,0.31,0.00,0.00,1.13,1.13,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47131","1","49111","77","0","1990","A","","Obion County, Tennessee","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,29,930709,0,0,619,32186,"",0.55,0.27,0.31,0.00,0.00,1.13,1.13,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47131","1","491110","78","0","1990","A","","Obion County, Tennessee","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,29,930709,0,0,619,32186,"",0.55,0.27,0.31,0.00,0.00,1.13,1.13,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47131","1","92","74","0","1990","A","","Obion County, Tennessee","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",4,36,831695,0,0,451,23428,"",1.55,0.17,0.14,0.00,0.00,0.87,0.86,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47131","1","923","75","0","1990","A","","Obion County, Tennessee","Federal Government","Administration of human resource programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,10,270697,0,0,525,27297,"",4.91,0.56,0.51,0.00,0.00,0.93,0.93,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47131","1","9231","76","0","1990","A","","Obion County, Tennessee","Federal Government","Administration of human resource programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,10,270697,0,0,525,27297,"",4.91,0.56,0.51,0.00,0.00,0.93,0.93,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47131","1","92313","77","0","1990","A","","Obion County, Tennessee","Federal Government","Other human resource programs administration","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,10,270697,0,0,525,27297,"",6.68,0.98,0.97,0.00,0.00,1.00,1.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
