"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"47185","0","10","70","0","1990","A","","White County, Tennessee","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",327,5910,91148206,0,0,297,15423,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",4,1.2,-471,-7.4,-2377827,-2.5,-42242040,-100.0,-764399,-100.0,16,5.7,767,5.2
"47185","1","10","71","0","1990","A","","White County, Tennessee","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",3,30,580568,0,0,376,19570,"",1.21,0.17,0.17,0.00,0.00,0.99,0.99,"",1,50.0,9,42.9,68875,13.5,0,0.0,0,0.0,-92,-19.7,-4796,-19.7
"47185","1","102","72","0","1990","A","","White County, Tennessee","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",3,30,580568,0,0,376,19570,"",1.21,0.18,0.18,0.00,0.00,0.99,0.99,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47185","1","1021","73","0","1990","A","","White County, Tennessee","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,15,433817,0,0,556,28921,"",1.05,0.29,0.41,0.00,0.00,1.43,1.43,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47185","1","1028","73","0","1990","A","","White County, Tennessee","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,15,146751,0,0,192,10006,"",1.56,0.17,0.08,0.00,0.00,0.50,0.50,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47185","1","48-49","74","0","1990","A","","White County, Tennessee","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,15,433817,0,0,556,28921,"",1.09,0.32,0.44,0.00,0.00,1.37,1.37,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47185","1","491","75","0","1990","A","","White County, Tennessee","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,15,433817,0,0,556,28921,"",1.11,0.33,0.46,0.00,0.00,1.39,1.39,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47185","1","4911","76","0","1990","A","","White County, Tennessee","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,15,433817,0,0,556,28921,"",1.11,0.33,0.46,0.00,0.00,1.39,1.39,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47185","1","49111","77","0","1990","A","","White County, Tennessee","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,15,433817,0,0,556,28921,"",1.11,0.33,0.46,0.00,0.00,1.39,1.39,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47185","1","491110","78","0","1990","A","","White County, Tennessee","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,15,433817,0,0,556,28921,"",1.11,0.33,0.46,0.00,0.00,1.39,1.39,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
