"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"48041","0","10","70","0","1990","A","","Brazos County, Texas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",2206,55980,952119106,0,0,327,17008,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",62,2.9,4047,7.8,67272055,7.6,-221158237,-100.0,-5756475,-100.0,0,0.0,-30,-0.2
"48041","1","10","71","0","1990","A","","Brazos County, Texas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",21,870,29399755,0,0,650,33790,"",1.25,0.52,0.81,0.00,0.00,1.55,1.55,"",3,16.7,-3,-0.3,1228509,4.4,0,0.0,0,0.0,30,4.8,1521,4.7
"48041","1","102","72","0","1990","A","","Brazos County, Texas","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",20,870,29396907,0,0,650,33796,"",1.20,0.55,0.85,0.00,0.00,1.55,1.55,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48041","1","1021","73","0","1990","A","","Brazos County, Texas","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,283,9247637,0,0,627,32629,"",0.16,0.57,0.84,0.00,0.00,1.46,1.46,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48041","1","1023","73","0","1990","A","","Brazos County, Texas","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",2,16,395902,0,0,478,24873,"",2.96,0.86,0.93,0.00,0.00,1.09,1.09,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48041","1","1024","73","0","1990","A","","Brazos County, Texas","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,4,140195,0,0,647,33647,"",2.58,0.11,0.18,0.00,0.00,1.56,1.56,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48041","1","1028","73","0","1990","A","","Brazos County, Texas","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",15,564,19540274,0,0,666,34656,"",1.73,0.66,1.04,0.00,0.00,1.58,1.58,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48041","1","48-49","74","0","1990","A","","Brazos County, Texas","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,283,9247637,0,0,627,32629,"",0.16,0.63,0.89,0.00,0.00,1.41,1.41,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48041","1","491","75","0","1990","A","","Brazos County, Texas","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,283,9247637,0,0,627,32629,"",0.16,0.67,0.95,0.00,0.00,1.42,1.42,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48041","1","4911","76","0","1990","A","","Brazos County, Texas","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,283,9247637,0,0,627,32629,"",0.16,0.67,0.95,0.00,0.00,1.42,1.42,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48041","1","49111","77","0","1990","A","","Brazos County, Texas","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,283,9247637,0,0,627,32629,"",0.16,0.67,0.95,0.00,0.00,1.42,1.42,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48041","1","491110","78","0","1990","A","","Brazos County, Texas","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,283,9247637,0,0,627,32629,"",0.16,0.67,0.95,0.00,0.00,1.42,1.42,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
