"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"48359","0","10","70","0","1990","A","","Oldham County, Texas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",82,743,12292109,0,0,318,16549,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",5,6.5,42,6.0,1053052,9.4,-3693267,-100.0,-67929,-100.0,10,3.2,517,3.2
"48359","1","10","71","0","1990","A","","Oldham County, Texas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",4,14,305768,0,0,430,22373,"",6.41,0.64,0.65,0.00,0.00,1.05,1.05,"",0,0.0,-2,-12.5,-56863,-15.7,0,0.0,0,0.0,-5,-1.1,-291,-1.3
"48359","1","102","72","0","1990","A","","Oldham County, Texas","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",4,14,305768,0,0,430,22373,"",6.45,0.66,0.68,0.00,0.00,1.05,1.06,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48359","1","1021","73","0","1990","A","","Oldham County, Texas","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,7,151095,0,0,415,21585,"",4.20,1.07,1.06,0.00,0.00,1.00,0.99,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48359","1","1028","73","0","1990","A","","Oldham County, Texas","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,7,154673,0,0,446,23201,"",9.31,0.61,0.64,0.00,0.00,1.09,1.09,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48359","1","48-49","74","0","1990","A","","Oldham County, Texas","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,7,151095,0,0,415,21585,"",4.33,1.18,1.13,0.00,0.00,0.96,0.96,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48359","1","491","75","0","1990","A","","Oldham County, Texas","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,7,151095,0,0,415,21585,"",4.42,1.24,1.20,0.00,0.00,0.97,0.97,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48359","1","4911","76","0","1990","A","","Oldham County, Texas","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,7,151095,0,0,415,21585,"",4.42,1.24,1.20,0.00,0.00,0.97,0.97,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48359","1","49111","77","0","1990","A","","Oldham County, Texas","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,7,151095,0,0,415,21585,"",4.42,1.24,1.20,0.00,0.00,0.97,0.97,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48359","1","491110","78","0","1990","A","","Oldham County, Texas","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,7,151095,0,0,415,21585,"",4.42,1.24,1.20,0.00,0.00,0.97,0.97,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48359","1","92","74","0","1990","A","","Oldham County, Texas","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",3,7,154673,0,0,446,23201,"",9.31,0.61,0.64,0.00,0.00,1.09,1.09,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48359","1","924","75","0","1990","A","","Oldham County, Texas","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,6,147686,0,0,501,26062,"",23.51,7.71,9.14,0.00,0.00,1.25,1.26,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48359","1","9241","76","0","1990","A","","Oldham County, Texas","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,6,147686,0,0,501,26062,"",23.51,7.71,9.14,0.00,0.00,1.25,1.26,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48359","1","92412","77","0","1990","A","","Oldham County, Texas","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,6,147686,0,0,501,26062,"",23.86,8.89,11.05,0.00,0.00,1.32,1.32,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48359","1","924120","78","0","1990","A","","Oldham County, Texas","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,6,147686,0,0,501,26062,"",23.86,8.89,11.05,0.00,0.00,1.32,1.32,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48359","3","102","72","0","1990","A","","Oldham County, Texas","Local Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",15,211,4148409,0,0,379,19707,"",11.19,2.95,3.50,0.00,0.00,1.19,1.19,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48359","3","1028","73","0","1990","A","","Oldham County, Texas","Local Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",11,35,433176,0,0,237,12318,"",15.19,1.65,1.21,0.00,0.00,0.73,0.73,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48359","3","92","74","0","1990","A","","Oldham County, Texas","Local Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",11,35,433176,0,0,237,12318,"",15.19,1.65,1.21,0.00,0.00,0.73,0.73,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48359","5","10","71","0","1990","A","","Oldham County, Texas","Private","Total, all industries","County, Total -- by ownership sector","All establishment sizes",58,494,7254349,0,0,282,14677,"",0.73,0.79,0.72,0.00,0.00,0.90,0.90,"",5,9.4,44,9.8,616793,9.3,-3656758,-100.0,-67709,-100.0,-1,-0.4,-73,-0.5
