"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"48367","0","10","70","0","1990","A","","Parker County, Texas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",952,12068,205343477,0,0,327,17016,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",46,5.1,939,8.4,27626838,15.5,-71183145,-100.0,-1630954,-100.0,20,6.5,1048,6.6
"48367","1","10","71","0","1990","A","","Parker County, Texas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,123,3225977,0,0,503,26157,"",0.97,0.34,0.41,0.00,0.00,1.20,1.20,"",1,16.7,2,1.7,291075,9.9,0,0.0,0,0.0,37,7.9,1902,7.8
"48367","1","102","72","0","1990","A","","Parker County, Texas","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,123,3225977,0,0,503,26157,"",0.97,0.36,0.43,0.00,0.00,1.20,1.20,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48367","1","1021","73","0","1990","A","","Parker County, Texas","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,109,2878254,0,0,510,26528,"",0.36,1.02,1.21,0.00,0.00,1.19,1.19,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48367","1","1028","73","0","1990","A","","Parker County, Texas","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",6,15,347723,0,0,451,23442,"",1.60,0.08,0.09,0.00,0.00,1.07,1.07,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48367","1","48-49","74","0","1990","A","","Parker County, Texas","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,109,2878254,0,0,510,26528,"",0.37,1.13,1.28,0.00,0.00,1.14,1.14,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48367","1","491","75","0","1990","A","","Parker County, Texas","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,109,2878254,0,0,510,26528,"",0.38,1.19,1.37,0.00,0.00,1.16,1.15,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48367","1","4911","76","0","1990","A","","Parker County, Texas","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,109,2878254,0,0,510,26528,"",0.38,1.19,1.37,0.00,0.00,1.16,1.15,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48367","1","49111","77","0","1990","A","","Parker County, Texas","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,109,2878254,0,0,510,26528,"",0.38,1.19,1.37,0.00,0.00,1.16,1.15,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48367","1","491110","78","0","1990","A","","Parker County, Texas","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,109,2878254,0,0,510,26528,"",0.38,1.19,1.37,0.00,0.00,1.16,1.15,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48367","1","92","74","0","1990","A","","Parker County, Texas","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",6,15,347723,0,0,451,23442,"",1.60,0.08,0.09,0.00,0.00,1.07,1.07,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48367","1","924","75","0","1990","A","","Parker County, Texas","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,6,159349,0,0,497,25840,"",2.02,0.47,0.59,0.00,0.00,1.21,1.21,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48367","1","9241","76","0","1990","A","","Parker County, Texas","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,6,159349,0,0,497,25840,"",2.02,0.47,0.59,0.00,0.00,1.21,1.21,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
