"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"48479","0","10","70","0","1990","A","","Webb County, Texas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",2525,43900,681034932,0,0,298,15513,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",200,8.6,3225,7.9,77712909,12.9,-245363588,-100.0,-6555801,-100.0,13,4.6,681,4.6
"48479","1","10","71","0","1990","A","","Webb County, Texas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",18,564,18720233,0,0,638,33197,"",0.94,0.43,0.72,0.00,0.00,1.67,1.67,"",1,5.9,-7,-1.2,1046191,5.9,0,0.0,0,0.0,43,7.2,2245,7.3
"48479","1","102","72","0","1990","A","","Webb County, Texas","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",18,564,18720233,0,0,638,33197,"",0.94,0.45,0.76,0.00,0.00,1.67,1.67,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48479","1","1021","73","0","1990","A","","Webb County, Texas","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,159,5150308,0,0,621,32307,"",0.14,0.41,0.65,0.00,0.00,1.59,1.59,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48479","1","1028","73","0","1990","A","","Webb County, Texas","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",16,401,13431587,0,0,644,33474,"",1.61,0.60,1.00,0.00,0.00,1.68,1.68,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48479","1","48-49","74","0","1990","A","","Webb County, Texas","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,159,5150308,0,0,621,32307,"",0.14,0.45,0.69,0.00,0.00,1.53,1.53,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48479","1","491","75","0","1990","A","","Webb County, Texas","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,159,5150308,0,0,621,32307,"",0.14,0.48,0.74,0.00,0.00,1.54,1.54,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48479","1","4911","76","0","1990","A","","Webb County, Texas","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,159,5150308,0,0,621,32307,"",0.14,0.48,0.74,0.00,0.00,1.54,1.54,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48479","1","49111","77","0","1990","A","","Webb County, Texas","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,159,5150308,0,0,621,32307,"",0.14,0.48,0.74,0.00,0.00,1.54,1.54,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48479","1","491110","78","0","1990","A","","Webb County, Texas","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,159,5150308,0,0,621,32307,"",0.14,0.48,0.74,0.00,0.00,1.54,1.54,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
