"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"48489","0","10","70","0","1990","A","","Willacy County, Texas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",323,3685,47626991,0,0,249,12925,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",-4,-1.2,-209,-5.4,1909556,4.2,-18081790,-100.0,-650053,-100.0,24,10.7,1185,10.1
"48489","1","10","71","0","1990","A","","Willacy County, Texas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",5,39,984793,0,0,481,25037,"",2.03,0.36,0.54,0.00,0.00,1.50,1.51,"",0,0.0,0,0.0,88530,9.9,0,0.0,0,0.0,40,9.1,2056,8.9
"48489","1","102","72","0","1990","A","","Willacy County, Texas","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",5,39,984793,0,0,481,25037,"",2.05,0.37,0.57,0.00,0.00,1.51,1.51,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48489","1","1021","73","0","1990","A","","Willacy County, Texas","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,24,670402,0,0,543,28227,"",1.07,0.74,1.22,0.00,0.00,1.66,1.67,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48489","1","1028","73","0","1990","A","","Willacy County, Texas","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,16,314391,0,0,388,20175,"",3.15,0.28,0.33,0.00,0.00,1.21,1.21,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48489","1","48-49","74","0","1990","A","","Willacy County, Texas","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,24,670402,0,0,543,28227,"",1.10,0.81,1.29,0.00,0.00,1.60,1.60,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48489","1","491","75","0","1990","A","","Willacy County, Texas","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,24,670402,0,0,543,28227,"",1.12,0.86,1.37,0.00,0.00,1.62,1.62,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48489","1","4911","76","0","1990","A","","Willacy County, Texas","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,24,670402,0,0,543,28227,"",1.12,0.86,1.37,0.00,0.00,1.62,1.62,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48489","1","49111","77","0","1990","A","","Willacy County, Texas","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,24,670402,0,0,543,28227,"",1.12,0.86,1.37,0.00,0.00,1.62,1.62,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48489","1","491110","78","0","1990","A","","Willacy County, Texas","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,24,670402,0,0,543,28227,"",1.12,0.86,1.37,0.00,0.00,1.62,1.62,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48489","1","92","74","0","1990","A","","Willacy County, Texas","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",4,16,314391,0,0,388,20175,"",3.15,0.28,0.33,0.00,0.00,1.21,1.21,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48489","1","924","75","0","1990","A","","Willacy County, Texas","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,11,232872,0,0,401,20854,"",5.97,2.85,3.72,0.00,0.00,1.28,1.29,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48489","1","9241","76","0","1990","A","","Willacy County, Texas","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,11,232872,0,0,401,20854,"",5.97,2.85,3.72,0.00,0.00,1.28,1.29,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48489","1","92412","77","0","1990","A","","Willacy County, Texas","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,11,232872,0,0,401,20854,"",6.06,3.29,4.50,0.00,0.00,1.35,1.35,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48489","1","924120","78","0","1990","A","","Willacy County, Texas","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,11,232872,0,0,401,20854,"",6.06,3.29,4.50,0.00,0.00,1.35,1.35,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48489","1","926","75","0","1990","A","","Willacy County, Texas","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,4,81519,0,0,355,18457,"",3.93,0.45,0.61,0.00,0.00,1.21,1.21,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48489","1","9261","76","0","1990","A","","Willacy County, Texas","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,4,81519,0,0,355,18457,"",3.93,0.45,0.61,0.00,0.00,1.21,1.21,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48489","1","92614","77","0","1990","A","","Willacy County, Texas","Federal Government","Agricultural market and commodity regulation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,27012,0,0,519,27012,"",3.42,0.57,0.90,0.00,0.00,1.57,1.57,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48489","1","926140","78","0","1990","A","","Willacy County, Texas","Federal Government","Agricultural market and commodity regulation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,27012,0,0,519,27012,"",3.42,0.57,0.90,0.00,0.00,1.57,1.57,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48489","2","10","71","0","1990","A","","Willacy County, Texas","State Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,78,1715404,0,0,426,22134,"",2.68,0.58,0.89,0.00,0.00,1.55,1.55,"",1,14.3,6,8.3,202998,13.4,0,0.0,0,0.0,23,5.7,1129,5.4
"48489","3","10","71","0","1990","A","","Willacy County, Texas","Local Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",24,1060,17224854,0,0,313,16255,"",4.36,2.96,3.72,0.00,0.00,1.26,1.26,"",0,0.0,42,4.1,1208599,7.5,-443572,-100.0,-2662,-100.0,11,3.6,522,3.3
"48489","3","1025","73","0","1990","A","","Willacy County, Texas","Local Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",6,855,14838263,0,0,334,17350,"",4.55,3.87,5.30,0.00,0.00,1.37,1.37,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48489","3","1028","73","0","1990","A","","Willacy County, Texas","Local Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",13,161,1878915,0,0,225,11694,"",4.56,1.53,1.36,0.00,0.00,0.88,0.89,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48489","3","92","74","0","1990","A","","Willacy County, Texas","Local Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",13,161,1878915,0,0,225,11694,"",4.56,1.53,1.36,0.00,0.00,0.88,0.89,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48489","3","921","75","0","1990","A","","Willacy County, Texas","Local Government","Executive, legislative and general government","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,106,1274988,0,0,231,12009,"",2.73,1.46,1.46,0.00,0.00,0.99,0.99,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48489","3","9211","76","0","1990","A","","Willacy County, Texas","Local Government","Executive, legislative and general government","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,106,1274988,0,0,231,12009,"",2.73,1.46,1.46,0.00,0.00,0.99,0.99,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48489","5","10","71","0","1990","A","","Willacy County, Texas","Private","Total, all industries","County, Total -- by ownership sector","All establishment sizes",286,2509,27701940,0,0,212,11043,"",0.92,0.81,0.71,0.00,0.00,0.86,0.87,"",-4,-1.4,-255,-9.2,409429,1.5,-17638218,-100.0,-647391,-100.0,23,12.2,1169,11.8
"48489","5","101","72","0","1990","A","","Willacy County, Texas","Private","Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",105,1286,12738370,0,0,191,9906,"",1.68,1.53,1.02,0.00,0.00,0.66,0.66,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48489","5","1011","73","0","1990","A","","Willacy County, Texas","Private","Natural resources and mining","County, by Supersector -- by ownership sector","All establishment sizes",91,827,7810270,0,0,182,9443,"",13.70,14.00,10.58,0.00,0.00,0.76,0.76,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48489","5","102","72","0","1990","A","","Willacy County, Texas","Private","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",181,1223,14963570,0,0,235,12239,"",0.72,0.55,0.56,0.00,0.00,1.03,1.03,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48489","5","1021","73","0","1990","A","","Willacy County, Texas","Private","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",87,600,7276007,0,0,233,12133,"",1.02,0.79,0.82,0.00,0.00,1.04,1.04,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48489","5","1022","73","0","1990","A","","Willacy County, Texas","Private","Information","County, by Supersector -- by ownership sector","All establishment sizes",4,78,1757408,0,0,431,22411,"",0.89,0.83,1.07,0.00,0.00,1.29,1.29,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48489","5","1023","73","0","1990","A","","Willacy County, Texas","Private","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",17,166,2697301,0,0,313,16281,"",0.61,0.72,0.75,0.00,0.00,1.04,1.04,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48489","5","1024","73","0","1990","A","","Willacy County, Texas","Private","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",9,24,204500,0,0,165,8580,"",0.21,0.07,0.04,0.00,0.00,0.58,0.58,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48489","5","1025","73","0","1990","A","","Willacy County, Texas","Private","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",14,136,1405709,0,0,200,10374,"",0.51,0.38,0.31,0.00,0.00,0.83,0.83,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48489","5","1026","73","0","1990","A","","Willacy County, Texas","Private","Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",17,148,1031169,0,0,134,6983,"",0.65,0.46,0.58,0.00,0.00,1.25,1.25,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48489","5","1027","73","0","1990","A","","Willacy County, Texas","Private","Other services","County, by Supersector -- by ownership sector","All establishment sizes",34,72,591476,0,0,158,8234,"",0.95,0.61,0.58,0.00,0.00,0.95,0.95,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48489","5","111","75","0","1990","A","","Willacy County, Texas","Private","Crop production","County, NAICS 3-digit -- by ownership sector","All establishment sizes",62,424,4061647,0,0,184,9591,"",25.34,22.72,31.04,0.00,0.00,1.36,1.37,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48489","5","1119","76","0","1990","A","","Willacy County, Texas","Private","Other crop farming","County, NAICS 4-digit -- by ownership sector","All establishment sizes",57,344,3455068,0,0,193,10054,"",95.61,98.40,133.87,0.00,0.00,1.36,1.36,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48489","5","11192","77","0","1990","A","","Willacy County, Texas","Private","Cotton farming","County, NAICS 5-digit -- by ownership sector","All establishment sizes",42,203,2144850,0,0,204,10587,"",271.90,277.42,412.85,0.00,0.00,1.49,1.49,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48489","5","111920","78","0","1990","A","","Willacy County, Texas","Private","Cotton farming","County, NAICS 6-digit -- by ownership sector","All establishment sizes",42,203,2144850,0,0,204,10587,"",271.90,277.42,412.85,0.00,0.00,1.49,1.49,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48489","5","115","75","0","1990","A","","Willacy County, Texas","Private","Agriculture and forestry support activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",22,359,2823949,0,0,151,7863,"",27.58,39.54,47.64,0.00,0.00,1.20,1.20,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48489","5","1151","76","0","1990","A","","Willacy County, Texas","Private","Support activities for crop production","County, NAICS 4-digit -- by ownership sector","All establishment sizes",22,359,2823949,0,0,151,7863,"",40.38,44.98,57.65,0.00,0.00,1.27,1.28,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48489","5","11511","77","0","1990","A","","Willacy County, Texas","Private","Support activities for crop production","County, NAICS 5-digit -- by ownership sector","All establishment sizes",22,359,2823949,0,0,151,7863,"",40.38,44.98,57.65,0.00,0.00,1.27,1.28,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48489","5","115115","78","0","1990","A","","Willacy County, Texas","Private","Farm labor contractors and crew leaders","County, NAICS 6-digit -- by ownership sector","All establishment sizes",11,239,797791,0,0,64,3339,"",88.40,61.12,49.54,0.00,0.00,0.80,0.81,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48489","5","42","74","0","1990","A","","Willacy County, Texas","Private","Wholesale trade","County, NAICS Sector -- by ownership sector","All establishment sizes",15,83,1600838,0,0,370,19249,"",0.59,0.47,0.54,0.00,0.00,1.15,1.15,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48489","5","44-45","74","0","1990","A","","Willacy County, Texas","Private","Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",57,457,4692562,0,0,198,10272,"",1.14,1.01,1.21,0.00,0.00,1.21,1.21,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48489","5","445","75","0","1990","A","","Willacy County, Texas","Private","Food and beverage stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,106,917904,0,0,167,8701,"",1.33,1.16,1.34,0.00,0.00,1.15,1.16,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48489","5","447","75","0","1990","A","","Willacy County, Texas","Private","Gasoline stations","County, NAICS 3-digit -- by ownership sector","All establishment sizes",14,85,606867,0,0,137,7140,"",2.75,2.76,3.20,0.00,0.00,1.15,1.16,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48489","5","4471","76","0","1990","A","","Willacy County, Texas","Private","Gasoline stations","County, NAICS 4-digit -- by ownership sector","All establishment sizes",14,85,606867,0,0,137,7140,"",2.75,2.76,3.20,0.00,0.00,1.15,1.16,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48489","5","484","75","0","1990","A","","Willacy County, Texas","Private","Truck transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",12,34,516500,0,0,296,15380,"",2.50,0.87,0.99,0.00,0.00,1.15,1.15,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
