"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"49041","0","10","70","0","1990","A","","Sevier County, Utah","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",424,4912,83577193,0,0,327,17013,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",-3,-0.7,-105,-2.1,-1073771,-1.3,-38729789,-100.0,-677174,-100.0,3,0.9,141,0.8
"49041","1","10","71","0","1990","A","","Sevier County, Utah","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",19,198,5129375,0,0,498,25873,"",5.89,1.36,1.61,0.00,0.00,1.19,1.18,"",-5,-20.8,-12,-5.7,8195,0.2,0,0.0,0,0.0,30,6.4,1487,6.1
"49041","1","102","72","0","1990","A","","Sevier County, Utah","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",19,198,5129375,0,0,498,25873,"",5.92,1.42,1.69,0.00,0.00,1.19,1.19,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49041","1","1021","73","0","1990","A","","Sevier County, Utah","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,32,778668,0,0,468,24333,"",5.69,0.74,0.81,0.00,0.00,1.09,1.09,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49041","1","1023","73","0","1990","A","","Sevier County, Utah","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,16,365358,0,0,451,23445,"",7.70,9.77,9.78,0.00,0.00,1.03,1.03,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49041","1","1028","73","0","1990","A","","Sevier County, Utah","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",11,151,3985349,0,0,509,26451,"",6.60,2.01,2.42,0.00,0.00,1.21,1.21,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49041","1","48-49","74","0","1990","A","","Sevier County, Utah","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",7,32,778668,0,0,468,24333,"",5.86,0.81,0.85,0.00,0.00,1.05,1.05,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49041","1","491","75","0","1990","A","","Sevier County, Utah","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,32,778668,0,0,468,24333,"",5.98,0.86,0.91,0.00,0.00,1.06,1.06,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49041","1","4911","76","0","1990","A","","Sevier County, Utah","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",7,32,778668,0,0,468,24333,"",5.98,0.86,0.91,0.00,0.00,1.06,1.06,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49041","1","49111","77","0","1990","A","","Sevier County, Utah","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",7,32,778668,0,0,468,24333,"",5.98,0.86,0.91,0.00,0.00,1.06,1.06,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49041","1","491110","78","0","1990","A","","Sevier County, Utah","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",7,32,778668,0,0,468,24333,"",5.98,0.86,0.91,0.00,0.00,1.06,1.06,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49041","1","52","74","0","1990","A","","Sevier County, Utah","Federal Government","Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,16,365358,0,0,451,23445,"",7.74,9.95,9.87,0.00,0.00,1.02,1.02,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49041","1","522","75","0","1990","A","","Sevier County, Utah","Federal Government","Credit intermediation and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,16,365358,0,0,451,23445,"",9.01,26.42,33.49,0.00,0.00,1.30,1.30,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49041","1","5222","76","0","1990","A","","Sevier County, Utah","Federal Government","Nondepository credit intermediation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,16,365358,0,0,451,23445,"",9.03,26.49,33.59,0.00,0.00,1.30,1.30,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49041","1","52229","77","0","1990","A","","Sevier County, Utah","Federal Government","Other nondepository credit intermediation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,16,365358,0,0,451,23445,"",9.03,26.49,33.59,0.00,0.00,1.30,1.30,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49041","1","522292","78","0","1990","A","","Sevier County, Utah","Federal Government","Real estate credit","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,16,365358,0,0,451,23445,"",19.73,55.53,72.34,0.00,0.00,1.34,1.34,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49041","1","92","74","0","1990","A","","Sevier County, Utah","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",11,151,3985349,0,0,509,26451,"",6.60,2.01,2.42,0.00,0.00,1.21,1.21,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49041","1","924","75","0","1990","A","","Sevier County, Utah","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,110,3091833,0,0,541,28108,"",4.55,21.37,28.14,0.00,0.00,1.32,1.32,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49041","1","9241","76","0","1990","A","","Sevier County, Utah","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,110,3091833,0,0,541,28108,"",4.55,21.37,28.14,0.00,0.00,1.32,1.32,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49041","1","92412","77","0","1990","A","","Sevier County, Utah","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,110,3091833,0,0,541,28108,"",4.61,24.66,34.04,0.00,0.00,1.38,1.38,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49041","1","924120","78","0","1990","A","","Sevier County, Utah","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,110,3091833,0,0,541,28108,"",4.61,24.66,34.04,0.00,0.00,1.38,1.38,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49041","1","926","75","0","1990","A","","Sevier County, Utah","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,22,544354,0,0,467,24283,"",10.47,1.88,2.31,0.00,0.00,1.21,1.21,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49041","1","9261","76","0","1990","A","","Sevier County, Utah","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",7,22,544354,0,0,467,24283,"",10.47,1.88,2.31,0.00,0.00,1.21,1.21,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49041","1","92611","77","0","1990","A","","Sevier County, Utah","Federal Government","Administration of general economic programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,5,16163,0,0,67,3464,"",4.98,0.82,0.19,0.00,0.00,0.26,0.25,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49041","1","926110","78","0","1990","A","","Sevier County, Utah","Federal Government","Administration of general economic programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,5,16163,0,0,67,3464,"",4.98,0.82,0.19,0.00,0.00,0.26,0.25,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49041","1","92614","77","0","1990","A","","Sevier County, Utah","Federal Government","Agricultural market and commodity regulation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,18,528191,0,0,572,29757,"",15.64,7.69,9.97,0.00,0.00,1.31,1.31,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49041","1","926140","78","0","1990","A","","Sevier County, Utah","Federal Government","Agricultural market and commodity regulation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",6,18,528191,0,0,572,29757,"",15.64,7.69,9.97,0.00,0.00,1.31,1.31,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49041","1","928","75","0","1990","A","","Sevier County, Utah","Federal Government","National security and international affairs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,4,120898,0,0,537,27900,"",6.16,0.12,0.17,0.00,0.00,1.29,1.29,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49041","1","9281","76","0","1990","A","","Sevier County, Utah","Federal Government","National security and international affairs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,4,120898,0,0,537,27900,"",6.16,0.12,0.17,0.00,0.00,1.29,1.29,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49041","1","92811","77","0","1990","A","","Sevier County, Utah","Federal Government","National security","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,4,120898,0,0,537,27900,"",6.50,0.12,0.17,0.00,0.00,1.31,1.31,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49041","1","928110","78","0","1990","A","","Sevier County, Utah","Federal Government","National security","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,4,120898,0,0,537,27900,"",6.50,0.12,0.17,0.00,0.00,1.31,1.31,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49041","2","10","71","0","1990","A","","Sevier County, Utah","State Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,201,4514422,0,0,432,22488,"",3.32,1.12,1.34,0.00,0.00,1.20,1.20,"",1,8.3,0,0.0,386193,9.4,0,0.0,0,0.0,38,9.6,1950,9.5
"49041","2","102","72","0","1990","A","","Sevier County, Utah","State Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",13,201,4514422,0,0,432,22488,"",3.42,1.15,1.37,0.00,0.00,1.20,1.20,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49041","3","10","71","0","1990","A","","Sevier County, Utah","Local Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",32,808,12581919,0,0,300,15581,"",4.43,1.69,1.55,0.00,0.00,0.92,0.92,"",4,14.3,23,2.9,732651,6.2,-1278483,-100.0,-11495,-100.0,10,3.4,487,3.2
"49041","3","1025","73","0","1990","A","","Sevier County, Utah","Local Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",15,500,8137166,0,0,313,16285,"",8.67,1.70,1.65,0.00,0.00,0.97,0.97,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49041","3","1028","73","0","1990","A","","Sevier County, Utah","Local Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",16,303,4348787,0,0,276,14345,"",4.27,2.17,1.79,0.00,0.00,0.83,0.83,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49041","3","61","74","0","1990","A","","Sevier County, Utah","Local Government","Educational services","County, NAICS Sector -- by ownership sector","All establishment sizes",15,500,8137166,0,0,313,16285,"",10.45,1.93,1.86,0.00,0.00,0.97,0.97,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49041","3","611","75","0","1990","A","","Sevier County, Utah","Local Government","Educational services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",15,500,8137166,0,0,313,16285,"",10.45,1.93,1.86,0.00,0.00,0.97,0.97,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49041","3","6111","76","0","1990","A","","Sevier County, Utah","Local Government","Elementary and secondary schools","County, NAICS 4-digit -- by ownership sector","All establishment sizes",14,465,7577382,0,0,313,16298,"",10.29,1.93,1.85,0.00,0.00,0.96,0.96,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49041","3","61111","77","0","1990","A","","Sevier County, Utah","Local Government","Elementary and secondary schools","County, NAICS 5-digit -- by ownership sector","All establishment sizes",14,465,7577382,0,0,313,16298,"",10.29,1.93,1.85,0.00,0.00,0.96,0.96,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49041","3","611110","78","0","1990","A","","Sevier County, Utah","Local Government","Elementary and secondary schools","County, NAICS 6-digit -- by ownership sector","All establishment sizes",14,465,7577382,0,0,313,16298,"",10.29,1.93,1.85,0.00,0.00,0.96,0.96,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49041","3","92","74","0","1990","A","","Sevier County, Utah","Local Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",16,303,4348787,0,0,276,14345,"",4.27,2.17,1.79,0.00,0.00,0.83,0.83,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49041","3","921","75","0","1990","A","","Sevier County, Utah","Local Government","Executive, legislative and general government","County, NAICS 3-digit -- by ownership sector","All establishment sizes",15,302,4345848,0,0,277,14414,"",6.24,3.12,2.83,0.00,0.00,0.91,0.91,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49041","3","9211","76","0","1990","A","","Sevier County, Utah","Local Government","Executive, legislative and general government","County, NAICS 4-digit -- by ownership sector","All establishment sizes",15,302,4345848,0,0,277,14414,"",6.24,3.12,2.83,0.00,0.00,0.91,0.91,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49041","5","10","71","0","1990","A","","Sevier County, Utah","Private","Total, all industries","County, Total -- by ownership sector","All establishment sizes",360,3706,61351477,0,0,318,16555,"",0.88,0.90,0.89,0.00,0.00,0.99,0.99,"",-2,-0.6,-115,-3.0,-2200810,-3.5,-37451306,-100.0,-665679,-100.0,-1,-0.3,-77,-0.5
"49041","5","101","72","0","1990","A","","Sevier County, Utah","Private","Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",64,946,23345285,0,0,475,24678,"",0.78,0.85,1.06,0.00,0.00,1.26,1.25,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49041","5","1011","73","0","1990","A","","Sevier County, Utah","Private","Natural resources and mining","County, by Supersector -- by ownership sector","All establishment sizes",14,383,13077482,0,0,657,34182,"",1.61,4.86,10.09,0.00,0.00,2.08,2.08,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49041","5","1012","73","0","1990","A","","Sevier County, Utah","Private","Construction","County, by Supersector -- by ownership sector","All establishment sizes",33,160,2752214,0,0,331,17210,"",0.72,0.68,0.62,0.00,0.00,0.91,0.91,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
