"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"51091","0","10","70","0","1990","A","","Highland County, Virginia","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",76,580,7433029,0,0,246,12814,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",4,5.6,2,0.3,517266,7.5,-2904408,-100.0,-36442,-100.0,16,7.0,850,7.1
"51091","1","10","71","0","1990","A","","Highland County, Virginia","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",3,13,191860,0,0,295,15349,"",5.19,0.76,0.68,0.00,0.00,0.93,0.93,"",0,0.0,0,0.0,13329,7.5,0,0.0,0,0.0,31,11.7,1616,11.8
"51091","1","102","72","0","1990","A","","Highland County, Virginia","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",3,13,191860,0,0,295,15349,"",5.22,0.79,0.71,0.00,0.00,0.94,0.94,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51091","1","1021","73","0","1990","A","","Highland County, Virginia","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,13,191860,0,0,295,15349,"",13.60,2.54,2.23,0.00,0.00,0.92,0.91,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51091","1","48-49","74","0","1990","A","","Highland County, Virginia","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,13,191860,0,0,295,15349,"",14.02,2.80,2.36,0.00,0.00,0.88,0.88,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51091","1","491","75","0","1990","A","","Highland County, Virginia","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,13,191860,0,0,295,15349,"",14.30,2.95,2.52,0.00,0.00,0.89,0.89,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51091","1","4911","76","0","1990","A","","Highland County, Virginia","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,13,191860,0,0,295,15349,"",14.30,2.95,2.52,0.00,0.00,0.89,0.89,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51091","1","49111","77","0","1990","A","","Highland County, Virginia","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,13,191860,0,0,295,15349,"",14.30,2.95,2.52,0.00,0.00,0.89,0.89,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51091","1","491110","78","0","1990","A","","Highland County, Virginia","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,13,191860,0,0,295,15349,"",14.30,2.95,2.52,0.00,0.00,0.89,0.89,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51091","5","10","71","0","1990","A","","Highland County, Virginia","Private","Total, all industries","County, Total -- by ownership sector","All establishment sizes",66,448,5267833,0,0,226,11754,"",0.90,0.92,0.86,0.00,0.00,0.93,0.93,"",5,8.2,-2,-0.4,365683,7.5,-2904408,-100.0,-36442,-100.0,17,8.1,861,7.9
