"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"51105","0","10","70","0","1990","A","","Lee County, Virginia","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",364,4553,69644809,0,0,294,15295,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",13,3.7,211,4.9,4441098,6.8,-26526774,-100.0,-419297,-100.0,6,2.1,279,1.9
"51105","1","10","71","0","1990","A","","Lee County, Virginia","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,59,1320334,0,0,427,22222,"",2.17,0.44,0.50,0.00,0.00,1.13,1.13,"",0,0.0,-1,-1.7,91421,7.4,0,0.0,0,0.0,34,8.7,1741,8.5
"51105","1","102","72","0","1990","A","","Lee County, Virginia","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,59,1320334,0,0,427,22222,"",2.18,0.46,0.52,0.00,0.00,1.13,1.13,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51105","1","1021","73","0","1990","A","","Lee County, Virginia","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,48,1102811,0,0,444,23096,"",2.84,1.20,1.37,0.00,0.00,1.15,1.15,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51105","1","1028","73","0","1990","A","","Lee County, Virginia","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,7,126011,0,0,327,16990,"",1.40,0.10,0.09,0.00,0.00,0.86,0.86,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51105","1","48-49","74","0","1990","A","","Lee County, Virginia","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,48,1102811,0,0,444,23096,"",2.93,1.32,1.45,0.00,0.00,1.11,1.11,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51105","1","491","75","0","1990","A","","Lee County, Virginia","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,48,1102811,0,0,444,23096,"",2.99,1.39,1.54,0.00,0.00,1.12,1.12,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51105","1","4911","76","0","1990","A","","Lee County, Virginia","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,48,1102811,0,0,444,23096,"",2.99,1.39,1.54,0.00,0.00,1.12,1.12,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51105","1","49111","77","0","1990","A","","Lee County, Virginia","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,48,1102811,0,0,444,23096,"",2.99,1.39,1.54,0.00,0.00,1.12,1.12,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51105","1","491110","78","0","1990","A","","Lee County, Virginia","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,48,1102811,0,0,444,23096,"",2.99,1.39,1.54,0.00,0.00,1.12,1.12,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51105","1","92","74","0","1990","A","","Lee County, Virginia","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",2,7,126011,0,0,327,16990,"",1.40,0.10,0.09,0.00,0.00,0.86,0.86,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51105","1","924","75","0","1990","A","","Lee County, Virginia","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,7,126011,0,0,327,16990,"",5.30,1.47,1.38,0.00,0.00,0.89,0.89,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51105","1","9241","76","0","1990","A","","Lee County, Virginia","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,7,126011,0,0,327,16990,"",5.30,1.47,1.38,0.00,0.00,0.89,0.89,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51105","1","92412","77","0","1990","A","","Lee County, Virginia","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,7,126011,0,0,327,16990,"",5.37,1.69,1.66,0.00,0.00,0.93,0.93,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51105","1","924120","78","0","1990","A","","Lee County, Virginia","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,7,126011,0,0,327,16990,"",5.37,1.69,1.66,0.00,0.00,0.93,0.93,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51105","2","10","71","0","1990","A","","Lee County, Virginia","State Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,203,4364966,0,0,414,21511,"",2.67,1.22,1.56,0.00,0.00,1.28,1.28,"",-2,-18.2,1,0.5,-34151,-0.8,0,0.0,0,0.0,-4,-1.0,-266,-1.2
"51105","2","1028","73","0","1990","A","","Lee County, Virginia","State Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",7,30,863803,0,0,563,29281,"",2.91,0.44,0.71,0.00,0.00,1.64,1.64,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51105","2","92","74","0","1990","A","","Lee County, Virginia","State Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",7,30,863803,0,0,563,29281,"",2.91,0.44,0.71,0.00,0.00,1.64,1.64,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51105","2","922","75","0","1990","A","","Lee County, Virginia","State Government","Justice, public order, and safety activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,19,572806,0,0,570,29628,"",8.45,0.90,1.42,0.00,0.00,1.55,1.55,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51105","2","9221","76","0","1990","A","","Lee County, Virginia","State Government","Justice, public order, and safety activities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,19,572806,0,0,570,29628,"",8.45,0.90,1.42,0.00,0.00,1.55,1.55,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51105","3","10","71","0","1990","A","","Lee County, Virginia","Local Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",20,914,17039426,0,0,358,18636,"",3.22,2.06,2.51,0.00,0.00,1.22,1.22,"",2,11.1,-6,-0.7,1081004,6.8,-6091633,-100.0,-26929,-100.0,25,7.5,1290,7.4
"51105","3","102","72","0","1990","A","","Lee County, Virginia","Local Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",20,914,17039426,0,0,358,18636,"",3.36,2.09,2.54,0.00,0.00,1.22,1.22,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51105","3","1028","73","0","1990","A","","Lee County, Virginia","Local Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",15,124,2105974,0,0,326,16961,"",4.67,0.96,1.04,0.00,0.00,1.08,1.09,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51105","3","92","74","0","1990","A","","Lee County, Virginia","Local Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",15,124,2105974,0,0,326,16961,"",4.67,0.96,1.04,0.00,0.00,1.08,1.09,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51105","3","921","75","0","1990","A","","Lee County, Virginia","Local Government","Executive, legislative and general government","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,60,932516,0,0,300,15607,"",2.42,0.67,0.73,0.00,0.00,1.09,1.09,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51105","3","9211","76","0","1990","A","","Lee County, Virginia","Local Government","Executive, legislative and general government","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,60,932516,0,0,300,15607,"",2.42,0.67,0.73,0.00,0.00,1.09,1.09,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51105","5","10","71","0","1990","A","","Lee County, Virginia","Private","Total, all industries","County, Total -- by ownership sector","All establishment sizes",329,3377,46920083,0,0,267,13895,"",0.94,0.89,0.82,0.00,0.00,0.92,0.92,"",13,4.1,217,6.9,3302824,7.6,-20435141,-100.0,-392368,-100.0,2,0.8,93,0.7
"51105","5","101","72","0","1990","A","","Lee County, Virginia","Private","Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",67,1621,22952425,0,0,272,14163,"",0.95,1.56,1.25,0.00,0.00,0.80,0.80,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51105","5","1011","73","0","1990","A","","Lee County, Virginia","Private","Natural resources and mining","County, by Supersector -- by ownership sector","All establishment sizes",30,349,7643022,0,0,421,21889,"",4.01,4.78,7.08,0.00,0.00,1.48,1.48,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51105","5","1012","73","0","1990","A","","Lee County, Virginia","Private","Construction","County, by Supersector -- by ownership sector","All establishment sizes",23,250,3688212,0,0,284,14782,"",0.58,1.15,0.99,0.00,0.00,0.87,0.87,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51105","5","1013","73","0","1990","A","","Lee County, Virginia","Private","Manufacturing","County, by Supersector -- by ownership sector","All establishment sizes",14,1022,11621191,0,0,219,11372,"",0.60,1.37,0.86,0.00,0.00,0.63,0.63,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51105","5","102","72","0","1990","A","","Lee County, Virginia","Private","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",262,1756,23967658,0,0,262,13648,"",0.93,0.63,0.61,0.00,0.00,0.97,0.97,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51105","5","1021","73","0","1990","A","","Lee County, Virginia","Private","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",132,783,9701723,0,0,238,12389,"",1.38,0.83,0.75,0.00,0.00,0.90,0.90,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51105","5","1022","73","0","1990","A","","Lee County, Virginia","Private","Information","County, by Supersector -- by ownership sector","All establishment sizes",6,53,1385940,0,0,508,26399,"",1.18,0.46,0.58,0.00,0.00,1.28,1.28,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
