"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"54003","0","10","70","0","1990","A","","Berkeley County, West Virginia","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1279,18693,359986036,0,0,370,19258,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",91,7.7,320,1.7,17581913,5.1,-103587945,-100.0,-1678320,-100.0,12,3.4,622,3.3
"54003","1","10","71","0","1990","A","","Berkeley County, West Virginia","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",22,2204,66143812,0,0,577,30011,"",2.26,3.98,4.83,0.00,0.00,1.21,1.21,"",2,10.0,-29,-1.3,3432797,5.5,0,0.0,0,0.0,37,6.9,1928,6.9
"54003","1","102","72","0","1990","A","","Berkeley County, West Virginia","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",22,2204,66143812,0,0,577,30011,"",2.27,4.15,5.05,0.00,0.00,1.22,1.22,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54003","1","1021","73","0","1990","A","","Berkeley County, West Virginia","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",10,160,4844017,0,0,583,30322,"",2.69,0.97,1.16,0.00,0.00,1.20,1.20,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54003","1","1023","73","0","1990","A","","Berkeley County, West Virginia","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,6,102568,0,0,324,16860,"",2.55,0.96,0.64,0.00,0.00,0.65,0.65,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54003","1","1025","73","0","1990","A","","Berkeley County, West Virginia","Federal Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,1226,39564281,0,0,621,32269,"",10.11,26.95,34.58,0.00,0.00,1.28,1.28,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54003","1","1026","73","0","1990","A","","Berkeley County, West Virginia","Federal Government","Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,25,818639,0,0,634,32965,"",5.42,2.22,6.06,0.00,0.00,2.75,2.75,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54003","1","1028","73","0","1990","A","","Berkeley County, West Virginia","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",9,787,20814307,0,0,508,26439,"",1.79,2.75,2.93,0.00,0.00,1.07,1.07,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54003","1","48-49","74","0","1990","A","","Berkeley County, West Virginia","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",10,160,4844017,0,0,583,30322,"",2.78,1.07,1.23,0.00,0.00,1.16,1.15,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54003","1","491","75","0","1990","A","","Berkeley County, West Virginia","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,131,3790029,0,0,557,28968,"",2.55,0.92,1.03,0.00,0.00,1.11,1.11,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54003","1","4911","76","0","1990","A","","Berkeley County, West Virginia","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",9,131,3790029,0,0,557,28968,"",2.55,0.92,1.03,0.00,0.00,1.11,1.11,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54003","1","49111","77","0","1990","A","","Berkeley County, West Virginia","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",9,131,3790029,0,0,557,28968,"",2.55,0.92,1.03,0.00,0.00,1.11,1.11,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54003","1","491110","78","0","1990","A","","Berkeley County, West Virginia","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",9,131,3790029,0,0,557,28968,"",2.55,0.92,1.03,0.00,0.00,1.11,1.11,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54003","1","52","74","0","1990","A","","Berkeley County, West Virginia","Federal Government","Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,6,102568,0,0,324,16860,"",2.57,0.98,0.64,0.00,0.00,0.65,0.65,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54003","1","522","75","0","1990","A","","Berkeley County, West Virginia","Federal Government","Credit intermediation and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,6,102568,0,0,324,16860,"",2.99,2.60,2.18,0.00,0.00,0.83,0.83,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54003","1","5222","76","0","1990","A","","Berkeley County, West Virginia","Federal Government","Nondepository credit intermediation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,6,102568,0,0,324,16860,"",2.99,2.61,2.19,0.00,0.00,0.83,0.83,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54003","1","52229","77","0","1990","A","","Berkeley County, West Virginia","Federal Government","Other nondepository credit intermediation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,6,102568,0,0,324,16860,"",2.99,2.61,2.19,0.00,0.00,0.83,0.83,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54003","1","522294","78","0","1990","A","","Berkeley County, West Virginia","Federal Government","Secondary market financing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,6,102568,0,0,324,16860,"",13.44,15.23,14.15,0.00,0.00,0.92,0.92,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
