"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"54079","0","10","70","0","1990","A","","Putnam County, West Virginia","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",825,10815,222990174,0,0,397,20619,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",81,10.9,780,7.8,19328177,9.5,-70568919,-100.0,-1391577,-100.0,7,1.8,324,1.6
"54079","1","10","71","0","1990","A","","Putnam County, West Virginia","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",15,150,4162912,0,0,535,27846,"",2.39,0.47,0.49,0.00,0.00,1.05,1.05,"",-2,-11.8,7,4.9,468366,12.7,0,0.0,0,0.0,39,7.9,2011,7.8
"54079","1","102","72","0","1990","A","","Putnam County, West Virginia","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",15,150,4162912,0,0,535,27846,"",2.40,0.49,0.51,0.00,0.00,1.05,1.05,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54079","1","1021","73","0","1990","A","","Putnam County, West Virginia","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,89,2326064,0,0,505,26283,"",3.76,0.93,0.90,0.00,0.00,0.97,0.97,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54079","1","1023","73","0","1990","A","","Putnam County, West Virginia","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",2,22,662057,0,0,592,30793,"",7.92,6.10,6.64,0.00,0.00,1.11,1.11,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54079","1","1024","73","0","1990","A","","Putnam County, West Virginia","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,29,874715,0,0,582,30250,"",6.90,4.13,4.77,0.00,0.00,1.16,1.16,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54079","1","1028","73","0","1990","A","","Putnam County, West Virginia","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,11,300076,0,0,545,28354,"",0.93,0.07,0.07,0.00,0.00,1.07,1.07,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54079","1","48-49","74","0","1990","A","","Putnam County, West Virginia","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",9,89,2326064,0,0,505,26283,"",3.87,1.03,0.96,0.00,0.00,0.93,0.93,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54079","1","491","75","0","1990","A","","Putnam County, West Virginia","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,89,2326064,0,0,505,26283,"",3.95,1.08,1.02,0.00,0.00,0.94,0.94,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54079","1","4911","76","0","1990","A","","Putnam County, West Virginia","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",9,89,2326064,0,0,505,26283,"",3.95,1.08,1.02,0.00,0.00,0.94,0.94,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54079","1","49111","77","0","1990","A","","Putnam County, West Virginia","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",9,89,2326064,0,0,505,26283,"",3.95,1.08,1.02,0.00,0.00,0.94,0.94,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54079","1","491110","78","0","1990","A","","Putnam County, West Virginia","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",9,89,2326064,0,0,505,26283,"",3.95,1.08,1.02,0.00,0.00,0.94,0.94,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54079","1","52","74","0","1990","A","","Putnam County, West Virginia","Federal Government","Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",2,22,662057,0,0,592,30793,"",7.95,6.21,6.70,0.00,0.00,1.10,1.10,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54079","1","522","75","0","1990","A","","Putnam County, West Virginia","Federal Government","Credit intermediation and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,5,95672,0,0,340,17663,"",4.63,3.75,3.29,0.00,0.00,0.81,0.81,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54079","1","5222","76","0","1990","A","","Putnam County, West Virginia","Federal Government","Nondepository credit intermediation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,5,95672,0,0,340,17663,"",4.64,3.76,3.30,0.00,0.00,0.81,0.81,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54079","1","52229","77","0","1990","A","","Putnam County, West Virginia","Federal Government","Other nondepository credit intermediation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,5,95672,0,0,340,17663,"",4.64,3.76,3.30,0.00,0.00,0.81,0.81,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54079","1","522294","78","0","1990","A","","Putnam County, West Virginia","Federal Government","Secondary market financing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,5,95672,0,0,340,17663,"",20.83,21.94,21.31,0.00,0.00,0.90,0.90,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54079","1","524","75","0","1990","A","","Putnam County, West Virginia","Federal Government","Insurance carriers and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,16,566385,0,0,677,35216,"",29.29,9.61,10.43,0.00,0.00,1.08,1.08,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54079","1","5241","76","0","1990","A","","Putnam County, West Virginia","Federal Government","Insurance carriers","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,16,566385,0,0,677,35216,"",32.68,10.11,10.67,0.00,0.00,1.05,1.05,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54079","1","52412","77","0","1990","A","","Putnam County, West Virginia","Federal Government","Direct insurers, except life and health","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,16,566385,0,0,677,35216,"",32.83,10.11,10.67,0.00,0.00,1.05,1.05,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54079","1","524128","78","0","1990","A","","Putnam County, West Virginia","Federal Government","Other direct insurance carriers","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,16,566385,0,0,677,35216,"",51.42,10.46,10.96,0.00,0.00,1.04,1.04,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54079","1","54","74","0","1990","A","","Putnam County, West Virginia","Federal Government","Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,29,874715,0,0,582,30250,"",7.08,4.31,4.85,0.00,0.00,1.13,1.13,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54079","1","541","75","0","1990","A","","Putnam County, West Virginia","Federal Government","Professional and technical services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,29,874715,0,0,582,30250,"",7.08,4.31,4.85,0.00,0.00,1.13,1.13,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54079","1","5413","76","0","1990","A","","Putnam County, West Virginia","Federal Government","Architectural and engineering services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,29,874715,0,0,582,30250,"",13.67,7.62,8.34,0.00,0.00,1.10,1.10,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54079","1","54133","77","0","1990","A","","Putnam County, West Virginia","Federal Government","Engineering services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,29,874715,0,0,582,30250,"",14.01,7.68,8.40,0.00,0.00,1.10,1.10,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54079","1","541330","78","0","1990","A","","Putnam County, West Virginia","Federal Government","Engineering services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,29,874715,0,0,582,30250,"",14.01,7.68,8.40,0.00,0.00,1.10,1.10,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54079","1","92","74","0","1990","A","","Putnam County, West Virginia","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",3,11,300076,0,0,545,28354,"",0.93,0.07,0.07,0.00,0.00,1.07,1.07,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54079","1","924","75","0","1990","A","","Putnam County, West Virginia","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,8,235481,0,0,597,31052,"",2.34,0.71,0.80,0.00,0.00,1.20,1.20,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54079","1","9241","76","0","1990","A","","Putnam County, West Virginia","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,8,235481,0,0,597,31052,"",2.34,0.71,0.80,0.00,0.00,1.20,1.20,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54079","1","92412","77","0","1990","A","","Putnam County, West Virginia","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,8,235481,0,0,597,31052,"",2.37,0.81,0.97,0.00,0.00,1.26,1.26,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54079","1","924120","78","0","1990","A","","Putnam County, West Virginia","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,8,235481,0,0,597,31052,"",2.37,0.81,0.97,0.00,0.00,1.26,1.26,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54079","1","926","75","0","1990","A","","Putnam County, West Virginia","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,3,64595,0,0,414,21532,"",0.77,0.12,0.10,0.00,0.00,0.88,0.89,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54079","1","9261","76","0","1990","A","","Putnam County, West Virginia","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,3,64595,0,0,414,21532,"",0.77,0.12,0.10,0.00,0.00,0.88,0.89,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54079","1","92611","77","0","1990","A","","Putnam County, West Virginia","Federal Government","Administration of general economic programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,3,64595,0,0,414,21532,"",2.56,0.22,0.29,0.00,0.00,1.30,1.30,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54079","1","926110","78","0","1990","A","","Putnam County, West Virginia","Federal Government","Administration of general economic programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,3,64595,0,0,414,21532,"",2.56,0.22,0.29,0.00,0.00,1.30,1.30,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54079","2","10","71","0","1990","A","","Putnam County, West Virginia","State Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,152,3007960,0,0,382,19844,"",1.70,0.38,0.34,0.00,0.00,0.87,0.87,"",2,18.2,17,12.6,584410,24.1,0,0.0,0,0.0,37,10.7,1892,10.5
"54079","2","1028","73","0","1990","A","","Putnam County, West Virginia","State Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",11,85,1733447,0,0,391,20354,"",2.02,0.53,0.45,0.00,0.00,0.84,0.84,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54079","2","92","74","0","1990","A","","Putnam County, West Virginia","State Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",11,85,1733447,0,0,391,20354,"",2.02,0.53,0.45,0.00,0.00,0.84,0.84,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54079","3","10","71","0","1990","A","","Putnam County, West Virginia","Local Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",17,1320,25393335,0,0,370,19245,"",1.21,1.25,1.17,0.00,0.00,0.93,0.93,"",0,0.0,32,2.5,1948241,8.3,-1685968,-100.0,-22057,-100.0,20,5.7,1043,5.7
"54079","3","102","72","0","1990","A","","Putnam County, West Virginia","Local Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",17,1320,25393335,0,0,370,19245,"",1.26,1.27,1.18,0.00,0.00,0.93,0.93,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54079","3","1021","73","0","1990","A","","Putnam County, West Virginia","Local Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,60,1135874,0,0,364,18905,"",4.23,1.44,1.02,0.00,0.00,0.71,0.71,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54079","3","1028","73","0","1990","A","","Putnam County, West Virginia","Local Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",9,234,2980687,0,0,245,12729,"",1.24,0.76,0.46,0.00,0.00,0.60,0.60,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
